trade_date,trade_time,open,high,low,close,volume,year,month,prev_month_high,prev_month_low,rsi,distance_to_prev_month_high_pct,distance_to_prev_month_low_pct,signal,forward_1,forward_3,forward_6
2023-05-01,01:00:00,4168.91,4173.03,4163.03,4168.03,1572,2023,5,4174.79,4048.83,83.30576409212298,-0.16192431236062696,2.944060382876036,BEARISH,0.1439528986115743,0.05710131644926042,-0.13051729474115112
2023-05-01,05:00:00,4168.03,4175.91,4167.79,4174.03,1280,2023,5,4174.79,4048.83,83.82044641756005,-0.018204508490252642,3.0922513417456354,BEARISH,-0.06564399393391475,0.1811199248687815,-0.17824500542640087
2023-05-01,09:00:00,4173.79,4177.29,4166.79,4171.29,1624,2023,5,4174.79,4048.83,82.40009716992535,-0.08383655225771836,3.024577470528524,BEARISH,-0.021096591222382267,-0.2565153705448391,-0.23254197142849858
2023-05-01,13:00:00,4171.29,4179.03,4163.53,4170.41,2161,2023,5,4174.79,4048.83,81.25549278091592,-0.10491545682537588,3.00284279656098,BEARISH,0.268079157684743,-0.18751153963278694,-0.5054658894449209
2023-05-01,17:00:00,4171.03,4187.59,4166.83,4181.59,4256,2023,5,4174.79,4048.83,82.03585609433225,0.1628824443864286,3.278971949921341,BEARISH,-0.5022013157674473,-0.35871522554817664,-1.5056473733675475
2023-07-03,09:00:00,4448.89,4453.63,4446.39,4450.89,1812,2023,7,4459.39,4169.59,80.99080502908608,-0.19060902948609562,6.746466678978033,BEARISH,-0.03819460826937371,0.07504117154095553,0.07504117154095553
2023-07-03,17:00:00,4449.93,4456.39,4445.63,4454.51,2058,2023,7,4459.39,4169.59,83.18127727092363,-0.10943200751672559,6.833285766706081,BEARISH,-0.0062857643152817,-0.03412272056860208,0.010775595969019341
2023-07-04,01:00:00,4452.23,4454.49,4448.99,4454.23,1117,2023,7,4459.39,4169.59,88.425047438329,-0.11571089319392928,6.826570478152514,BEARISH,0.0,0.0,-0.06735170837608297
2023-07-04,05:00:00,4453.99,4456.23,4452.49,4454.23,1080,2023,7,4459.39,4169.59,87.73184357541783,-0.11571089319392928,6.826570478152514,BEARISH,-0.027838706128776057,-0.016613421399428896,-0.4377861044445393
2023-07-04,09:00:00,4453.99,4456.73,4450.49,4452.99,1419,2023,7,4459.39,4169.59,84.62893081760895,-0.14351738690719013,6.796831343129652,BEARISH,0.027846458222447877,0.04491364229427868,-0.12351251630926637
2023-07-04,13:00:00,4453.23,4454.73,4449.49,4454.23,1212,2023,7,4459.39,4169.59,84.203722854187,-0.11571089319392928,6.826570478152514,BEARISH,-0.016613421399428896,-0.06735170837608297,-0.14143858758975789
2023-07-04,17:00:00,4453.99,4454.49,4451.49,4453.49,804,2023,7,4459.39,4169.59,83.02554027504816,-0.13230509105506683,6.808822929832421,BEARISH,0.03368144982923505,-0.42124266586430464,-0.17514353911202635
2023-07-05,01:00:00,4452.99,4455.73,4450.99,4454.99,1118,2023,7,4459.39,4169.59,81.48042297799273,-0.09866820349869704,6.844797689940729,BEARISH,-0.08439974051569629,-0.16835054624140572,-0.26936087398624914
2023-09-22,01:00:00,4328.33,4333.09,4323.96,4331.83,1521,2023,9,4597.13,4335.33,19.756596906278403,-5.770991901468964,-0.08073203193297858,BULLISH,0.1731369882936311,0.18606455008623146,-0.13550854950447944
