trade_date,trade_time,open,high,low,close,volume,prev_daily_low,signal,breakout_count,forward_1,forward_3,forward_6
2022-10-26,08:00:00,1.3603,1.36108,1.35174,1.352,15771,1.3601,BEARISH_DAILY_LOW_BREAKOUT,1,0.33875739644968983,0.2566568047337176,0.43343195266272005
2022-11-01,04:00:00,1.36157,1.36199,1.35774,1.35837,8356,1.35931,BEARISH_DAILY_LOW_BREAKOUT,1,-0.20760175798935818,0.5109064540589048,0.15165234803477334
2022-11-04,04:00:00,1.37384,1.37439,1.36718,1.36727,9351,1.36822,BEARISH_DAILY_LOW_BREAKOUT,1,-0.15651626964681672,-1.150467720347848,-1.0685526633364304
2022-11-08,16:00:00,1.34955,1.35072,1.33872,1.33991,20098,1.34652,BEARISH_DAILY_LOW_BREAKOUT,1,0.19926711495549498,0.3350971333895639,0.5589927681709963
2022-11-10,12:00:00,1.35398,1.35707,1.33688,1.34011,16136,1.34114,BEARISH_DAILY_LOW_BREAKOUT,1,-0.04924968845840139,-0.34250919700620636,-1.0103648207982843
2022-11-11,04:00:00,1.3355,1.33556,1.33026,1.33049,10221,1.33081,BEARISH_DAILY_LOW_BREAKOUT,1,-0.045096167577353755,-0.30364752835421865,-0.17737825913760477
2022-11-23,20:00:00,1.34049,1.3408,1.33445,1.33538,11845,1.3365,BEARISH_DAILY_LOW_BREAKOUT,1,-0.09135976276415693,-0.04792643292545747,-0.1250580359148752
2022-11-24,00:00:00,1.33503,1.33556,1.33369,1.33416,5661,1.33445,BEARISH_DAILY_LOW_BREAKOUT,1,0.027732805660489104,0.03747676440606411,-0.011243029321827554
2022-12-01,04:00:00,1.34165,1.34269,1.33947,1.33983,7224,1.3415,BEARISH_DAILY_LOW_BREAKOUT,1,0.1925617429076843,0.1268817685825674,0.29929170118595994
2022-12-05,00:00:00,1.34633,1.34736,1.3407,1.34097,6426,1.3416,BEARISH_DAILY_LOW_BREAKOUT,1,-0.038777899580160334,0.09918193546463033,1.2833993303354996
2022-12-08,12:00:00,1.36749,1.36754,1.35719,1.3579,10934,1.35885,BEARISH_DAILY_LOW_BREAKOUT,1,-0.04492230650268793,-0.04786803151926058,0.49340894027542
2022-12-13,12:00:00,1.36227,1.36325,1.35217,1.35406,15073,1.36185,BEARISH_DAILY_LOW_BREAKOUT,1,0.036925985554550386,0.13958022539621193,0.22303295274951054
2022-12-20,08:00:00,1.36849,1.36941,1.36132,1.36147,12742,1.3623,BEARISH_DAILY_LOW_BREAKOUT,1,0.13294453788919985,-0.022769506489311735,0.02938000837329915
2022-12-22,08:00:00,1.35896,1.35941,1.35706,1.35877,7543,1.35888,BEARISH_DAILY_LOW_BREAKOUT,1,0.35105279039130544,0.42832856186109025,0.12952891217792442
2022-12-27,00:00:00,1.3578,1.35806,1.35483,1.3549,4056,1.35625,BEARISH_DAILY_LOW_BREAKOUT,1,0.016237360690833938,-0.20665731788323227,-0.13506531847368797
2022-12-30,16:00:00,1.35395,1.35811,1.35265,1.35292,15960,1.3538,BEARISH_DAILY_LOW_BREAKOUT,1,0.15669810483991087,0.24022115128759994,1.016320255447488
2023-01-04,12:00:00,1.35559,1.35575,1.35137,1.35137,11593,1.35227,BEARISH_DAILY_LOW_BREAKOUT,1,-0.1975772734336229,-0.1997972427980438,0.15391787593331818
2023-01-06,16:00:00,1.35398,1.35666,1.344,1.34431,18745,1.34698,BEARISH_DAILY_LOW_BREAKOUT,1,0.0022316281215044548,-0.3280493338589911,-0.557163154331962
2023-01-09,00:00:00,1.34377,1.3444,1.34152,1.34162,5729,1.34331,BEARISH_DAILY_LOW_BREAKOUT,1,-0.1282032170063016,-0.301128486456675,-0.28249429793831043
2023-01-12,12:00:00,1.34237,1.34569,1.33476,1.33529,12415,1.3404,BEARISH_DAILY_LOW_BREAKOUT,1,0.008986811853597194,0.1932164548524893,0.5481955230698944
2023-01-18,08:00:00,1.33777,1.33821,1.33502,1.33578,10376,1.3369,BEARISH_DAILY_LOW_BREAKOUT,1,0.23881178038299916,1.0121427181122622,1.1648624773540566
2023-01-20,16:00:00,1.34746,1.34969,1.34033,1.34063,11854,1.34462,BEARISH_DAILY_LOW_BREAKOUT,1,-0.1931927526610692,-0.20661927601201965,-0.2237753891826896
2023-01-23,00:00:00,1.33782,1.33826,1.33554,1.33672,3931,1.33731,BEARISH_DAILY_LOW_BREAKOUT,1,0.08528338021426633,0.21320845053564094,-0.09575677778442367
2023-01-26,20:00:00,1.33581,1.33617,1.33195,1.3321,9287,1.33397,BEARISH_DAILY_LOW_BREAKOUT,1,-0.003753471961572368,-0.02927708130021113,-0.08407777193904435
2023-02-01,20:00:00,1.3345,1.338,1.32663,1.329,15614,1.32985,BEARISH_DAILY_LOW_BREAKOUT,1,-0.050413844996233886,-0.07975921745673897,0.1911211437170795
