trade_date,trade_time,open,high,low,close,volume,week,prev_week_high,prev_week_low,rsi,distance_to_prev_week_low_pct,distance_to_prev_week_high_pct,signal,forward_1,forward_3,forward_6
2023-03-30,21:00:00,12918.24,12984.04,12913.74,12974.54,5986,2023-03-27/2023-04-02,12955.19,12402.09,80.40530360102447,4.615754280125372,0.14936098968830533,BEARISH_WEEKLY_STRUCTURE,0.30713998338282933,-0.05318107616918562,1.6836820419066794
2023-05-01,01:00:00,13240.29,13256.04,13229.54,13243.79,4033,2023-05-01/2023-05-07,13261.49,12723.64,83.88194267245046,4.08805970618472,-0.1334691652295399,BEARISH_WEEKLY_STRUCTURE,0.1963184254658221,-0.046436858331349674,-0.14195332302914113
2023-05-01,05:00:00,13243.54,13276.54,13241.04,13269.79,3055,2023-05-01/2023-05-07,13261.49,12723.64,83.6171868245872,4.292403746097826,0.06258723567262119,BEARISH_WEEKLY_STRUCTURE,-0.13451606996041657,0.10889396139651727,-0.21326637422296124
2023-05-01,09:00:00,13269.54,13293.29,13229.29,13251.94,4168,2023-05-01/2023-05-07,13261.49,12723.64,82.1889870836167,4.152113703311326,-0.07201302417751906,BEARISH_WEEKLY_STRUCTURE,-0.10790872883518256,-0.2316641940727224,-0.02792044032798766
2023-05-09,05:00:00,13280.44,13290.94,13277.44,13282.69,2300,2023-05-08/2023-05-14,13297.24,12937.79,85.54202624423695,2.665833963915009,-0.10942120319704897,BEARISH_WEEKLY_STRUCTURE,-0.2898509262807458,-0.39525126311010794,-0.5243666757260738
2023-05-29,13:00:00,14369.19,14391.69,14340.44,14346.44,4423,2023-05-29/2023-06-04,14334.94,13531.54,87.88109229173872,6.022226590617177,0.08022356563752621,BEARISH_WEEKLY_STRUCTURE,0.22827962895324555,0.15125703658886044,-0.14324111068670062
2023-06-05,17:00:00,14584.54,14673.79,14571.79,14614.04,14147,2023-06-05/2023-06-11,14602.59,14221.59,80.10363620119736,2.7595367325313185,0.07841074768243667,BEARISH_WEEKLY_STRUCTURE,-0.3318726375458121,-0.335636141682937,-0.5494716040191561
2023-07-04,05:00:00,15204.49,15214.54,15198.04,15206.29,2258,2023-07-03/2023-07-09,15228.09,14697.49,85.98904443091922,3.4618155889202926,-0.14315649566031768,BEARISH_WEEKLY_STRUCTURE,0.02794896059459605,-0.019728678066773683,-0.5221523461672863
2023-07-04,09:00:00,15205.54,15219.54,15196.79,15210.54,3217,2023-07-03/2023-07-09,15228.09,14697.49,84.24366872005496,3.4907320909896935,-0.11524754581828235,BEARISH_WEEKLY_STRUCTURE,0.092041439685902,0.023667798776365233,0.153511972618977
2023-07-04,13:00:00,15210.79,15227.29,15200.29,15224.54,3000,2023-07-03/2023-07-09,15228.09,14697.49,83.93804074797673,3.5859864507477206,-0.023312181632754156,BEARISH_WEEKLY_STRUCTURE,-0.13957728772100833,-0.15534131080480235,0.0400668920046093
2023-08-02,17:00:00,15519.74,15527.74,15332.49,15386.59,15298,2023-07-31/2023-08-06,15810.09,15380.89,17.7168141592921,0.03705897383051779,-2.6786691283857333,BULLISH_WEEKLY_STRUCTURE,-0.11211061060312909,-0.02079733066261418,-0.10886102768709635
2023-08-02,21:00:00,15387.34,15431.94,15350.59,15369.34,8198,2023-07-31/2023-08-06,15810.09,15380.89,17.439024390243972,-0.07509318381445594,-2.7877766666729915,BULLISH_WEEKLY_STRUCTURE,0.28010311438226543,-0.20300156024917615,0.021145995859288686
2023-08-03,05:00:00,15412.89,15414.89,15360.54,15383.39,5212,2023-07-31/2023-08-06,15810.09,15380.89,17.245351324666686,0.016253935890575905,-2.69890936737236,BULLISH_WEEKLY_STRUCTURE,-0.29414842892236365,-0.08808201573254837,0.613648877133073
2023-08-03,13:00:00,15339.14,15379.99,15268.64,15360.39,13049,2023-07-31/2023-08-06,15810.09,15380.89,17.71734004087395,-0.1332822743027224,-2.844386085088704,BULLISH_WEEKLY_STRUCTURE,0.06152187542113663,0.5152863957230348,0.09439864482607539
2023-08-23,21:00:00,15194.09,15303.84,15140.84,15302.09,7676,2023-08-21/2023-08-27,15279.69,14555.99,82.92294870823538,5.1257248734026355,0.14659983285000963,BEARISH_WEEKLY_STRUCTURE,0.13364187506412997,0.07842066018432776,-3.345294662363113
2023-11-02,13:00:00,14773.34,14878.09,14769.84,14845.34,10501,2023-10-30/2023-11-05,14850.64,14062.09,83.70213253840865,5.569940172477918,-0.03568869759147938,BEARISH_WEEKLY_STRUCTURE,0.4913999948805533,0.2842642876485195,1.3873040294126016
2023-11-06,09:00:00,15123.04,15157.64,15116.74,15149.39,5854,2023-11-06/2023-11-12,15154.04,14228.99,88.66065619481363,6.468484411050958,-0.030684886670494828,BEARISH_WEEKLY_STRUCTURE,0.011551620230253497,0.04785671238247877,-0.08647212858074513
2023-11-06,13:00:00,15148.89,15188.54,15122.04,15151.14,7879,2023-11-06/2023-11-12,15154.04,14228.99,90.37190862752499,6.480783246035029,-0.019136811041817595,BEARISH_WEEKLY_STRUCTURE,-0.32340800758226773,-0.04422109491430288,0.5504536292318695
2023-11-06,21:00:00,15102.39,15167.89,15076.39,15156.64,6244,2023-11-06/2023-11-12,15154.04,14228.99,80.44201056131428,6.519436727413538,0.017157140934025147,BEARISH_WEEKLY_STRUCTURE,-0.08049277412407307,-0.13426458634630462,1.0338703037084784
2024-01-22,21:00:00,17365.89,17374.89,17327.14,17343.14,6784,2024-01-22/2024-01-28,17338.54,16566.39,81.08415735932272,4.688710093146424,0.026530492186761657,BEARISH_WEEKLY_STRUCTURE,0.08994910956148762,-0.035460706654030456,0.5693893954612602
2024-01-23,01:00:00,17341.74,17377.24,17340.49,17358.74,4933,2024-01-22/2024-01-28,17338.54,16566.39,82.64521137694967,4.782876655686617,0.11650346568973355,BEARISH_WEEKLY_STRUCTURE,0.043205900889119825,0.023043147140863907,0.6760283292450865
