trade_date,trade_time,open,high,low,close,volume,prev_day_high,prev_day_low,rsi,distance_to_prev_high_pct,distance_to_prev_low_pct,signal,forward_1,forward_3,forward_6
1994-10-19,00:00:00,0.6108,0.6127,0.6107,0.6126,221,0.6129,0.61,83.3333333333336,-0.048947626040131656,0.426229508196729,BEARISH,-0.09794319294809745,0.048971596474039654,0.2938295788442561
1994-10-24,00:00:00,0.6125,0.6133,0.6101,0.6129,601,0.613,0.6112,84.17266187050365,-0.016313213703097712,0.2781413612565502,BEARISH,-0.09789525208028145,0.24473813020067645,0.42421275901452876
1994-10-27,00:00:00,0.6133,0.6156,0.6126,0.6144,491,0.6144,0.6113,81.33333333333319,0.0,0.5071159823327321,BEARISH,0.016276041666682946,0.17903645833334977,0.7812500000000043
1994-10-31,00:00:00,0.6151,0.6168,0.6151,0.6162,231,0.6161,0.6134,90.14084507042213,0.01623113130985051,0.4564721225953742,BEARISH,-0.11359948068807577,-0.12982797792924747,0.8114248620577743
1994-11-02,00:00:00,0.6145,0.6173,0.6145,0.6161,401,0.6166,0.6151,85.90604026845635,-0.08108984755109568,0.1625751910258496,BEARISH,-0.1136179191689716,0.697938646323644,0.8115565654926157
1994-11-07,00:00:00,0.619,0.6208,0.6187,0.6204,281,0.6199,0.6144,82.06896551724114,0.08065817067268026,0.9765625000000009,BEARISH,0.1289490651192816,0.11283043197937363,-0.2095422308188214
1994-11-08,00:00:00,0.6201,0.6241,0.62,0.6212,711,0.6208,0.6187,81.15942028985478,0.06443298969071455,0.40407305640859004,BEARISH,0.5956213779781128,-0.1609787508048939,-0.1609787508048939
1994-12-05,00:00:00,0.6308,0.6313,0.6295,0.6312,321,0.6313,0.6287,81.3471502590672,-0.015840329478851414,0.397645936058525,BEARISH,0.2693282636248471,0.5069708491761693,1.0456273764258637
1994-12-14,00:00:00,0.638,0.6403,0.6368,0.6399,511,0.6393,0.6344,95.77464788732439,0.09385265133740732,0.8669609079445241,BEARISH,0.18752930145334878,-0.03125488357555524,-0.6563525550867294
1995-08-22,00:00:00,0.6503,0.6513,0.6474,0.6488,631,0.6517,0.6485,13.058419243986052,-0.44499002608560734,0.04626060138783007,BULLISH,-0.26202219482121375,0.32367447595560894,0.27743526510479544
1995-08-23,00:00:00,0.6484,0.6484,0.6456,0.6471,431,0.6513,0.6474,12.709030100334232,-0.6448641179180074,-0.04633920296570389,BULLISH,-0.1699891825065662,0.9581208468551976,0.7417709782104815
1995-08-24,00:00:00,0.6471,0.6479,0.6433,0.646,811,0.6484,0.6456,11.688311688311543,-0.3701418877236209,0.06195786864932884,BULLISH,0.7585139318885473,0.8513931888544813,1.253869969040247
1995-11-17,00:00:00,0.6485,0.649,0.6467,0.6467,281,0.6488,0.6466,16.5000000000003,-0.32367447595560894,0.015465511908459637,BULLISH,0.9123241070047787,0.8350085047162454,0.9432503479202093
1996-07-08,00:00:00,0.6885,0.6892,0.6867,0.6881,461,0.6884,0.6851,84.04255319148939,-0.04357931435211606,0.4378922784994895,BEARISH,-0.07266385699753755,0.058131085598017135,0.0
1997-07-02,00:00:00,0.6778,0.6801,0.6766,0.6775,671,0.6818,0.6776,19.004524886877732,-0.6306834848929261,-0.014757969303422224,BULLISH,-0.014760147601474389,-0.39852398523985766,-0.7675276752767501
1997-07-18,00:00:00,0.6526,0.6545,0.6467,0.6526,1561,0.6611,0.6521,4.472843450479417,-1.2857358947209292,0.07667535654039948,BULLISH,-0.6742261722341343,-0.5669629175605158,-1.5629788538155054
1998-05-11,00:00:00,0.5401,0.5422,0.5389,0.5404,64,0.5478,0.5408,18.402777777777715,-1.3508579773639946,-0.07396449704141198,BULLISH,-0.7031828275351638,-0.6476683937823737,-1.7579570688378892
1998-05-13,00:00:00,0.5363,0.5382,0.531,0.5343,125,0.5403,0.5346,7.788161993769336,-1.110494169905609,-0.056116722783383276,BULLISH,0.48661800486618884,0.0,0.673778775968566
1999-06-02,00:00:00,0.5283,0.5296,0.5243,0.5261,85,0.535,0.5265,14.084507042253534,-1.6635514018691622,-0.07597340930673428,BULLISH,0.39916365709940904,1.27352214407908,2.05284166508269
2000-03-10,12:00:00,0.4952,0.4971,0.4939,0.4955,331,0.4951,0.4873,93.67088607594935,0.08079175924055979,1.6827416375949076,BEARISH,-0.12108980827446811,-0.48435923309788365,-0.7669021190716387
2000-03-10,16:00:00,0.4952,0.4957,0.4938,0.4949,404,0.4951,0.4873,88.23529411764713,-0.040395879620274286,1.5596142006977212,BEARISH,-0.24247322691452391,-0.5253586583148092,-0.3030915336431605
2000-03-20,12:00:00,0.4838,0.485,0.4822,0.483,452,0.4895,0.483,14.285714285714292,-1.32788559754852,0.0,BULLISH,0.20703933747412026,0.9523809523809509,0.9109730848861315
2000-04-27,00:00:00,0.4863,0.4888,0.4851,0.4862,310,0.4949,0.4858,17.518248175182322,-1.7579308951303263,0.08233841086867259,BULLISH,0.3907856849033231,0.06170300287946667,0.3496503496503454
2000-05-09,00:00:00,0.4826,0.4829,0.4762,0.482,380,0.4923,0.4823,18.42105263157906,-2.09222019094049,-0.06220194899440648,BULLISH,-0.35269709543568034,-0.9543568464730275,-0.35269709543568034
2000-07-07,04:00:00,0.4599,0.46,0.4578,0.4595,237,0.4627,0.4597,15.95744680851071,-0.6915928247244394,-0.043506634761796385,BULLISH,-0.04352557127313025,0.217627856365615,0.45701849836778907
2000-07-07,08:00:00,0.4594,0.4596,0.4583,0.4593,400,0.4627,0.4597,17.857142857142833,-0.7348173762697242,-0.08701326952360484,BULLISH,0.15240583496626037,0.34835619420857616,0.8055736991073451
2000-12-04,00:00:00,0.416,0.4254,0.4158,0.4178,216,0.418,0.4108,87.70949720670424,-0.04784688995214784,1.7039922103213256,BEARISH,1.4600287218764945,1.4839636189564345,1.0292005744375228
2001-01-25,04:00:00,0.4355,0.4368,0.4347,0.436,211,0.4478,0.4363,18.686868686868607,-2.6351049575703387,-0.06876002750401615,BULLISH,-0.27522935779816027,-0.34403669724770675,-0.13761467889908013
2001-05-21,00:00:00,0.4286,0.4294,0.4258,0.4288,149,0.4291,0.4245,89.24731182795702,-0.06991377301327592,1.0129564193168497,BEARISH,-0.1166044776119404,-0.18656716417910982,-0.6996268656716425
2001-06-29,04:00:00,0.4035,0.4057,0.4035,0.4044,442,0.4172,0.4047,17.41293532338328,-3.0680728667305925,-0.07412898443291882,BULLISH,-0.1483679525222526,0.12363996043521278,0.4945598417408511
2001-06-29,16:00:00,0.403,0.4059,0.4012,0.4049,369,0.4172,0.4047,15.075376884422099,-2.948226270373929,0.04941932295527007,BULLISH,0.6668313163744223,0.37046184243023,0.0493949123240389
2001-07-19,04:00:00,0.4144,0.4147,0.4129,0.4145,267,0.4148,0.406,88.46153846153904,-0.07232401157184727,2.0935960591132887,BEARISH,0.0,-0.2653799758745452,-0.28950542822677416
2001-07-19,08:00:00,0.4143,0.4156,0.4134,0.4145,913,0.4148,0.406,90.19607843137297,-0.07232401157184727,2.0935960591132887,BEARISH,-0.024125452352228946,-0.3136308805790031,-0.07237635705668685
