trade_date,trade_time,open,high,low,close,volume,ema50,ema200,prev_ema50,prev_ema200,signal,forward_1,forward_3,forward_6
2004-06-11,12:00:00,383.6,384.3,383.3,383.8,62,383.6078431372549,383.6019900497513,383.6,383.6,BULLISH_CROSS,0.07816571130797587,-0.26055237102657636,-0.1823866597186005
2004-06-14,04:00:00,382.8,383.3,382.3,382.8,155,383.57107701604133,383.5929369001236,383.60254954730834,383.6009061152002,BEARISH_CROSS,-0.13061650992685475,0.07836990595611582,-0.18286311389759366
2004-06-15,20:00:00,387.5,388.6,387.0,387.3,228,383.7000013290927,383.6178179582978,383.5530626078311,383.5808111036073,BULLISH_CROSS,0.4647560030983763,-0.05163955589981632,-0.9553317841466534
2004-07-28,00:00:00,386.1,387.3,386.0,387.3,80,395.11530207392167,395.2567202841857,395.43429399530623,395.3366873222177,BEARISH_CROSS,0.07745933384973182,-0.18073844564936448,0.4647560030983763
2004-08-10,08:00:00,398.6,399.3,398.1,398.3,42,394.10639056324624,394.0506681429344,393.93522283113384,394.00796129009956,BULLISH_CROSS,0.12553351744915892,0.20085362791865713,-0.7532011046949535
2005-01-03,20:00:00,428.3,430.1,426.7,429.6,302,438.63598457217597,438.68993392835824,439.0048002689994,438.78129004824126,BEARISH_CROSS,-0.18621973929236763,-0.6052141527001915,-0.6517690875232801
2005-02-23,00:00:00,435.0,435.5,433.2,433.3,77,424.33774408289565,424.08206946306314,423.97193771893217,423.9894269451039,BULLISH_CROSS,-0.02307869836141766,-0.18462958689130193,-0.02307869836141766
2005-03-28,00:00:00,424.3,424.3,424.3,424.3,1,431.84450414766013,431.95695717333905,432.1524430924626,432.03391151678966,BEARISH_CROSS,0.0,0.07070469007777784,0.3063869903370283
2005-04-21,16:00:00,432.8,434.3,431.2,432.5,670,428.7019951364786,428.6372597751935,428.5469745298043,428.59843826539645,BULLISH_CROSS,-0.18497109826589858,-0.09248554913294271,0.2774566473988413
2005-05-06,20:00:00,424.3,426.0,424.1,425.3,179,429.6201953544488,429.71802035872116,429.796529858712,429.7624225733816,BEARISH_CROSS,0.07053844345168384,-0.18810251587115245,0.0
2005-06-13,20:00:00,429.3,429.6,428.1,428.3,74,423.48003043631854,423.40934734348593,423.2832969847397,423.3601950554808,BULLISH_CROSS,-0.30352556619192417,-0.4669624095260332,-0.4669624095260332
2005-07-08,00:00:00,424.0,424.3,423.8,423.8,16,429.25020577053834,429.28245100766975,429.47266314892767,429.33755101779707,BEARISH_CROSS,-0.14157621519585245,-0.04719207173194635,-0.11798017932987258
2005-08-01,20:00:00,431.5,432.1,431.1,431.7,112,426.25307243307776,426.2368406638624,426.03074885891766,426.1819345398811,BULLISH_CROSS,0.0,-0.023164234422044454,-0.023164234422044454
2005-11-07,04:00:00,456.2,457.1,456.2,456.7,63,463.87041709878457,463.8928212838765,464.1630871844492,463.96511094502097,BEARISH_CROSS,0.06568863586599767,0.13137727173199534,0.021896211955336708
2005-11-11,16:00:00,465.7,468.0,465.3,467.8,346,463.67018471291306,463.63807717062446,463.50162082364415,463.59624880047994,BULLISH_CROSS,0.08550662676356932,0.3847798204360862,0.04275331338178466
2006-03-13,16:00:00,543.5,544.7,541.5,544.5,284,549.9450631028654,550.0049995930383,550.1673105764518,550.060326222114,BEARISH_CROSS,0.22038567493113784,-0.23875114784204857,0.7713498622589615
2006-03-16,12:00:00,551.0,553.7,551.0,552.7,66,549.9350592852327,549.9308975435571,549.822204562181,549.9030673681154,BULLISH_CROSS,-0.21711597611725084,0.18092998009770217,0.45232495024425545
2006-06-02,20:00:00,637.1,638.5,634.2,637.7,208,649.0384102475434,649.0530782442353,649.5012025025452,649.1671795331221,BEARISH_CROSS,0.6742982593696023,0.7840677434530343,-0.1724949035596711
