trade_date,trade_time,open,high,low,close,volume,sma,std,upper_band,lower_band,recent_low,recent_high,distance_to_recent_low_pct,distance_to_recent_high_pct,signal,forward_1,forward_3,forward_6
1994-03-24,00:00:00,0.5697,0.5701,0.5634,0.5661,981,0.573275,0.0032965492324711536,0.5798680984649422,0.5666819015350577,0.5668,0.5787,-0.12350035285813743,-2.177293934681172,BB_DOUBLE_BOTTOM_BULLISH,0.17664723547076502,-0.2826355767532319,-0.35329447094153005
1994-04-22,00:00:00,0.5725,0.5752,0.5713,0.5736,671,0.5667549999999999,0.002910141070916173,0.5725752821418323,0.5609347178581675,0.5646,0.5734,1.5940488841657825,0.03487966515521067,BB_DOUBLE_TOP_BEARISH,0.12203626220363213,0.1743375174337519,0.6101813110181219
1994-07-01,00:00:00,0.5947,0.599,0.5947,0.5979,541,0.59164,0.0029738155536901886,0.5975876311073804,0.5856923688926197,0.5857,0.5978,2.0829776336008177,0.016728002676478584,BB_DOUBLE_TOP_BEARISH,-0.16725204883759842,-0.016725204883757984,1.5387188493059016
1994-07-12,00:00:00,0.6058,0.6085,0.6035,0.6064,941,0.59549,0.005425466266647022,0.606340932533294,0.5846390674667059,0.5912,0.6071,2.571041948579179,-0.11530225662986705,BB_DOUBLE_TOP_BEARISH,-0.28034300791557304,-1.0883905013192694,-0.7255936675461857
1994-09-02,00:00:00,0.6038,0.6062,0.6033,0.6052,441,0.60141,0.0017600538269265838,0.6049301076538531,0.5978898923461469,0.5987,0.6048,1.085685652246526,0.06613756613755885,BB_DOUBLE_TOP_BEARISH,-0.36351619299404825,0.23132848645077128,-0.42961004626568666
1994-09-07,00:00:00,0.6031,0.6082,0.6031,0.6066,671,0.6019300000000001,0.0020880865075835076,0.6061061730151671,0.597753826984833,0.6,0.6062,1.1000000000000085,0.0659848234906082,BB_DOUBLE_TOP_BEARISH,-0.32970656116056735,-0.6594131223211347,-0.49455984174085105
1994-10-10,00:00:00,0.6033,0.6064,0.6033,0.6062,331,0.60303,0.0014440804759591037,0.6059181609519182,0.6001418390480817,0.6001,0.6058,1.0164972504582561,0.06602839220864244,BB_DOUBLE_TOP_BEARISH,-0.23094688221708295,-0.1319696469811798,0.808314087759818
1994-10-14,00:00:00,0.6055,0.6073,0.6055,0.6073,181,0.60346,0.0018633303518145127,0.607186660703629,0.599733339296371,0.6016,0.6069,0.947473404255307,0.06590871642774031,BB_DOUBLE_TOP_BEARISH,0.658653054503541,0.8727152972172044,0.9221142763049646
1994-10-19,00:00:00,0.6108,0.6127,0.6107,0.6126,221,0.60488,0.0033567841753666242,0.6115935683507332,0.5981664316492667,0.6023,0.6129,1.7101112402457392,-0.048947626040131656,BB_DOUBLE_TOP_BEARISH,-0.09794319294809745,0.048971596474039654,0.2938295788442561
1994-11-09,00:00:00,0.6211,0.6257,0.6207,0.6249,621,0.6144700000000001,0.004557711798927917,0.623585423597856,0.6053545764021442,0.6113,0.6241,2.224766890233937,0.1281845858035608,BB_DOUBLE_TOP_BEARISH,-0.6080972955672949,-0.9121459433509423,-0.3520563290126388
