trade_date,trade_time,open,high,low,close,volume,prev_day_high,prev_day_low,rsi,distance_to_prev_high_pct,distance_to_prev_low_pct,signal,forward_1,forward_3,forward_6
1971-02-02,00:00:00,357.55,357.55,357.55,357.55,1,357.67,357.67,16.030534351141185,-0.03355047949227068,-0.03355047949227068,BULLISH,-0.002796811634733857,-0.0055936232694836115,-0.013984058173685181
1971-02-03,00:00:00,357.54,357.54,357.54,357.54,1,357.55,357.55,16.406249999996504,-0.002796811634733857,-0.002796811634733857,BULLISH,-0.008390669575440386,-0.013984449292390046,-0.011187559433915214
1971-02-04,00:00:00,357.51,357.51,357.51,357.51,1,357.54,357.54,16.030534351141185,-0.008390669575440386,-0.008390669575440386,BULLISH,0.005594249111907866,-0.002797124555953933,0.005594249111907866
1971-02-05,00:00:00,357.53,357.53,357.53,357.53,1,357.51,357.51,18.852459016387826,0.005594249111907866,0.005594249111907866,BULLISH,-0.011187872346366354,-0.008390904259774765,0.0
1971-02-08,00:00:00,357.49,357.49,357.49,357.49,1,357.53,357.53,14.166666666660674,-0.011187872346366354,-0.011187872346366354,BULLISH,0.0027972810428238282,0.0027972810428238282,0.011189124171295313
1971-02-09,00:00:00,357.5,357.5,357.5,357.5,1,357.49,357.49,11.206896551720249,0.0027972810428238282,0.0027972810428238282,BULLISH,0.0,0.008391608391600759,0.016783216783217418
1971-02-10,00:00:00,357.5,357.5,357.5,357.5,1,357.5,357.5,12.62135922329675,0.0,0.0,BULLISH,0.0,0.008391608391600759,0.02797202797203433
1971-02-11,00:00:00,357.5,357.5,357.5,357.5,1,357.5,357.5,19.696969696964743,0.0,0.0,BULLISH,0.008391608391600759,0.008391608391600759,0.013986013986017166
1971-02-19,00:00:00,357.56,357.56,357.56,357.56,1,357.53,357.53,19.99999999999747,0.008390904259790664,0.008390904259790664,BULLISH,0.011186933661489111,0.011186933661489111,0.01957713390759402
1971-05-06,00:00:00,357.41,357.41,357.41,357.41,1,357.4,357.4,19.047619047642243,0.002797985450489018,0.002797985450489018,BULLISH,0.0,0.008393721496313117,0.02238325732351755
1971-05-10,00:00:00,357.14,357.14,357.14,357.14,1,357.41,357.41,9.302325581409491,-0.07554349346689758,-0.07554349346689758,BULLISH,0.08400067200537924,0.09800078400627843,0.08400067200537924
1971-09-09,00:00:00,339.07,339.07,339.07,339.07,1,339.39,339.39,10.423875432525449,-0.09428680868617025,-0.09428680868617025,BULLISH,-0.07668033149496885,-0.24478721208009677,-0.3303152741321864
1971-09-10,00:00:00,338.81,338.81,338.81,338.81,1,339.07,339.07,10.307955517535873,-0.07668033149496885,-0.07668033149496885,BULLISH,0.05017561465128418,-0.11806026976770971,-0.45453203860571423
1971-09-13,00:00:00,338.98,338.98,338.98,338.98,1,338.81,338.81,10.955414012738416,0.05017561465128418,0.05017561465128418,BULLISH,-0.21830196471768512,-0.33630302672725326,-0.48380435423920093
1971-09-15,00:00:00,338.41,338.41,338.41,338.41,1,338.24,338.24,11.106557377048958,0.05026017029328758,0.05026017029328758,BULLISH,-0.16843473892616945,-0.3368694778523221,-0.3368694778523221
1971-09-17,00:00:00,337.95,337.95,337.95,337.95,1,337.84,337.84,11.08443377350936,0.03255979161733769,0.03255979161733769,BULLISH,-0.20121319721852549,-0.1509098979138899,-0.5030329930463053
1971-09-24,00:00:00,336.98,336.98,336.98,336.98,1,337.27,337.27,14.090909090910202,-0.08598452278588775,-0.08598452278588775,BULLISH,-0.2166300670663001,-0.41842245830613833,-1.1306308979761417
1971-09-28,00:00:00,336.36,336.36,336.36,336.36,1,336.25,336.25,16.258351893096986,0.03271375464684421,0.03271375464684421,BULLISH,-0.2348674039719409,-0.8829825187299403,-1.102984897134034
1971-09-30,00:00:00,335.35,335.35,335.35,335.35,1,335.57,335.57,14.837398373984868,-0.06556009178411969,-0.06556009178411969,BULLISH,-0.5844639928433089,-0.659012971522301,-0.8886238258535911
1971-10-04,00:00:00,333.17,333.17,333.17,333.17,1,333.39,333.39,9.046849757674451,-0.06598878190706693,-0.06598878190706693,BULLISH,-0.00900441216196823,-0.1680823603565754,-0.5312603175556139
1971-10-05,00:00:00,333.14,333.14,333.14,333.14,1,333.17,333.17,6.446280991736131,-0.00900441216196823,-0.00900441216196823,BULLISH,-0.14708530947950085,-0.23113405775349155,-0.6873986912409089
1971-10-07,00:00:00,332.61,332.61,332.61,332.61,1,332.65,332.65,4.74576271186487,-0.012024650533582933,-0.012024650533582933,BULLISH,-0.07215657977812125,-0.36378942304802514,-0.9049637713839003
1971-10-08,00:00:00,332.37,332.37,332.37,332.37,1,332.61,332.61,5.128205128205636,-0.07215657977812125,-0.07215657977812125,BULLISH,-0.5566085988506853,-0.45732165959622767,-0.45732165959622767
1971-10-15,00:00:00,330.58,330.58,330.58,330.58,1,330.85,330.85,11.813842482100284,-0.08160797944689094,-0.08160797944689094,BULLISH,-0.2964486659809914,0.1482243329905043,-0.47794784923467365
1971-11-24,00:00:00,328.04,328.04,328.04,328.04,1,328.19,328.19,15.403422982886042,-0.04570523172551792,-0.04570523172551792,BULLISH,-0.1341299841482739,-0.18290452383856318,-0.8962321668089249
1972-01-04,00:00:00,314.96,314.96,314.96,314.96,1,314.86,314.86,12.425683709868807,0.03176014736707295,0.03176014736707295,BULLISH,-0.03175006350011617,-0.7810515621031178,-0.4699009398018673
1972-01-05,00:00:00,314.86,314.86,314.86,314.86,1,314.96,314.96,12.759462759462394,-0.03175006350011617,-0.03175006350011617,BULLISH,-0.9051641999618949,-0.5939147557644682,-0.28266531156704133
1972-02-10,00:00:00,304.69,304.69,304.69,304.69,1,304.79,304.79,10.813594232749807,-0.032809475376496186,-0.032809475376496186,BULLISH,0.0,-0.18051133939414205,-0.39384292231447987
1972-02-11,00:00:00,304.69,304.69,304.69,304.69,1,304.69,304.69,10.914760914761032,0.0,0.0,BULLISH,-0.15097312022054532,-0.24286980209393452,-0.6038924808821999
1972-02-15,00:00:00,304.14,304.14,304.14,304.14,1,304.23,304.23,11.06427818756596,-0.02958288137265616,-0.02958288137265616,BULLISH,-0.062471230354441284,-0.21371736700203106,-0.6674557769448192
1972-02-16,00:00:00,303.95,303.95,303.95,303.95,1,304.14,304.14,12.758201701093668,-0.062471230354441284,-0.062471230354441284,BULLISH,0.0,-0.3619016285573173,-0.48363217634478384
1972-02-17,00:00:00,303.95,303.95,303.95,303.95,1,303.95,303.95,8.535031847133936,0.0,0.0,BULLISH,-0.15134068103305792,-0.48363217634478384,0.0
1972-04-05,00:00:00,305.16,305.16,305.16,305.16,1,304.97,304.97,87.02830188679239,0.0623012099550768,0.0623012099550768,BEARISH,-0.09175514484205975,-0.9994756848866205,-0.8487350897889736
1972-04-06,00:00:00,304.88,304.88,304.88,304.88,1,305.16,305.16,81.26410835214382,-0.09175514484205975,-0.09175514484205975,BEARISH,-0.5477564943584413,-0.8462345840986566,-0.6363159275780628
1972-11-27,00:00:00,301.11,301.11,301.11,301.11,1,301.02,301.02,84.21052631578807,0.029898345624886,0.029898345624886,BEARISH,0.02988940918600345,0.0,0.0
1973-01-03,00:00:00,301.43,301.43,301.43,301.43,1,301.39,301.39,80.59701492537427,0.013271840472484312,0.013271840472484312,BEARISH,-0.0763029559101676,0.2587665461301041,0.01658759911090846
1973-03-01,00:00:00,265.6,265.6,265.6,265.6,1,265.67,265.67,10.51418030896933,-0.02634847743440854,-0.02634847743440854,BULLISH,-1.3102409638554284,-1.4382530120482115,-1.9503012048192794
