trade_date,trade_time,open,high,low,close,volume,prev_day_high,prev_day_low,rsi,distance_to_prev_high_pct,distance_to_prev_low_pct,signal,forward_1,forward_3,forward_6
1994-05-31,00:00:00,1.5095,1.5134,1.5065,1.5115,1181,1.511,1.506,82.55813953488395,0.03309066843151337,0.3652058432934967,BEARISH,0.330797221303334,-0.3969566655640096,-0.03307972213034515
1994-10-25,00:00:00,1.6335,1.642,1.6317,1.6354,1871,1.6351,1.6246,80.98676293622137,0.0183475016818523,0.6647790225286175,BEARISH,0.20178549590314793,-0.7521095756389861,-0.7582242876360503
1996-01-24,00:00:00,1.5148,1.5162,1.5071,1.512,1541,1.5196,1.5105,15.435139573070686,-0.5001316135825251,0.09930486593843475,BULLISH,-0.32407407407406774,-0.3703703703703736,0.5555555555555531
1996-01-25,00:00:00,1.511,1.5196,1.503,1.5071,2931,1.5162,1.5071,14.968152866242164,-0.6001846722068254,0.0,BULLISH,-0.17251675403093075,-0.13270519540840034,1.2275230575276996
1996-01-26,00:00:00,1.5083,1.511,1.497,1.5045,2421,1.5196,1.503,13.978494623656047,-0.9936825480389649,0.0998003992016006,BULLISH,0.12628780325689684,0.691259554669323,2.30641409106015
1996-06-03,00:00:00,1.5523,1.5575,1.5448,1.5563,2141,1.5549,1.531,85.83916083916027,0.09003794456235564,1.6525146962769497,BEARISH,-0.5011887168283768,-0.7839105570905345,-1.2786737775493175
1996-11-01,00:00:00,1.626,1.6442,1.6249,1.6365,2811,1.635,1.6229,80.51224944320707,0.09174311926605852,0.8380060385729285,BEARISH,0.4155209288114829,0.33608310418575243,0.9104796822486962
1996-11-04,00:00:00,1.6365,1.648,1.6318,1.6433,2561,1.6442,1.6249,80.62015503875962,-0.05473786643961336,1.1323773770693564,BEARISH,0.20081543236171612,0.4381427615164666,0.17647416783302652
1996-11-05,00:00:00,1.643,1.6573,1.6429,1.6466,2521,1.648,1.6318,85.40965207631885,-0.08495145631067026,0.9069738938595506,BEARISH,-0.27936353698531274,0.17612049070811991,0.9352605368638319
1996-11-07,00:00:00,1.6412,1.6529,1.6387,1.6505,1911,1.6505,1.6375,81.79937952430194,0.0,0.7938931297709999,BEARISH,-0.060587700696765334,-0.26052711299606,0.8300514995455816
1996-11-14,00:00:00,1.6606,1.6686,1.658,1.665,1681,1.6638,1.641,80.09950248756218,0.0721240533718049,1.4625228519195625,BEARISH,-0.04804804804805609,0.6606606606606545,0.930930930930935
1996-11-18,00:00:00,1.6632,1.6743,1.661,1.671,1881,1.6705,1.661,81.23711340206171,0.0299311583358243,0.6020469596628543,BEARISH,0.29922202274086734,1.1729503291442287,0.10173548773189917
1997-08-01,00:00:00,1.6407,1.6435,1.6295,1.6319,1921,1.6454,1.6305,18.273542600896846,-0.8204691868238767,0.08586323213737171,BULLISH,0.042894785219691464,-1.7403027146271208,-2.3530853606225866
1997-08-05,00:00:00,1.632,1.6352,1.6218,1.6244,1921,1.6353,1.6245,19.813519813519946,-0.666544364948322,-0.006155740227761711,BULLISH,-1.2866289091356895,-2.1484855946811225,-2.4562915538044847
1997-08-07,00:00:00,1.6025,1.6094,1.5773,1.5892,5091,1.6265,1.5905,11.072362685265858,-2.2932677528435357,-0.08173530336372706,BULLISH,0.018877422602565253,-0.5852001006795787,1.3277120563805764
1997-11-11,00:00:00,1.7005,1.7093,1.698,1.7045,1861,1.706,1.6782,89.43355119825702,-0.08792497069167977,1.5671552854248594,BEARISH,0.0,-0.6453505426811322,-0.8682898210618906
1999-01-06,04:00:00,1.6545,1.6555,1.6532,1.6543,184,1.6607,1.6529,14.555765595463512,-0.38537965917986156,0.08469961885171927,BULLISH,-0.09671764492534883,-0.006044852807846886,-0.16321102581153035
1999-01-06,08:00:00,1.6548,1.6548,1.6501,1.6527,908,1.6607,1.6529,14.232902033272083,-0.4817245739748303,-0.012099945550243692,BULLISH,0.6413747201548946,0.13916621286379674,0.09681127851394965
