trade_date,trade_time,open,high,low,close,volume,recent_low,recent_high,distance_to_recent_low_pct,distance_to_recent_high_pct,signal,forward_1,forward_3,forward_6
2022-10-25,20:00:00,1.36356,1.36433,1.3601,1.36062,15655,1.36039,1.37741,0.01690691639897033,-1.2189544144445068,DOUBLE_BOTTOM_BULLISH,0.21534300539460682,-0.6335347121165241,-0.3785039173318038
2022-10-26,04:00:00,1.36357,1.36381,1.35956,1.36028,8079,1.3601,1.37741,0.01323432100579714,-1.2436384228370703,DOUBLE_BOTTOM_BULLISH,-0.6086982091922136,-0.29993824800775293,-0.40653394889287764
2022-10-28,12:00:00,1.36056,1.36299,1.35832,1.3617,15538,1.34952,1.36262,0.9025431264449477,-0.0675169893293825,DOUBLE_TOP_BEARISH,0.03818755966806756,-0.01028126606446405,0.43107879856062586
2022-10-28,16:00:00,1.36163,1.36344,1.35901,1.36222,20105,1.34952,1.36299,0.9410753453079564,-0.056493444559383224,DOUBLE_TOP_BEARISH,-0.11892352189807481,-0.050652611178816885,0.15783060004992558
2022-10-31,00:00:00,1.36132,1.36188,1.35931,1.36156,4873,1.34952,1.36344,0.8921690675203072,-0.13788652232587292,DOUBLE_TOP_BEARISH,-0.0022033549751899685,0.4414054466934875,0.0022033549751736604
2022-10-31,04:00:00,1.36157,1.36295,1.3607,1.36153,7298,1.34952,1.36344,0.8899460548935809,-0.1400868391715131,DOUBLE_TOP_BEARISH,0.2306229021762387,0.20858886693647408,-0.23209183785886686
2022-10-31,08:00:00,1.36152,1.36586,1.36111,1.36467,9482,1.34952,1.36344,1.1226213764894182,0.0902129906706613,DOUBLE_TOP_BEARISH,0.21250558743138656,-0.18319447192361132,-0.6682934335773496
2022-10-31,12:00:00,1.36469,1.368,1.36298,1.36757,13249,1.35182,1.36586,1.1650959447263638,0.12519584730498573,DOUBLE_TOP_BEARISH,-0.23399167867091775,-0.4372719495162862,-0.96082833054249
2022-11-01,04:00:00,1.36157,1.36199,1.35774,1.35837,8356,1.35832,1.3685,0.0036810177277891453,-0.7402265253927638,DOUBLE_BOTTOM_BULLISH,-0.20760175798935818,0.5109064540589048,0.15165234803477334
2022-11-01,12:00:00,1.35554,1.35739,1.35301,1.35443,14790,1.35419,1.3685,0.01772277154609161,-1.0281329923273677,DOUBLE_BOTTOM_BULLISH,0.8032899448476482,0.5338038879824036,0.4201029215241816
2022-11-03,00:00:00,1.3711,1.37239,1.36897,1.37069,5672,1.35301,1.37133,1.306716136613914,-0.04667002107442949,DOUBLE_TOP_BEARISH,-0.13132072168032333,0.642741976668684,0.23272950120012742
2022-11-04,16:00:00,1.35193,1.35712,1.3469,1.35154,26473,1.35121,1.38079,0.024422554599206746,-2.1183525373155945,DOUBLE_BOTTOM_BULLISH,-0.26118353877798905,0.08286843156695399,-0.13910058155880564
