trade_date,trade_time,open,high,low,close,volume,ema20,ema50,distance_to_ema20_pct,signal,forward_1,forward_3,forward_6
2009-12-21,04:00:00,1.0424,1.0429,1.0411,1.0412,5331,1.0421952380952382,1.042256862745098,-0.09549440055562065,BEARISH_EMA20_PULLBACK,0.12485593545909325,0.4033807145601425,0.470610833653489
2009-12-21,08:00:00,1.0411,1.048,1.0405,1.0425,9757,1.0422242630385488,1.042266397539408,0.0264565862866526,BULLISH_EMA20_PULLBACK,0.019184652278175344,0.33573141486811114,0.42206235011990023
2009-12-21,12:00:00,1.0426,1.0433,1.0393,1.0427,8252,1.0422695713205918,1.0422834015574705,0.041297250850636985,BULLISH_EMA20_PULLBACK,0.2589431284166248,0.2397621559413011,0.5466577155461819
2009-12-29,20:00:00,1.0367,1.038,1.0358,1.0366,4543,1.0366831682953712,1.0394525050988057,-0.008022537445843197,BEARISH_EMA20_PULLBACK,0.23152614316032777,-0.009646922631679431,-0.028940767895038293
2009-12-30,04:00:00,1.039,1.0393,1.0371,1.0376,4761,1.0369701218925829,1.0393628084360755,0.06074216547990974,BEARISH_EMA20_PULLBACK,-0.10601387818042607,-0.12528912875868145,-0.8191981495759612
2009-12-30,08:00:00,1.0376,1.0384,1.0358,1.0365,7324,1.0369253483790035,1.0392505414385824,-0.04102015440826845,BEARISH_EMA20_PULLBACK,0.25084418716834883,-0.019295706705255954,-0.6560540279787667
2009-12-30,16:00:00,1.0391,1.042,1.035,1.0363,8918,1.0370531763374609,1.0391291618585299,-0.07262658797505797,BEARISH_EMA20_PULLBACK,0.0,-0.6947795040046411,-0.17369487600116026
2010-01-04,08:00:00,1.0369,1.0418,1.0327,1.035,11432,1.0353771505722276,1.0375939733626849,-0.0364263951565094,BEARISH_EMA20_PULLBACK,-0.5120772946859768,-0.4927536231883945,-0.5410628019323506
2010-01-05,20:00:00,1.0347,1.0349,1.033,1.0337,4819,1.0326482902967524,1.0354545300414997,0.10184587658063217,BEARISH_EMA20_PULLBACK,-0.048369933249508265,-0.1741317596981739,-0.5514172390442138
2010-01-06,00:00:00,1.0337,1.0353,1.0325,1.0332,6346,1.0327008340780142,1.0353661170986959,0.04833596580091701,BEARISH_EMA20_PULLBACK,0.30003871467287097,-0.04839334107626258,-0.4936120789779213
2010-01-06,08:00:00,1.0363,1.0375,1.0319,1.0319,11163,1.0329346963767871,1.0352653776062932,-0.10017055099576919,BEARISH_EMA20_PULLBACK,0.07752689214070277,-0.37794359918596904,0.05814516910552707
2010-01-08,04:00:00,1.0346,1.0359,1.0335,1.0341,5500,1.032709946224767,1.0341828561323752,0.13460253581506548,BEARISH_EMA20_PULLBACK,0.1450536698578529,-1.1120781355768363,-1.605260613093506
2010-01-18,16:00:00,1.025,1.0254,1.0235,1.0238,6021,1.0233308011176239,1.024258037824466,0.04585016710761991,BEARISH_EMA20_PULLBACK,0.07814026176986831,0.05860519632740124,0.8204727485837041
2010-01-18,20:00:00,1.0237,1.0249,1.0236,1.0246,4919,1.0234516772016597,1.0242714481058595,0.11220097869984168,BULLISH_EMA20_PULLBACK,-0.029279718914695198,0.7319929728674666,0.7710325980870602
2010-01-25,04:00:00,1.0393,1.0401,1.0384,1.0397,6264,1.0394814092658462,1.034459923419962,0.021028825739966936,BULLISH_EMA20_PULLBACK,-0.259690295277498,0.009618159084350195,0.42319899971145125
2010-01-25,12:00:00,1.0369,1.0422,1.0367,1.0406,10239,1.039374124138255,1.0347964152754052,0.11794365794523835,BULLISH_EMA20_PULLBACK,-0.07687872381317624,-0.01921968095329406,0.6150297905054739
2010-01-26,00:00:00,1.0395,1.0407,1.0378,1.0404,6445,1.0395244916817075,1.0353782833204133,0.08422200008738233,BULLISH_EMA20_PULLBACK,0.3556324490580581,0.6343713956170646,0.5382545174932766
2010-02-02,20:00:00,1.0545,1.0554,1.0541,1.055,6207,1.055084481081845,1.0494734740713865,-0.00800704430401408,BULLISH_EMA20_PULLBACK,0.08530805687204956,-0.24644549763032567,0.33175355450237526
2010-02-03,00:00:00,1.055,1.0566,1.0542,1.0559,6080,1.0551621495502408,1.049725494696038,0.06992768363362692,BULLISH_EMA20_PULLBACK,-0.009470593806230608,0.06629415664361425,0.2841178141869392
