trade_date,trade_time,open,high,low,close,volume,sma,std,upper_band,lower_band,signal,forward_1,forward_3,forward_6
1993-08-10,00:00:00,1.4908,1.4918,1.465,1.4668,2961,1.4962950000000002,0.011986592290422144,1.5202681845808443,1.472321815419156,LOWER_BAND,0.3886010362694175,-0.5317698391055379,3.2860649031906055
1993-08-13,00:00:00,1.465,1.4705,1.455,1.459,2501,1.492245,0.01644869135732024,1.5251423827146404,1.4593476172853597,LOWER_BAND,2.193283070596301,3.8382453735435114,3.152844413982167
1993-10-18,00:00:00,1.5075,1.509,1.4835,1.4855,2901,1.514815,0.011884101498264712,1.5385832029965294,1.4910467970034706,LOWER_BAND,0.18175698418040556,-0.10097610232245417,-0.3500504880511675
1993-10-22,00:00:00,1.4835,1.489,1.47,1.472,2651,1.50934,0.017581850689964724,1.5445037013799294,1.4741762986200704,LOWER_BAND,0.455163043478256,0.6182065217391378,0.6250000000000067
1993-12-06,00:00:00,1.4927,1.506,1.491,1.5034,1931,1.483055,0.007835914281789789,1.4987268285635795,1.4673831714364205,UPPER_BAND,-0.6917653319143252,-0.5786883065052648,-0.991086869761882
1994-01-27,00:00:00,1.4945,1.512,1.4909,1.508,2871,1.492545,0.007080698374713799,1.5067063967494276,1.4783836032505724,UPPER_BAND,-0.8355437665782457,-0.44429708222811193,-2.062334217506625
1994-01-31,00:00:00,1.493,1.5083,1.493,1.5074,1621,1.49449,0.006448655510626233,1.5073873110212526,1.4815926889787476,UPPER_BAND,-0.40467029322011366,-1.373225421255152,-2.6668435717128838
1994-02-04,00:00:00,1.486,1.4997,1.472,1.4769,4631,1.49515,0.006772506338517313,1.5086950126770347,1.4816049873229653,LOWER_BAND,0.5010494955650248,-1.1104340171981983,0.5213623129527942
1994-02-08,00:00:00,1.4834,1.4885,1.4648,1.4672,3121,1.493525,0.0094402205036687,1.5124054410073373,1.4746445589926627,LOWER_BAND,-0.456652126499465,-0.3203380588876873,0.6270447110141681
1994-02-09,00:00:00,1.4667,1.472,1.457,1.4605,2381,1.4914,0.011706498420242859,1.5148129968404858,1.4679870031595144,LOWER_BAND,0.19171516603903704,1.6501198219787752,1.3488531324888773
1994-02-10,00:00:00,1.4605,1.465,1.454,1.4633,1921,1.48975,0.013208749094125767,1.5161674981882514,1.4633325018117485,LOWER_BAND,-0.054670949224365065,0.7038884712635807,1.2779334381193153
1994-03-29,00:00:00,1.4955,1.501,1.4815,1.4839,2741,1.494015,0.004589722500498156,1.5031944450009964,1.4848355549990038,LOWER_BAND,-0.22912595188355478,-0.6873778556506495,-1.0647617764000294
1994-03-30,00:00:00,1.4823,1.4875,1.4734,1.4805,2641,1.4932050000000001,0.005441408002772044,1.5040878160055442,1.482322183994456,LOWER_BAND,0.23640661938534677,-0.9658899020601136,-0.4998311381290004
1994-04-01,00:00:00,1.4835,1.489,1.471,1.4737,2621,1.491765,0.007131935221242552,1.5060288704424851,1.477501129557515,LOWER_BAND,-0.5089231186808755,-0.3799959286150539,-0.23749745538441058
1994-04-04,00:00:00,1.4695,1.476,1.464,1.4662,2071,1.49057,0.009144057604460083,1.5088581152089202,1.4722818847910797,LOWER_BAND,-0.14322739053335087,0.4706042831810209,0.7502387123175638
1994-04-05,00:00:00,1.4656,1.471,1.4607,1.4641,1911,1.4892999999999998,0.010896450411897796,1.5110929008237954,1.4675070991762043,LOWER_BAND,0.2732053821460285,0.8196161464380856,0.8469366846526855
1994-04-26,00:00:00,1.491,1.5085,1.488,1.505,2701,1.47932,0.010345535523266136,1.5000110710465322,1.4586289289534677,UPPER_BAND,0.013289036544863788,0.9966777408637957,-0.19269102990032577
1994-04-27,00:00:00,1.5055,1.5115,1.5035,1.5052,1571,1.480555,0.011857596943021796,1.5042701938860437,1.4568398061139565,UPPER_BAND,0.5580653733723068,0.7307998937018269,-0.3986181238373641
1994-04-28,00:00:00,1.5046,1.5155,1.5008,1.5136,2041,1.4820350000000002,0.01396941301558516,1.5099738260311706,1.4540961739688298,UPPER_BAND,0.42283298097251326,0.0,-1.321353065539113
1994-04-29,00:00:00,1.5143,1.526,1.5074,1.52,3151,1.48435,0.016177355844057453,1.516704711688115,1.4519952883118852,UPPER_BAND,-0.2500000000000017,-1.1776315789473701,-1.4473684210526327
1994-06-13,00:00:00,1.5085,1.5235,1.507,1.522,1951,1.5097200000000002,0.00404430724013111,1.5178086144802625,1.5016313855197378,UPPER_BAND,-0.19710906701709027,-0.11826544021025123,1.2812089356110428
1994-06-14,00:00:00,1.5217,1.526,1.5162,1.519,1691,1.510535,0.004194768044518289,1.5189245360890364,1.5021454639109635,UPPER_BAND,0.164581961816996,1.086240947992112,0.7768268597761707
1994-06-15,00:00:00,1.5165,1.5233,1.5159,1.5215,981,1.5111999999999999,0.004813686627452024,1.520827373254904,1.5015726267450957,UPPER_BAND,-0.08544199802826677,1.0844561288202403,1.1173184357541837
1994-06-17,00:00:00,1.5202,1.538,1.5155,1.5355,2971,1.51326,0.0072349589894404355,1.527729917978881,1.498790082021119,UPPER_BAND,0.16281341582546055,-0.306089221751882,0.6252035167697708
1994-06-20,00:00:00,1.5342,1.5424,1.5293,1.538,2241,1.514785,0.008964624922434505,1.5327142498448691,1.496855750155131,UPPER_BAND,0.22756827048114817,0.03250975292587418,0.9492847854356272
1994-06-21,00:00:00,1.5374,1.5475,1.5342,1.5415,2251,1.51656,0.010514220946184875,1.5375884418923698,1.49553155810763,UPPER_BAND,-0.6941290950373112,0.7460265974699866,0.2854362633798222
1994-06-24,00:00:00,1.5378,1.5569,1.533,1.553,3261,1.52115,0.01370326507384757,1.5485565301476951,1.4937434698523049,UPPER_BAND,-0.5086928525434654,-0.45717965228589086,-0.9401159047005762
1994-07-11,00:00:00,1.555,1.576,1.553,1.5732,2781,1.540795,0.012432109318419798,1.5656592186368394,1.5159307813631604,UPPER_BAND,-0.26697177726925897,-0.8899059242308679,-1.576404780066103
1994-07-12,00:00:00,1.5727,1.577,1.5665,1.569,1731,1.543295,0.01283926850678589,1.5689735370135718,1.5176164629864284,UPPER_BAND,-0.3186743148502163,-0.4461440407903057,-1.4021669853409828
1994-07-21,00:00:00,1.543,1.5522,1.52,1.5251,4651,1.55036,0.01167932946885052,1.573718658937701,1.527001341062299,LOWER_BAND,0.1573667300505003,-0.026227788341745193,1.239262999147606
1994-08-22,00:00:00,1.549,1.5587,1.5447,1.557,2001,1.540645,0.007442444066574577,1.5555298881331492,1.525760111866851,UPPER_BAND,-0.051380860629409886,-0.019267822736028707,-1.4771997430956911
1994-09-12,00:00:00,1.5516,1.5741,1.5495,1.5699,3091,1.547405,0.009486249050731562,1.566377498101463,1.5284325018985367,UPPER_BAND,-0.31212179119689953,-0.47773743550545017,0.33123128861710116
