trade_date,trade_time,open,high,low,close,volume,ema20,ema50,distance_to_ema20_pct,signal,forward_1,forward_3,forward_6
1993-07-02,00:00:00,1.515,1.5255,1.5055,1.507,3201,1.5055144642061484,1.5184943040728287,0.09867296722617565,BEARISH_EMA20_PULLBACK,0.2322495023224989,-0.7631055076310448,-1.8579960185799473
1993-07-06,00:00:00,1.5095,1.513,1.5015,1.504,1751,1.5057998221732871,1.5176246920718424,-0.1195259918871202,BEARISH_EMA20_PULLBACK,-0.565159574468082,-1.5957446808510651,-0.09973404255319528
1993-07-23,00:00:00,1.51,1.513,1.4915,1.5035,3651,1.5020648253109803,1.5100437435724483,0.09554678765096823,BEARISH_EMA20_PULLBACK,-0.13302294645826418,-0.4988360492184943,-0.1463252411040891
1993-07-26,00:00:00,1.504,1.5058,1.494,1.5015,2111,1.5020110324242202,1.5097086948049012,-0.03402321375731364,BEARISH_EMA20_PULLBACK,-0.779220779220782,-1.431901431901437,-0.09990009990010368
1993-08-05,00:00:00,1.5016,1.5047,1.4895,1.4964,2521,1.4977114778290028,1.505305350417295,-0.08756545225278738,BEARISH_EMA20_PULLBACK,0.10024057738572953,-1.9780807270783112,-2.499331729484087
1993-08-17,00:00:00,1.4885,1.497,1.4844,1.488,2471,1.4871473890100575,1.498016340312096,0.057331976389377676,BEARISH_EMA20_PULLBACK,1.8145161290322522,1.8145161290322522,-0.4032258064516132
1993-08-30,00:00:00,1.5038,1.5045,1.4865,1.4937,2591,1.495699708947595,1.4993154499633443,-0.1336972211488877,BEARISH_EMA20_PULLBACK,-0.16736961906674344,0.6694784762669886,3.0193479279641102
1993-10-04,00:00:00,1.495,1.5215,1.4933,1.5155,3591,1.5157556487135677,1.5130686661937307,-0.016866090110541066,BULLISH_EMA20_PULLBACK,0.13196964698119443,0.4618937644341732,1.0887495875948505
1993-10-05,00:00:00,1.5145,1.526,1.5108,1.5175,2741,1.5159217774075135,1.5132424439900551,0.10410976450154004,BULLISH_EMA20_PULLBACK,0.4612850082372254,1.0873146622734733,0.2899505766062576
1993-11-15,00:00:00,1.4918,1.4965,1.4855,1.4872,1741,1.4861906219331131,1.4964490296664712,0.06791713337378152,BEARISH_EMA20_PULLBACK,-0.43706293706294863,-0.6858526089295311,-0.0806885422270098
1993-11-30,00:00:00,1.4884,1.4912,1.4779,1.4863,2451,1.4841010870491989,1.491459227399784,0.1481646344706307,BEARISH_EMA20_PULLBACK,-0.5247931104083987,0.24894032160398552,0.4373275920069939
1993-12-13,00:00:00,1.4935,1.498,1.4885,1.4905,1601,1.488812017824758,1.4915039084526402,0.11337779081796111,BEARISH_EMA20_PULLBACK,-0.13418316001341846,-0.2079838980207904,-0.1207648440120781
1993-12-14,00:00:00,1.4895,1.493,1.484,1.4885,1701,1.4887823018414477,1.4913861081211641,-0.018961928893066207,BEARISH_EMA20_PULLBACK,-0.7054081289889119,-0.073899899227402,-0.8935169633859501
1993-12-20,00:00:00,1.4875,1.49,1.4833,1.4858,1171,1.4875108517453084,1.4904069817117034,-0.11501440431853172,BEARISH_EMA20_PULLBACK,0.19518104724726765,0.0,0.48458742764841134
1994-01-24,00:00:00,1.491,1.497,1.4895,1.4938,1221,1.4919091834020888,1.4912025828456192,0.12673804940321481,BULLISH_EMA20_PULLBACK,0.1271923952336332,0.95059579595662,0.5020752443432897
1994-03-21,00:00:00,1.489,1.4896,1.4804,1.4896,1781,1.491100758869946,1.489245775142349,-0.10064771686411213,BULLISH_EMA20_PULLBACK,-0.013426423200857811,0.46321160042963927,-0.38265306122449233
1994-05-09,00:00:00,1.4906,1.499,1.4878,1.498,1501,1.4969481814387415,1.491487050382112,0.07026419312975457,BULLISH_EMA20_PULLBACK,-0.6141522029372561,0.09345794392523817,0.3137516688918509
1994-05-11,00:00:00,1.4882,1.4963,1.485,1.4947,1611,1.4960319580484938,1.4915118062158599,-0.08903272696335453,BULLISH_EMA20_PULLBACK,0.31444437010772386,0.5285341540108396,0.8898106643473668
1994-06-06,00:00:00,1.504,1.5103,1.502,1.5077,1291,1.506558461335205,1.499951321015216,0.07577128230280211,BULLISH_EMA20_PULLBACK,0.1525502420905995,0.18571333819724836,0.749485972010338
1994-06-10,00:00:00,1.509,1.512,1.5035,1.5095,1651,1.5077672638441044,1.5014726946530992,0.114920664312473,BULLISH_EMA20_PULLBACK,0.8280887711162607,0.7949652202716138,1.888042398145079
1994-09-08,00:00:00,1.544,1.5497,1.5402,1.5445,1851,1.5448199930466535,1.5406767324843496,-0.02071393742273175,BULLISH_EMA20_PULLBACK,0.6021366137908764,1.3272903852379387,2.2466817740369023
1995-01-17,00:00:00,1.5678,1.5705,1.5609,1.5664,1781,1.5656245676386893,1.5721254985255544,0.049528627573866495,BEARISH_EMA20_PULLBACK,0.20429009193054723,1.4172625127681306,1.6662410623084787
1995-02-01,00:00:00,1.5805,1.584,1.5765,1.5832,1231,1.5808497472403216,1.5779432130429878,0.14867021763334518,BULLISH_EMA20_PULLBACK,-0.07579585649317003,-1.4022233451237998,-1.591712986356739
1995-05-08,00:00:00,1.6009,1.6112,1.598,1.6063,2101,1.6085926551958316,1.6025915439332385,-0.14252552928338716,BULLISH_EMA20_PULLBACK,-1.133038660275166,-2.8824005478428694,-2.6022536263462652
1995-06-06,00:00:00,1.5927,1.5959,1.5853,1.5886,1711,1.5906219385410787,1.592679852814861,-0.1271162236661471,BEARISH_EMA20_PULLBACK,0.025179403248140244,0.27697343572957067,1.5044693440765473
1995-07-10,00:00:00,1.5955,1.598,1.5877,1.5941,1921,1.5960803840725184,1.595278948256967,-0.12407796576418215,BEARISH_EMA20_PULLBACK,-0.5206699705162772,0.2885640800451626,0.11291637914811015
1995-07-12,00:00:00,1.5859,1.5964,1.585,1.5958,1291,1.5951678427441704,1.594942235588227,0.03962951351515186,BULLISH_EMA20_PULLBACK,0.18172703346283384,-0.07519739315704285,-0.03759869657852838
1995-07-18,00:00:00,1.5939,1.5995,1.592,1.5959,1301,1.5954792757866478,1.5951250289919319,0.02636976987023705,BULLISH_EMA20_PULLBACK,0.11278902186852571,-0.018798170311434863,-0.06892662447522406
1995-07-19,00:00:00,1.594,1.6035,1.5923,1.5977,1871,1.5956907733307766,1.5952260082471503,0.1259157916310655,BULLISH_EMA20_PULLBACK,-0.1564749327157756,-0.1940289165675584,-0.08136696501219609
1995-07-20,00:00:00,1.5969,1.6006,1.5919,1.5952,1571,1.5956440330135597,1.5952249883158895,-0.02782782402420712,BEARISH_EMA20_PULLBACK,0.025075225677028336,-0.3197091273821391,0.3385155466399242
