trade_date,trade_time,open,high,low,close,volume,ema50,sma50,prev_ema50,prev_sma50,signal,forward_1,forward_3,forward_6
1993-08-06,00:00:00,1.4958,1.4995,1.485,1.4979,2691,1.5050149445185776,1.5045880000000003,1.505305350417295,1.5058440000000002,BULLISH_CROSS,-0.46064490286400334,-1.6957073235863602,-0.46064490286400334
1993-10-20,00:00:00,1.4875,1.4985,1.4843,1.4938,2211,1.51304128005751,1.5135779999999999,1.513826638427204,1.513152,BEARISH_CROSS,-0.6560449859418952,-1.0108448252778226,-0.3213281563796971
1993-12-10,00:00:00,1.494,1.5015,1.4918,1.495,1841,1.49154488430785,1.491494,1.4914038591775582,1.491674,BULLISH_CROSS,-0.30100334448161675,-1.1371237458194063,-0.6153846153846219
1994-02-10,00:00:00,1.4605,1.465,1.454,1.4633,1921,1.4888425572198343,1.489062,1.4898851105757458,1.489306,BEARISH_CROSS,-0.054670949224365065,0.7038884712635807,1.2779334381193153
1994-03-10,00:00:00,1.4968,1.506,1.496,1.5032,1361,1.4878697851479579,1.487852,1.4872440620927725,1.4875040000000002,BULLISH_CROSS,-0.20622671633848474,-0.8315593400745195,-0.8049494411921234
1994-04-19,00:00:00,1.4758,1.484,1.4744,1.4816,1341,1.483126786008184,1.483234,1.4831891038044365,1.482946,BEARISH_CROSS,0.7086933045356341,0.47246220302375097,1.5928725701943889
1994-04-28,00:00:00,1.5046,1.5155,1.5008,1.5136,2041,1.4869944838863334,1.48698,1.4859085444531226,1.486312,BULLISH_CROSS,0.42283298097251326,0.0,-1.321353065539113
1994-08-01,00:00:00,1.5525,1.5535,1.5343,1.5362,2211,1.5324333424685168,1.5327419999999998,1.5322796013447828,1.532168,BEARISH_CROSS,-0.0325478453326354,-0.013019138133054158,0.20830621012889544
1994-09-20,00:00:00,1.5679,1.5796,1.5622,1.5751,2761,1.5481777504782772,1.547356,1.54707888315086,1.547234,BULLISH_CROSS,0.24760332677290423,0.22855691702114456,0.0
1994-11-16,00:00:00,1.571,1.5765,1.5631,1.5734,2441,1.5939429381594201,1.5947760000000002,1.5947814254312331,1.5942079999999998,BEARISH_CROSS,-0.22880386424302948,-0.3114274818863547,-0.8008135248506385
