trade_date,trade_time,open,high,low,close,volume,prev_daily_high,prev_daily_low,sma,std,upper_band,lower_band,distance_to_prev_daily_low_pct,distance_to_prev_daily_high_pct,signal,forward_1,forward_3,forward_6
2009-12-24,08:00:00,1.0382,1.0386,1.0339,1.0351,6275,1.0496,1.0359,1.0437299999999998,0.004233214530726939,1.0521964290614536,1.035263570938546,-0.07722753161503368,-1.3814786585366023,BB_DAILY_LOW_BULLISH,0.2511834605352293,-0.009660902328276398,-0.11593082793931678
2010-01-08,20:00:00,1.0226,1.0242,1.0226,1.0235,4345,1.0369,1.0243,1.031695,0.0038363188221601716,1.0393676376443204,1.0240223623556797,-0.07810211851995626,-1.2923136271578606,BB_DAILY_LOW_BULLISH,-0.8011724474841216,-0.7230092818759231,-0.7425500732779727
2010-01-14,12:00:00,1.0199,1.0226,1.0187,1.022,11757,1.0217,1.0137,1.0174949999999998,0.0015544418527788457,1.0206038837055575,1.014386116294442,0.8187826773207038,0.029362826661443374,BB_DAILY_HIGH_BEARISH,-0.4403131115459832,0.08806262230918795,0.30332681017611357
2010-01-15,00:00:00,1.0185,1.0248,1.0179,1.0229,7729,1.0232,1.0159,1.018045,0.0018018922802043888,1.021648784560409,1.0144412154395912,0.6890441972634999,-0.02931978107898641,BB_DAILY_HIGH_BEARISH,0.029328380095824523,0.21507478736924232,0.5181347150259148
2010-01-15,04:00:00,1.023,1.0248,1.022,1.0232,7721,1.0232,1.0159,1.0184099999999998,0.002064716114037382,1.0225394322280745,1.014280567771925,0.7185746628605261,0.0,BB_DAILY_HIGH_BEARISH,0.3225175918686335,0.3322908522282884,0.30297107114932376
2010-04-01,12:00:00,1.0525,1.0529,1.0474,1.0478,8506,1.0682,1.0488,1.060135,0.006022875253218013,1.072180750506436,1.048089249493564,-0.09534706331043954,-1.9097547275791025,BB_DAILY_LOW_BULLISH,0.7157854552395342,0.6776102309600958,1.4029394922695109
2010-05-05,00:00:00,1.1042,1.1071,1.1026,1.1054,5513,1.1048,1.084,1.086425,0.008696513215381797,1.1038180264307635,1.0690319735692364,1.9741697416974042,0.054308472121644996,BB_DAILY_HIGH_BEARISH,-0.09951148905372525,0.8594174054640913,1.0222543875520254
2010-05-17,00:00:00,1.1339,1.1354,1.1319,1.1343,7592,1.1335,1.1151,1.116965,0.008359065359493715,1.1336831307189874,1.1002468692810126,1.7218186709712229,0.07057785619762982,BB_DAILY_HIGH_BEARISH,0.634752710923025,-0.09697610861325054,-0.017632019747860175
2010-05-24,08:00:00,1.1531,1.1597,1.1513,1.159,11612,1.1579,1.145,1.15127,0.0031828653096068285,1.1576357306192138,1.1449042693807863,1.222707423580787,0.0949995681837897,BB_DAILY_HIGH_BEARISH,0.11216566005177557,0.1294219154443535,0.7851596203623715
2010-06-28,00:00:00,1.0934,1.0934,1.0895,1.0916,4796,1.1045,1.0921,1.102765,0.005373744651455335,1.1135124893029107,1.0920175106970893,-0.04578335317280166,-1.167949298325046,BB_DAILY_LOW_BULLISH,0.0,-0.8061561011359399,-0.439721509710509
2010-07-07,12:00:00,1.0592,1.0599,1.0556,1.0559,6509,1.0665,1.0561,1.06258,0.0025203592058039574,1.067620718411608,1.0575392815883922,-0.018937600606001134,-0.9939052977027607,BB_DAILY_LOW_BULLISH,-0.38829434605549695,-0.5966474097925913,-0.606118003598822
2010-10-13,00:00:00,0.9573,0.9577,0.9557,0.9558,2612,0.9726,0.9554,0.9628400000000001,0.003160679473802573,0.9691613589476052,0.956518641052395,0.041867280720112615,-1.7273288093769317,BB_DAILY_LOW_BULLISH,-0.052312199204848815,0.6172839506172857,-0.2510985561832975
2010-10-13,04:00:00,0.9558,0.9561,0.9546,0.9553,3446,0.9726,0.9554,0.9622900000000001,0.003468944932776942,0.969227889865554,0.9553521101344462,-0.010466820180028154,-1.7787374048940965,BB_DAILY_LOW_BULLISH,0.12561499005547772,0.3349733068146112,-0.38731288600440034
2010-11-11,16:00:00,0.9738,0.9784,0.9726,0.977,17675,0.9765,0.9672,0.9682499999999999,0.004151537444997983,0.9765530748899959,0.959946925110004,1.01323407775021,0.051203277009722985,BB_DAILY_HIGH_BEARISH,-0.18423746161719795,-0.020470829068575024,0.133060388945749
2010-11-17,00:00:00,0.9963,0.9973,0.9954,0.9968,10052,0.9974,0.9828,0.983,0.006781088252941836,0.9965621765058836,0.9694378234941163,1.4245014245014258,-0.06015640665730239,BB_DAILY_HIGH_BEARISH,-0.070224719101127,-0.7122792937399673,-0.5718298555377245
2011-02-23,00:00:00,0.9382,0.9382,0.9364,0.9364,9081,0.9504,0.9366,0.9456199999999999,0.0044850159888375155,0.9545900319776749,0.9366499680223249,-0.021353833013023488,-1.4730639730639743,BB_DAILY_LOW_BULLISH,0.02135839384878022,-0.17086715079026546,-0.8222981631781333
