trade_date,trade_time,open,high,low,close,volume,prev_daily_low,sma,std,upper_band,lower_band,distance_to_prev_daily_low_pct,signal,forward_1,forward_3,forward_6
1971-04-13,00:00:00,0.5378,0.5378,0.5378,0.5378,1,0.5381,0.5385899999999999,0.0002511028306871516,0.5390922056613742,0.5380877943386256,-0.055751719011350676,BB_DAILY_LOW_BULLISH,0.0743770918557209,-0.018594272963925063,0.0
1971-04-15,00:00:00,0.5379,0.5379,0.5379,0.5379,1,0.5382,0.538535,0.0003048295468481977,0.5391446590936964,0.5379253409063036,-0.05574136008918004,BB_DAILY_LOW_BULLISH,-0.037181632273673354,-0.09295408068415244,-0.11154489682097879
1971-04-16,00:00:00,0.5377,0.5377,0.5377,0.5377,1,0.5379,0.5384849999999999,0.0003543340677651554,0.5391936681355302,0.5377763318644696,-0.037181632273673354,BB_DAILY_LOW_BULLISH,-0.1859773107680865,0.018597731076806585,-0.03719546215361317
1972-04-19,00:00:00,0.612,0.612,0.612,0.612,1,0.6123,0.615935,0.0014708661966481304,0.6188767323932963,0.6129932676067037,-0.04899559039685889,BB_DAILY_LOW_BULLISH,0.3758169934640472,0.6209150326797428,0.5555555555555488
1972-08-17,00:00:00,0.6122,0.6128,0.6122,0.6126,81,0.6127,0.6152,0.0012026286997648494,0.6176052573995297,0.6127947426004703,-0.016321201240409495,BB_DAILY_LOW_BULLISH,-0.09794319294809745,0.11426705843942586,-0.048971596474057785
1972-08-18,00:00:00,0.6123,0.6123,0.6119,0.612,51,0.6122,0.61494,0.0013052122231242925,0.6175504244462486,0.6123295755537514,-0.03266906239790558,BB_DAILY_LOW_BULLISH,-0.09803921568626371,0.21241830065358952,0.11437908496732582
1972-08-21,00:00:00,0.6114,0.6114,0.6114,0.6114,1,0.6119,0.61468,0.0014652465213901248,0.6176104930427803,0.6117495069572197,-0.08171269815328402,BB_DAILY_LOW_BULLISH,0.31076218514882264,0.3598298985933889,0.26169447170427457
1972-09-29,00:00:00,0.6104,0.6104,0.6104,0.6104,1,0.6106,0.61246,0.0009864343017178916,0.6144328686034358,0.6104871313965642,-0.03275466754012086,BB_DAILY_LOW_BULLISH,-0.2785058977719585,-0.016382699868954784,0.08191349934468298
1972-10-03,00:00:00,0.6088,0.6088,0.6084,0.6088,81,0.6085,0.612035,0.0014833372757775602,0.6150016745515551,0.6090683254484449,0.04930156121609974,BB_DAILY_LOW_BULLISH,0.24638633377134458,0.44349540078844213,0.06570302233902035
1975-07-03,00:00:00,0.8192,0.8194,0.8187,0.8192,141,0.8188,0.833505,0.005774032158574726,0.8450530643171495,0.8219569356828506,0.048851978505137644,BB_DAILY_LOW_BULLISH,-0.6591796875000087,-0.5493164062500072,-2.148437500000007
1975-09-18,00:00:00,0.7431,0.7439,0.7427,0.7432,231,0.7432,0.755425,0.005316595170812966,0.7660581903416259,0.7447918096583741,0.0,BB_DAILY_LOW_BULLISH,-0.20182992465015417,-1.4666307857911762,-1.2917115177610257
1976-05-11,00:00:00,0.7683,0.7685,0.768,0.7681,81,0.7686,0.770855,0.000999197045937702,0.7728533940918754,0.7688566059081245,-0.06505334374186117,BB_DAILY_LOW_BULLISH,-0.20830621012889544,-0.6118994922536177,-0.976435359979163
1976-05-13,00:00:00,0.7659,0.7661,0.7659,0.7661,21,0.7665,0.7703249999999999,0.0016817519060351965,0.7736885038120703,0.7669614961879295,-0.05218525766470397,BB_DAILY_LOW_BULLISH,-0.3524344080407304,-1.0442500978984475,-1.1486751076882953
1978-05-17,00:00:00,0.9176,0.9176,0.9176,0.9176,1,0.9169,0.93651,0.009020088691347343,0.9545501773826947,0.9184698226173053,0.07634420329369863,BB_DAILY_LOW_BULLISH,1.1442894507410708,0.2942458587619917,0.44681778552746215
1979-04-03,00:00:00,1.0391,1.0394,1.0389,1.0391,101,1.0382,1.0497,0.004817184152348128,1.0593343683046963,1.0400656316953039,0.08668849932574657,BB_DAILY_LOW_BULLISH,-0.03849485131363257,-0.5774227697045526,-0.5870464825329608
1979-05-21,00:00:00,1.0184,1.0184,1.0184,1.0184,1,1.0183,1.028685,0.004365929695373445,1.037416859390747,1.0199531406092532,0.009820288716487184,BB_DAILY_LOW_BULLISH,0.12765121759623713,0.40259230164964577,0.019638648860956204
1980-09-23,00:00:00,1.0816,1.0836,1.0798,1.0817,751,1.0822,1.0946000000000002,0.00616774291225061,1.1069354858245015,1.082264514175499,-0.04620218074292597,BB_DAILY_LOW_BULLISH,0.5454377368956081,0.21262827031524162,-0.018489414810039753
1980-10-21,00:00:00,1.049,1.0504,1.0472,1.0489,631,1.0488,1.0768749999999998,0.011835489672565598,1.100545979345131,1.0532040206548685,0.009534706331043953,BB_DAILY_LOW_BULLISH,0.06673658118029793,-0.07627037849174487,-1.0105825150157253
1981-06-05,00:00:00,0.8097,0.8114,0.8085,0.8097,581,0.8101,0.8409800000000001,0.014257504025976057,0.8694950080519521,0.812464991948048,-0.0493766201703576,BB_DAILY_LOW_BULLISH,0.22230455724342643,1.6919846856860623,3.025812029146607
1985-02-06,00:00:00,0.6068,0.6068,0.6068,0.6068,1,0.6064,0.615375,0.003858534627283985,0.623092069254568,0.6076579307454321,0.06596306068600856,BB_DAILY_LOW_BULLISH,-0.4779169413315777,-1.4337508239947332,-2.0105471324983504
1985-02-12,00:00:00,0.5969,0.5969,0.5969,0.5969,1,0.5971,0.6119,0.007045565981256792,0.6259911319625135,0.5978088680374865,-0.033495226930158765,BB_DAILY_LOW_BULLISH,-0.7371418998157078,0.28480482492880466,-1.658569274585361
1985-09-10,00:00:00,0.6645,0.6649,0.6637,0.6645,241,0.6642,0.69588,0.015209851378110728,0.7262997027562215,0.6654602972437786,0.04516711833784507,BB_DAILY_LOW_BULLISH,-0.34612490594431433,1.3393528969149766,1.27915726109858
1986-03-26,00:00:00,0.8368,0.8392,0.8317,0.8369,1491,0.8361,0.8656900000000001,0.013016867599513498,0.891723735199027,0.8396562648009731,0.09568233464896818,BB_DAILY_LOW_BULLISH,0.5854940853148543,-0.43015891982314935,-2.1388457402318113
1987-07-21,00:00:00,1.0494,1.0516,1.0483,1.0494,661,1.0504,1.063505,0.006709025735179877,1.0769230514703596,1.0500869485296402,-0.09520182787508472,BB_DAILY_LOW_BULLISH,0.047646274061363146,0.5241090146750369,0.3335239184295632
1987-09-30,00:00:00,1.0618,1.0633,1.0615,1.0621,331,1.0617,1.078545,0.008193031377802132,1.0949310627556044,1.0621589372443958,0.03767542620325477,BB_DAILY_LOW_BULLISH,-0.20713680444402408,-0.08473778363620402,1.0356840222201202
1988-05-18,00:00:00,1.1466,1.1466,1.1466,1.1466,1,1.1473,1.1642949999999999,0.0068631337786867995,1.1780212675573734,1.1505687324426264,-0.06101281269065833,BB_DAILY_LOW_BULLISH,0.3314146171289051,0.20931449502877703,-0.02616431187859471
1989-05-18,00:00:00,0.9918,0.9944,0.9876,0.9919,1351,0.991,1.0288,0.017796274003856336,1.0643925480077125,0.9932074519922872,0.09081735620585388,BB_DAILY_LOW_BULLISH,0.12097993749369683,-1.7542090936586319,-0.4133481197701374
1991-01-08,00:00:00,1.2762,1.2787,1.2662,1.2682,1701,1.2683,1.3089549999999999,0.016362456224163057,1.341679912448326,1.2762300875516737,-0.007884569896711265,BB_DAILY_LOW_BULLISH,0.575618987541404,0.7412080113546818,-0.1892445986437437
1994-04-06,00:00:00,1.1409,1.1432,1.1389,1.1389,661,1.1384,1.159055,0.009525283529462211,1.1781055670589244,1.1400044329410755,0.043921293042862346,BB_DAILY_LOW_BULLISH,0.0790236192817544,0.22829045570286555,0.3863376942663938
1996-01-17,00:00:00,1.3337,1.3391,1.3282,1.331,1911,1.3323,1.353285,0.008681030438753758,1.3706470608775077,1.3359229391224925,-0.09757562110636334,BB_DAILY_LOW_BULLISH,-0.33057851239669117,-0.45830202854996205,-1.4124718256949609
1996-04-12,00:00:00,1.3018,1.3042,1.2982,1.2996,981,1.2998,1.31833,0.00842047004589425,1.3351709400917886,1.3014890599082114,-0.015386982612707953,BB_DAILY_LOW_BULLISH,-0.40781779008926455,-0.0846414281317406,-0.807940904893827
1997-11-27,00:00:00,1.1121,1.1122,1.1057,1.1084,931,1.1087,1.1303100000000001,0.010159304783555747,1.1506286095671117,1.1099913904328886,-0.027058717416791465,BB_DAILY_LOW_BULLISH,0.06315409599421895,-0.7037170696499484,-0.974377481053784
1998-06-15,00:00:00,1.0925,1.0945,1.086,1.0895,141,1.0898,1.1071300000000002,0.008409837597817518,1.1239496751956353,1.090310324804365,-0.027527986786583684,BB_DAILY_LOW_BULLISH,0.9453877925654152,1.4410279944928912,0.770995869665001
1999-02-12,00:00:00,1.1231,1.1237,1.1214,1.123,183,1.123,1.1311550000000001,0.0029946399486074095,1.137144279897215,1.1251657201027854,0.0,BB_DAILY_LOW_BULLISH,0.06233303650934309,0.19590382902938377,0.43633125556544117
1999-02-12,04:00:00,1.1226,1.1245,1.1226,1.1237,260,1.123,1.13071,0.003402151022468274,1.1375143020449368,1.1239056979550635,0.06233303650934309,BB_DAILY_LOW_BULLISH,0.0,0.4271602740945215,0.39156358458664964
1999-03-02,00:00:00,1.0888,1.09,1.0885,1.0888,146,1.0884,1.0995300000000001,0.005141482481286512,1.1098129649625732,1.089247035037427,0.0367511944138144,BB_DAILY_LOW_BULLISH,-0.027553269654662652,-0.03673769287288354,0.2755326965466673
1999-04-16,00:00:00,1.0706,1.0709,1.0689,1.0692,132,1.0693,1.0782349999999998,0.0036489760639672945,1.0855329521279344,1.0709370478720652,-0.009351912466098289,BB_DAILY_LOW_BULLISH,-0.44893378226710773,-0.12158623269733042,0.009352787130563879
1999-04-22,12:00:00,1.0645,1.0648,1.056,1.0579,1589,1.0575,1.06303,0.002503071796874605,1.068036143593749,1.0580238564062507,0.03782505910165068,BB_DAILY_LOW_BULLISH,0.2552226108327748,0.7562151432082433,0.5104452216655496
1999-04-30,12:00:00,1.061,1.0618,1.0555,1.057,1710,1.0578,1.06301,0.002812921313340415,1.0686358426266809,1.0573841573733191,-0.07562866326338948,BB_DAILY_LOW_BULLISH,0.11352885525071806,0.1608325449385085,0.13245033112583424
1999-05-20,16:00:00,1.0647,1.0659,1.0613,1.0621,1454,1.062,1.066545,0.0020132390762840533,1.0705714781525681,1.062518521847432,0.009416195856872787,BB_DAILY_LOW_BULLISH,0.028245927878727706,-0.15064494868656866,-0.4236889181809574
