trade_date,trade_time,open,high,low,close,volume,year,week,prev_week_high,prev_week_low,rsi,distance_to_prev_week_high_pct,distance_to_prev_week_low_pct,signal,forward_1,forward_3,forward_6
2004-06-30,20:00:00,393.5,393.8,391.3,391.6,287,2004,27,402.8,392.1,12.962962962963076,-2.7805362462760645,-0.12751849018107625,BULLISH,0.6894790602655742,0.38304392236976503,0.868232890704795
2004-09-07,12:00:00,401.3,401.6,397.6,398.3,458,2004,37,410.8,398.6,19.374999999999858,-3.0428432327166504,-0.07526342197692207,BULLISH,-0.050213406979660716,-0.050213406979660716,-0.6778809942254553
2004-09-07,16:00:00,398.0,399.1,396.3,398.1,671,2004,37,410.8,398.6,18.12499999999993,-3.091528724440114,-0.1254390366281987,BULLISH,-0.20095453403667704,0.050238633509165694,0.25119316754584275
2004-12-21,04:00:00,442.7,443.0,442.3,442.4,62,2004,52,442.3,434.1,86.24999999999972,0.022609088853711483,1.9120018428933319,BEARISH,-0.3616636528028856,-0.2712477396021674,-0.3616636528028856
2005-02-07,00:00:00,413.8,413.8,413.3,413.8,65,2005,6,425.5,413.3,17.821782178217518,-2.7497062279670947,0.12097749818533754,BULLISH,0.0,0.09666505558240146,-0.3624939584340261
2005-02-07,04:00:00,413.7,414.3,413.7,413.8,143,2005,6,425.5,413.3,8.791208791208376,-2.7497062279670947,0.12097749818533754,BULLISH,-0.024166263895607235,-0.31416143064282537,-0.43499275012083405
2005-02-07,08:00:00,413.8,414.3,413.5,413.7,131,2005,6,425.5,413.3,9.195402298850126,-2.7732079905992975,0.09678199854826453,BULLISH,0.1208605269518975,-0.14503263234226876,-0.36258158085569253
2005-03-08,16:00:00,435.3,438.8,434.8,438.0,241,2005,10,437.7,428.3,81.94444444444458,0.06854009595613693,2.264767686201258,BEARISH,0.4109589041095916,0.4109589041095916,0.6164383561643809
2005-04-05,04:00:00,423.0,423.6,422.8,423.0,127,2005,14,428.5,423.1,17.56756756756765,-1.2835472578763127,-0.02363507445048989,BULLISH,-0.04728132387706587,0.30732860520094835,0.3546099290780142
2005-04-05,08:00:00,422.8,424.0,422.3,422.8,220,2005,14,428.5,423.1,18.30985915492967,-1.330221703617267,-0.07090522335145624,BULLISH,0.4257332071901635,0.47303689687795647,0.5912961210974457
2005-05-16,00:00:00,419.8,420.2,418.6,418.6,91,2005,20,428.0,418.2,18.69918699186971,-2.1962616822429855,0.0956480153036906,BULLISH,-0.0716674629718135,-0.143334925943627,0.21500238891542695
