trade_date,trade_time,open,high,low,close,volume,sma,std,upper_band,lower_band,prev_high,prev_low,inside_bar,signal,forward_1,forward_3,forward_6
1985-01-02,00:00:00,251.8,251.8,251.8,251.8,1,246.95749999999998,1.88863881637711,250.7347776327542,243.18022236724576,252.51,250.1,True,BB_INSIDEBAR_BEARISH,0.2581413820492364,1.648133439237481,0.7545671167593238
1987-03-25,00:00:00,149.5,149.95,148.65,149.45,2551,152.445,1.4926927273422521,155.43038545468448,149.4596145453155,150.1,148.45,True,BB_INSIDEBAR_BULLISH,0.0,-2.1411843425894874,-1.973904315824683
1988-06-03,00:00:00,126.25,126.4,125.5,126.1,1651,124.9825,0.5480287633698668,126.07855752673973,123.88644247326027,126.75,125.4,True,BB_INSIDEBAR_BEARISH,-0.27755749405233493,-0.3965107057890563,-0.753370340999198
1989-09-28,00:00:00,140.35,141.4,140.25,140.6,2051,145.33499999999998,2.1463616704387176,149.62772334087742,141.04227665912254,142.4,139.85,True,BB_INSIDEBAR_BULLISH,-1.031294452347076,0.4623044096728348,1.3513513513513553
1990-02-28,00:00:00,148.75,149.25,148.3,149.1,1551,145.6975,1.5334408331435276,148.76438166628705,142.63061833371293,149.65,148.1,True,BB_INSIDEBAR_BEARISH,0.5365526492287132,0.0,1.3749161636485656
1991-06-11,00:00:00,141.6,141.7,140.9,141.3,1301,138.638,1.2077277487189158,141.05345549743782,136.2225445025622,141.9,140.35,True,BB_INSIDEBAR_BEARISH,0.16985138004244915,-0.39631988676574825,-0.7430997876857829
1992-04-09,00:00:00,132.65,133.05,131.97,132.0,1511,133.2705,0.5968908471538705,134.46428169430774,132.07671830569225,133.55,131.8,True,BB_INSIDEBAR_BULLISH,0.6818181818181861,0.7803030303030312,1.4772727272727186
1992-07-23,00:00:00,126.6,126.95,126.3,126.67,1231,125.12950000000001,0.7053589972131865,126.54021799442638,123.71878200557363,127.2,125.11,True,BB_INSIDEBAR_BEARISH,1.1289176600615716,0.5763006236678013,0.33946475092760137
1992-08-25,00:00:00,124.5,125.03,124.48,124.55,1051,126.724,1.018731925489212,128.76146385097843,124.68653614902158,125.56,124.38,True,BB_INSIDEBAR_BULLISH,0.44158972300280785,-1.236451224407862,-1.1641910879165016
1992-09-24,00:00:00,120.1,121.05,119.86,120.45,2031,123.1765,1.3116573482237828,125.79981469644757,120.55318530355244,122.0,119.65,True,BB_INSIDEBAR_BULLISH,0.33208800332087296,-1.0128684101286831,-0.9298464092984678
1993-02-12,00:00:00,121.1,121.16,120.1,120.65,1671,123.819,1.5155714569951153,126.85014291399024,120.78785708600977,121.95,119.6,True,BB_INSIDEBAR_BULLISH,0.31496062992125606,-0.9117281392457592,-3.6303356817240027
1993-06-22,00:00:00,110.4,111.72,110.2,110.8,2641,107.327,1.512213782960367,110.35142756592073,104.30257243407927,111.95,109.25,True,BB_INSIDEBAR_BEARISH,-1.8501805054151599,-4.151624548736457,-3.2490974729241824
1994-02-15,00:00:00,102.36,104.0,101.8,103.65,3111,108.6925,2.4305075816236443,113.55351516324728,103.83148483675271,106.55,101.1,True,BB_INSIDEBAR_BULLISH,0.15436565364206134,0.9261939218523817,1.9874577906415707
1994-06-15,00:00:00,102.92,103.15,102.54,102.76,1061,104.24099999999999,0.736062782712007,105.713125565424,102.76887443457598,103.2,102.3,True,BB_INSIDEBAR_BULLISH,0.72012456208641,-0.7298559750875826,-1.27481510315298
1995-08-03,00:00:00,91.15,91.29,90.2,90.44,1471,88.1725,1.0842939730539014,90.3410879461078,86.0039120538922,91.32,88.0,True,BB_INSIDEBAR_BEARISH,1.1167624944714785,1.260504201680673,3.847854931446267
1995-09-11,00:00:00,99.27,100.04,99.05,100.04,1211,97.838,1.0478931238463003,99.9337862476926,95.74221375230739,100.25,98.55,True,BB_INSIDEBAR_BEARISH,1.0695721711315405,2.4090363854458183,4.558176729308264
1996-07-19,00:00:00,108.32,108.7,107.8,107.94,1421,109.7825,0.8759889143249564,111.53447782864991,108.03052217135009,108.95,107.75,True,BB_INSIDEBAR_BULLISH,-0.40763387066888807,0.4724847137298547,0.24087455994071255
1997-05-13,00:00:00,119.2,119.75,118.4,118.45,1951,125.05050000000001,2.6123441276497332,130.27518825529947,119.82581174470054,119.8,117.4,True,BB_INSIDEBAR_BULLISH,-1.5196285352469372,-2.1950189953566976,-3.6302237230899084
1998-10-09,00:00:00,118.47,119.9,115.22,116.65,15636,132.055,5.910390939001837,143.8757818780037,120.23421812199634,123.55,111.65,True,BB_INSIDEBAR_BULLISH,0.6686669524217754,1.731675953707669,-1.9459922846120963
1999-02-02,12:00:00,113.24,113.36,112.9,113.14,1878,115.50250000000001,0.9263787727949281,117.35525754558986,113.64974245441016,115.2,112.8,True,BB_INSIDEBAR_BULLISH,-0.9368923457663093,-0.6363797065582455,-1.0783100583348055
