trade_date,trade_time,open,high,low,close,volume,prev_daily_high,prev_daily_low,sma,std,upper_band,lower_band,distance_to_prev_daily_low_pct,distance_to_prev_daily_high_pct,signal,forward_1,forward_3,forward_6
1971-04-13,00:00:00,0.5378,0.5378,0.5378,0.5378,1,0.5381,0.5381,0.5385899999999999,0.0002511028306871516,0.5390922056613742,0.5380877943386256,-0.055751719011350676,-0.055751719011350676,BB_DAILY_LOW_BULLISH,0.0743770918557209,-0.018594272963925063,0.0
1971-04-15,00:00:00,0.5379,0.5379,0.5379,0.5379,1,0.5382,0.5382,0.538535,0.0003048295468481977,0.5391446590936964,0.5379253409063036,-0.05574136008918004,-0.05574136008918004,BB_DAILY_LOW_BULLISH,-0.037181632273673354,-0.09295408068415244,-0.11154489682097879
1971-04-16,00:00:00,0.5377,0.5377,0.5377,0.5377,1,0.5379,0.5379,0.5384849999999999,0.0003543340677651554,0.5391936681355302,0.5377763318644696,-0.037181632273673354,-0.037181632273673354,BB_DAILY_LOW_BULLISH,-0.1859773107680865,0.018597731076806585,-0.03719546215361317
1971-07-19,00:00:00,0.5632,0.5632,0.5632,0.5632,1,0.5628,0.5628,0.5593950000000001,0.0014601640138643414,0.5623153280277288,0.5564746719722714,0.07107320540157551,0.07107320540157551,BB_DAILY_HIGH_BEARISH,-0.07102272727273916,0.21306818181817808,0.3373579545454568
1971-08-10,00:00:00,0.5736,0.5736,0.5736,0.5736,1,0.5737,0.5737,0.5653349999999999,0.0033515550200839336,0.5720381100401678,0.558631889959832,-0.01743071291615635,-0.01743071291615635,BB_DAILY_HIGH_BEARISH,0.15690376569037864,0.6450488145048878,0.6450488145048878
1971-08-13,00:00:00,0.5773,0.5773,0.5773,0.5773,1,0.5775,0.5775,0.56757,0.004825382450075149,0.5772207649001503,0.5579192350998498,-0.034632034632030816,-0.034632034632030816,BB_DAILY_HIGH_BEARISH,-1.1259310583752054,0.0,-0.39840637450200583
1971-11-26,00:00:00,0.5912,0.5912,0.5912,0.5912,1,0.5908,0.5908,0.58638,0.0018757735246601648,0.5901315470493204,0.5826284529506797,0.06770480704129248,0.06770480704129248,BB_DAILY_HIGH_BEARISH,-0.06765899864681259,0.15223274695534708,1.7591339648173336
1972-01-14,00:00:00,0.6086,0.6086,0.6086,0.6086,1,0.6081,0.6081,0.599675,0.004079586537360668,0.6078341730747213,0.5915158269252786,0.0822233185331452,0.0822233185331452,BB_DAILY_HIGH_BEARISH,0.1478803812027624,0.0,0.11501807426880101
1972-04-19,00:00:00,0.612,0.612,0.612,0.612,1,0.6123,0.6123,0.615935,0.0014708661966481304,0.6188767323932963,0.6129932676067037,-0.04899559039685889,-0.04899559039685889,BB_DAILY_LOW_BULLISH,0.3758169934640472,0.6209150326797428,0.5555555555555488
1972-06-13,00:00:00,0.6184,0.6186,0.6184,0.6184,41,0.6179,0.6174,0.6156400000000001,0.0009848323394688156,0.6176096646789377,0.6136703353210624,0.1619695497246519,0.08091924259588039,BB_DAILY_HIGH_BEARISH,-0.09702457956014457,-0.17787839586028298,-0.5659767141008971
