trade_date,trade_time,open,high,low,close,volume,sma,std,upper_band,lower_band,candle_range,body_size,body_to_range,doji,signal,forward_1,forward_3,forward_6
2010-01-15,04:00:00,1.023,1.0248,1.022,1.0232,7721,1.0184099999999998,0.002064716114037382,1.0225394322280745,1.014280567771925,0.0027999999999999137,0.00020000000000020002,0.07142857142864506,True,BB_DOJI_BEARISH,0.3225175918686335,0.3322908522282884,0.30297107114932376
2010-02-01,00:00:00,1.0614,1.0621,1.0595,1.0614,6526,1.0514999999999999,0.004643274706498356,1.0607865494129967,1.042213450587003,0.0025999999999999357,0.0,0.0,True,BB_DOJI_BEARISH,-0.08479366873939145,-0.39570378745053536,-0.3297531562087655
2010-02-16,20:00:00,1.0662,1.0673,1.0652,1.0663,5728,1.07456,0.003978150853162259,1.0825163017063244,1.0666036982936755,0.0020999999999999908,9.999999999998899e-05,0.047619047619042586,True,BB_DOJI_BULLISH,-0.009378223764417987,0.24383381787488845,1.1160086279658654
2010-03-24,20:00:00,1.072,1.0736,1.0716,1.072,4411,1.0617750000000001,0.00472416798578683,1.0712233359715737,1.0523266640284266,0.0020000000000000018,0.0,0.0,True,BB_DOJI_BEARISH,-0.06529850746270009,-0.33582089552239247,0.19589552238805882
2010-06-07,04:00:00,1.1656,1.1671,1.1629,1.1656,7683,1.156245,0.004240962527310829,1.1647269250546217,1.1477630749453782,0.0041999999999999815,0.0,0.0,True,BB_DOJI_BEARISH,-0.24879890185311454,-0.32601235415237007,-0.48901853122855515
2010-06-17,16:00:00,1.1107,1.1147,1.1095,1.1112,7484,1.131295,0.009749735488997591,1.1507944709779951,1.1117955290220047,0.0052000000000000934,0.0004999999999999449,0.09615384615383384,True,BB_DOJI_BULLISH,0.0629949604031808,-0.053995680345566406,-0.08999280057594401
2010-07-15,16:00:00,1.0444,1.0459,1.04,1.0441,7297,1.055305,0.005510704893295814,1.0663264097865917,1.0442835902134082,0.005900000000000016,0.00029999999999996696,0.0508474576271129,True,BB_DOJI_BULLISH,-0.23944066660281071,-0.06704338664878104,0.4405708265491751
2010-09-29,00:00:00,0.9759,0.9772,0.9755,0.9759,3152,0.983,0.0034052590904520646,0.9898105181809042,0.9761894818190958,0.0016999999999999238,0.0,0.0,True,BB_DOJI_BULLISH,-0.10246951531919263,-0.07172866072343825,0.10246951531919263
2011-01-11,16:00:00,0.9761,0.9782,0.9732,0.9765,18822,0.967225,0.003801505934195472,0.974828011868391,0.959621988131609,0.0050000000000000044,0.00040000000000006697,0.08000000000001332,True,BB_DOJI_BEARISH,-0.307219662058372,-0.14336917562724708,-1.0343061955965178
2011-03-17,00:00:00,0.9002,0.9057,0.8991,0.9004,16292,0.91928,0.008326217312539564,0.9359324346250791,0.9026275653749208,0.006599999999999939,0.00019999999999997797,0.030303030303027244,True,BB_DOJI_BULLISH,-0.233229675699688,-0.14438027543313725,0.6108396268325257
2011-03-23,20:00:00,0.9078,0.9086,0.9075,0.9079,10838,0.90391,0.0019539164445586195,0.9078178328891172,0.9000021671108828,0.0010999999999999899,9.999999999998899e-05,0.09090909090908174,True,BB_DOJI_BEARISH,0.07710100231302158,0.17623086242977581,-0.05507214450931336
2011-03-28,00:00:00,0.9205,0.9226,0.9194,0.9208,6578,0.9090849999999999,0.00584441028484739,0.9207738205696947,0.8973961794303051,0.0031999999999999806,0.00029999999999996696,0.09374999999999024,True,BB_DOJI_BEARISH,0.1520417028670795,-0.3583840139009524,-0.4561251086012143
2011-05-20,20:00:00,0.87708,0.8793,0.8765,0.87699,1873,0.880778,0.0017769625172916856,0.8843319250345834,0.8772240749654165,0.0028000000000000247,8.999999999992347e-05,0.03214285714282953,True,BB_DOJI_BULLISH,0.09008084470746044,0.7457325625149648,0.7468728263720161
2011-09-06,20:00:00,0.86134,0.86246,0.86059,0.86134,9823,0.8018765,0.028550471518788673,0.8589774430375774,0.7447755569624226,0.0018700000000000383,0.0,0.0,True,BB_DOJI_BEARISH,-0.3146260477860067,-0.4701975990897901,-0.3123040843337091
2011-12-29,00:00:00,0.94258,0.94507,0.94245,0.94245,7992,0.936256,0.002985498988339621,0.9422269979766792,0.9302850020233208,0.0026199999999999557,0.00012999999999996348,0.04961832061067392,True,BB_DOJI_BEARISH,0.005305321237200328,0.04880895538225009,-0.13157196668258464
2012-01-26,12:00:00,0.9171,0.9187,0.916,0.9169,12540,0.92615,0.004510980754471512,0.9351719615089431,0.917128038491057,0.0026999999999999247,0.00019999999999997797,0.07407407407406798,True,BB_DOJI_BULLISH,0.37081470171228686,0.436252590249755,0.17450103609989473
2012-02-10,16:00:00,0.9176,0.9183,0.9163,0.9174,6915,0.912645,0.0022366504558946295,0.9171183009117893,0.9081716990882108,0.0020000000000000018,0.00019999999999997797,0.0999999999999889,True,BB_DOJI_BEARISH,0.0,-0.4469151951166332,-0.21800741225201678
2012-06-29,16:00:00,0.94871,0.94955,0.94616,0.9489,17581,0.9607125,0.005192999209378192,0.9710984984187564,0.9503265015812435,0.003390000000000004,0.00018999999999991246,0.056047197640092104,True,BB_DOJI_BULLISH,-0.05269259142164031,0.2855938455053209,0.6207187269469978
2012-07-20,16:00:00,0.9874,0.9886,0.9857,0.9875,9411,0.9793650000000002,0.003221845662501034,0.9858086913250023,0.972921308674998,0.0029000000000000137,9.999999999998899e-05,0.03448275862068569,True,BB_DOJI_BEARISH,0.020253164556959795,0.42531645569620063,0.3139240506329105
2012-07-20,20:00:00,0.9876,0.9882,0.9869,0.9877,3052,0.9799199999999999,0.003648301695646221,0.9872166033912924,0.9726233966087074,0.0012999999999999678,9.999999999998899e-05,0.07692307692307035,True,BB_DOJI_BEARISH,0.22273969828895207,0.4049812696162806,0.34423407917383403
2012-07-26,20:00:00,0.9779,0.9782,0.9767,0.9779,5178,0.989285,0.005623379298626171,1.0005317585972524,0.9780382414027476,0.0014999999999999458,0.0,0.0,True,BB_DOJI_BULLISH,0.020451988955923713,0.11248593925759177,-0.32723182329481343
2012-11-02,20:00:00,0.9402,0.9414,0.9395,0.9401,2147,0.933135,0.003457147439713526,0.9400492948794271,0.926220705120573,0.0019000000000000128,9.999999999998899e-05,0.05263157894736227,True,BB_DOJI_BEARISH,-0.010637166258919264,0.26592915647271,0.35102648654398144
2012-12-07,00:00:00,0.9322,0.9335,0.9319,0.9323,5190,0.9276100000000002,0.0023406926547640296,0.9322913853095283,0.922928614690472,0.0016000000000000458,9.999999999998899e-05,0.062499999999991326,True,BB_DOJI_BEARISH,0.03217848332081594,0.38614179984982694,0.3003325109943178
2013-01-30,20:00:00,0.91051,0.91235,0.91036,0.91058,14899,0.9231085,0.005372382863343391,0.9338532657266868,0.9123637342733132,0.0019900000000000473,6.999999999990347e-05,0.03517587939693558,True,BB_DOJI_BULLISH,-0.03184783324912709,0.023062224076966713,-0.07687408025653132
2013-02-14,12:00:00,0.92192,0.92452,0.9212,0.9222,18175,0.9182974999999999,0.0018227303836137777,0.9219429607672275,0.9146520392327723,0.0033199999999999896,0.000280000000000058,0.08433734939760809,True,BB_DOJI_BEARISH,0.11927998265018325,-0.021687269572758402,-0.08674907829104564
2013-03-01,00:00:00,0.9364,0.9373,0.936,0.9364,5444,0.9314500000000001,0.0021675841509511645,0.9357851683019024,0.9271148316980978,0.0012999999999999678,0.0,0.0,True,BB_DOJI_BEARISH,-0.06407518154635251,0.555318240068345,0.6514310123878678
