Asset,Bullish Signals,Bearish Signals,Total Signals,Bullish 1 Candle,Bearish 1 Candle,Bullish 1 Avg,Bearish 1 Avg,Bullish 3 Candle,Bearish 3 Candle,Bullish 3 Avg,Bearish 3 Avg,Bullish 6 Candle,Bearish 6 Candle,Bullish 6 Avg,Bearish 6 Avg
EURUSD,24725,23799,48524,50.171890798786656,49.527291062649695,0.005862805223231911,-0.0017249408501972894,50.26895854398382,49.523089205428796,0.018460159819079267,-0.006022326002090771,50.56016177957533,49.79620992478676,0.03694839575419706,-0.011965044763468272
GBPUSD,22539,21414,43953,49.4831181507609,48.80919024936957,-0.0019264669913130132,0.002087161795303713,49.62065752695328,49.13140935836368,-0.00513926908776665,0.005441955548001513,49.279027463507695,48.869898197440925,-0.010615918729955385,0.011074991506373349
USDCHF,4812,6689,11501,49.21030756442228,49.09552997458514,-0.001996961476287976,-0.0022030487801501628,49.833748960931004,50.09717446554044,-0.007040088077775799,-0.0058090767819639925,49.79218620116376,50.45597249215129,-0.012079137278313038,-0.013133448415216596
AUDUSD,23236,20815,44051,50.327078671027714,48.95988469853471,0.00298663739934531,-0.0022483739016206845,50.88655534515407,48.69084794619265,0.00585594645579188,-0.00327837830953011,51.605267688070235,48.74369445111698,0.009853632194166585,-0.004370506670075561
NZDUSD,22131,20379,42510,49.55492295874565,49.35963491829825,0.001966821908709614,-0.0008689445712116127,50.55804075730875,49.04067913047746,0.0042189880004726175,-0.0008373984909256473,51.42560209660657,48.805142548702094,0.0054822267588249,0.0015070455020788757
USDCAD,2918,2675,5593,50.23989033584647,48.93457943925233,-0.0014856190375261938,0.0022434323514728288,49.485949280328995,47.36448598130841,-0.006071945824789522,0.00842272884452913,50.308430431802606,45.42056074766355,-0.012162308636827027,0.016295828136310336
USDJPY,24236,24287,48523,50.91599273807559,48.5856631119529,0.003584533018811678,-0.005708211072117134,51.33272817296584,49.12092889199984,0.012199691210347518,-0.018543449344167618,51.75771579468559,48.95211429983119,0.021421168464989954,-0.034013235286633386
XAUUSD,19054,13721,32775,50.498582974703474,47.91924786823118,0.007721288862714355,0.010514853254901592,51.747664532381656,47.379928576634356,0.029044272904504412,0.022118265482141054,52.802561142017424,47.05196414255521,0.05880874161244002,0.04270604178628527
SP500,3726,1175,4901,53.81105743424583,47.319148936170215,0.011886968200574015,0.019923975966903113,55.421363392377884,45.95744680851064,0.03635667889207255,0.058430992338917714,56.414385399892645,45.61702127659574,0.0758404400821746,0.10865999886633625
NAS100,3715,1208,4923,54.23956931359354,47.43377483443709,0.015422286167057316,0.03064544745476261,55.235531628532975,44.45364238410596,0.05001697050511247,0.08233052294579324,56.74293405114401,44.122516556291394,0.10901505591715119,0.13402009917666424
