trade_date,trade_time,open,high,low,close,volume,prev_day_high,prev_day_low,rsi,distance_to_prev_high_pct,distance_to_prev_low_pct,signal,forward_1,forward_3,forward_6
2023-02-06,08:00:00,1.33975,1.3437,1.33961,1.34358,9074,1.34257,1.33117,84.39332431213344,0.07522885212688764,0.9322625960621133,BEARISH,-0.047633933223177924,0.07219518004137568,-0.18011581000015545
2023-02-06,12:00:00,1.3436,1.3447,1.34123,1.34294,9857,1.34257,1.33117,81.79396092362356,0.02755908444252303,0.8841845894964624,BEARISH,0.11839694997542557,-0.042444189613829314,0.13477891789654542
2023-02-17,04:00:00,1.34795,1.34893,1.3477,1.34864,5208,1.3479,1.3357,82.07747977862918,0.05490021514948905,0.9687804147637905,BEARISH,0.1297603511685786,-0.012605291256377051,-0.13865820382014757
2023-03-08,00:00:00,1.37437,1.37563,1.37437,1.37547,4824,1.3761,1.35995,87.83068783068813,-0.04578155657293296,1.1412184271480554,BEARISH,0.05598086472259936,0.06688622798025634,0.41731190065941665
2023-03-08,04:00:00,1.37547,1.37733,1.3752,1.37624,6098,1.3761,1.35995,89.05007019185764,0.01017367923841341,1.197838155814546,BEARISH,-0.026884845666452183,0.23978375864675355,0.2630355170609907
2023-03-08,08:00:00,1.37625,1.37668,1.37519,1.37587,8396,1.3761,1.35995,87.03349282296651,-0.016713901606000618,1.170631273208569,BEARISH,0.03779426835384709,0.3197976553017496,0.34087522803753867
2023-03-08,12:00:00,1.37584,1.37703,1.37449,1.37639,9607,1.3761,1.35995,90.78117418728768,0.021074049851021105,1.2088679730872467,BEARISH,0.22885955288835186,0.35019144283234016,0.1206053516808459
2023-03-09,00:00:00,1.37956,1.38167,1.37956,1.38121,4708,1.38146,1.37437,95.28679413072452,-0.018096796143200776,0.4976825745614323,BEARISH,-0.09774038705193,-0.22878490598823145,0.16145263935244852
2023-03-09,08:00:00,1.37987,1.3807,1.37895,1.38056,7696,1.38146,1.37437,92.66524520255886,-0.06514846611555172,0.4503881778560298,BEARISH,-0.1818102798864238,0.15718259257113093,0.21802746711479087
2023-03-09,20:00:00,1.37947,1.3837,1.37893,1.38273,11600,1.38146,1.37437,83.92246294184727,0.09193172440751846,0.6082787022417487,BEARISH,0.05134769622413547,0.060749387082073274,-0.0021696209672151822
2023-03-29,00:00:00,1.35964,1.36014,1.35891,1.35913,3714,1.36949,1.35916,17.54827875734695,-0.7564859911353968,-0.0022072456517241894,BULLISH,0.06916189032689594,-0.03237365079131473,-0.1633397835379904
2023-04-14,00:00:00,1.33357,1.33434,1.33271,1.33335,3246,1.34478,1.33333,10.399159663865944,-0.8499531521884658,0.001500003750019202,BULLISH,-0.08624892188847522,0.05249934375819724,0.2939963250459312
2023-04-14,04:00:00,1.33332,1.33344,1.33172,1.3322,5075,1.34478,1.33333,10.915104740904567,-0.9354689986466214,-0.08475021187551869,BULLISH,0.04353700645548903,0.4864134514337218,0.2634739528599236
2023-04-14,08:00:00,1.33223,1.3334,1.33169,1.33278,7475,1.34478,1.33333,13.890396093326615,-0.8923392673894623,-0.04125010312524495,BULLISH,0.09528954516123309,0.22659403652515964,0.2731133420369352
2023-04-14,12:00:00,1.33278,1.33494,1.33008,1.33405,10388,1.34478,1.33333,20.0,-0.7979000282574197,0.05400013500034155,BULLISH,0.3470634533938109,0.24137026348337773,0.3448146621191063
2023-04-20,12:00:00,1.34731,1.3489,1.34633,1.34702,8900,1.34668,1.33846,81.30204390613184,0.025247274779458147,0.6395409649896241,BEARISH,-0.06384463482354255,0.03414945583583799,0.43651913111905427
2023-04-20,16:00:00,1.347,1.34842,1.34483,1.34616,11499,1.34668,1.33846,89.72431077694351,-0.03861347907447025,0.575288017572437,BEARISH,0.11439947703095284,0.29714149878172014,0.5957687050573421
2023-04-20,20:00:00,1.34616,1.3483,1.34598,1.3477,6598,1.34668,1.33846,89.91803278688616,0.07574182433835794,0.6903456210869144,BEARISH,-0.016324107739102693,0.2975439637901661,0.46746308525637714
2023-04-21,04:00:00,1.34747,1.35032,1.34747,1.35016,4956,1.3489,1.34483,89.83882270497706,0.09340944473274808,0.39633262196709307,BEARISH,0.11480120874562572,0.29774248977898266,0.4043965159684793
2023-04-24,04:00:00,1.35402,1.35572,1.35373,1.35562,5418,1.35633,1.34676,88.08777429467233,-0.05234714265702214,0.6578751967685476,BEARISH,-0.1895811510600287,-0.11360115666632957,-0.06343960696951084
2023-05-08,00:00:00,1.33793,1.33868,1.33712,1.33819,3542,1.35398,1.3371,17.859237536657204,-1.1661915242470324,0.08151970682821295,BULLISH,-0.09116792084830995,-0.42669576069167175,-0.06277135533817708
2023-05-08,04:00:00,1.33819,1.33857,1.33678,1.33697,5251,1.35398,1.3371,14.155653450807705,-1.2562962525295773,-0.00972253384189391,BULLISH,-0.13986850864267997,-0.08451947313702442,-0.010471439149721309
2023-05-08,16:00:00,1.33247,1.33636,1.33148,1.33584,10087,1.35398,1.3371,11.84792219274901,-1.3397539106929235,-0.09423378954453959,BULLISH,0.10106000718650321,0.07411067193676237,0.25601868487243823
2023-05-08,20:00:00,1.33582,1.33832,1.33575,1.33719,5804,1.35398,1.3371,15.757042253520922,-1.240047858904848,0.0067309849674777895,BULLISH,0.011965390109104761,0.0276699646273141,0.08674907829103028
2023-05-15,00:00:00,1.3537,1.35675,1.3537,1.35614,3574,1.35651,1.34796,90.65335753176059,-0.02727587706689987,0.606842933024708,BEARISH,-0.12166885424808127,-0.40113852552095575,-0.7270635775067457
2023-05-26,00:00:00,1.36338,1.36543,1.36338,1.365,3521,1.36447,1.35861,89.8026315789485,0.038842920694476195,0.47033364983327774,BEARISH,-0.11794871794870984,-0.16410256410256555,-0.3098901098901067
2023-05-26,04:00:00,1.36498,1.36531,1.36318,1.36339,5901,1.36447,1.35861,83.82804503582454,-0.07915161198120661,0.3518301793745082,BEARISH,-0.042541019077448484,-0.11515413784757636,-0.2611138412339835
2023-06-02,12:00:00,1.3411,1.34445,1.34074,1.34288,10349,1.35849,1.34362,14.334124025754406,-1.149069923223572,-0.055075095637156554,BULLISH,0.09308352198260256,0.007446681758607543,0.06106279042057525
2023-06-02,16:00:00,1.34288,1.3451,1.34123,1.34413,12651,1.35849,1.34362,16.73254281949977,-1.0570559959955488,0.03795716050669166,BULLISH,-0.09225298148245556,-0.01859939142791869,-0.1659065715369759
2023-06-02,20:00:00,1.34409,1.34476,1.34217,1.34289,6171,1.35849,1.34362,16.360708534621963,-1.1483338118057593,-0.054330837588017405,BULLISH,0.006701963675367716,0.054360372033459135,0.10872074406690176
2023-06-05,16:00:00,1.34366,1.34615,1.34169,1.3419,11461,1.3451,1.34066,19.30441578741744,-0.23790052784178647,0.09249175779094848,BULLISH,0.1825769431403116,-0.03651538862807224,-0.07377598926895047
2023-06-29,12:00:00,1.32636,1.32852,1.32525,1.32766,9421,1.32761,1.3189,82.8405017921148,0.0037661662687163786,0.6641898551823566,BEARISH,-0.20110570477382553,-0.16645827998132393,-0.05874998116987805
2023-07-07,00:00:00,1.33613,1.33729,1.33581,1.33689,3021,1.33719,1.32746,96.98870765370248,-0.022435106454594258,0.7103792204661403,BEARISH,-0.03889624426840308,-0.2625496488117872,-0.6373000022440037
2023-07-07,04:00:00,1.33689,1.33691,1.33593,1.33637,4919,1.33719,1.32746,93.79652605459242,-0.06132262430918889,0.6712066653609128,BEARISH,0.07931935017995306,-0.716867334645356,-0.5342831700801534
2023-07-07,08:00:00,1.33632,1.33868,1.33579,1.33743,8269,1.33719,1.32746,94.50934579439397,0.01794808516364884,0.7510584123061946,BEARISH,-0.3028195868194887,-0.7327486298348183,-0.7133083600636956
2023-07-14,00:00:00,1.31072,1.31148,1.31065,1.31128,3268,1.31943,1.31031,11.91680719505301,-0.617690972616971,0.07402828338331505,BULLISH,-0.10676590812031511,0.02821670428893764,0.8472637422975987
2023-07-14,04:00:00,1.3113,1.31151,1.30925,1.30988,5397,1.31943,1.31031,12.204951065054189,-0.7237973973609945,-0.032816661706020135,BULLISH,0.15726631447156783,0.8909213057684726,0.9199315967875009
2023-08-03,00:00:00,1.33412,1.33501,1.33347,1.33477,2826,1.3353,1.32641,90.81177520071383,-0.03969145510371598,0.6302726909477403,BEARISH,0.0764176599713824,0.041205600964964034,-0.06742734703358053
2023-08-03,04:00:00,1.33481,1.33582,1.33341,1.33579,5843,1.3353,1.32641,90.22306597057447,0.03669587358646757,0.7071719905609837,BEARISH,0.13849482328808474,-0.1856579252726879,-0.0344365506554269
2023-08-03,12:00:00,1.33765,1.33767,1.3347,1.33532,8651,1.3353,1.32641,80.1809954751137,0.0014977907586408315,0.6717379995627274,BEARISH,-0.15052571668214865,-0.10858820357668375,0.0868705628613237
2023-09-05,04:00:00,1.36005,1.36184,1.35971,1.3614,5229,1.36042,1.35751,82.7586206896546,0.07203657693947317,0.286554058533635,BEARISH,0.3459673865138822,-0.014690759512265167,0.19097987365947977
2023-09-12,16:00:00,1.35784,1.35854,1.35432,1.35572,9217,1.36358,1.35609,17.391304347826477,-0.5764238255181198,-0.02728432478670158,BULLISH,-0.033930310093539,-0.024341309414919115,-0.08408815979701861
2023-09-13,00:00:00,1.35514,1.35547,1.35471,1.35523,2529,1.35927,1.35432,19.679999999999325,-0.29721835985492534,0.06719239175379278,BULLISH,0.011806114091346858,0.0022136463921234397,-0.14462489761885156
2023-09-13,04:00:00,1.35521,1.35664,1.35471,1.35539,5843,1.35927,1.35432,12.16097987751698,-0.2854473357022434,0.07900643865557079,BULLISH,0.0383653413408579,-0.05976139708867554,-0.14977239023455965
2023-09-14,08:00:00,1.35335,1.35425,1.35262,1.35301,6114,1.35864,1.35206,13.69127516778559,-0.4143849732085043,0.0702631540020418,BULLISH,-0.05099740578414641,-0.1788604666632241,-0.1581658672145831
2023-09-14,12:00:00,1.353,1.35423,1.35145,1.35232,8874,1.35864,1.35206,12.797992471769334,-0.4651710534063551,0.019229915832132224,BULLISH,-0.2100094652153302,-0.07542593469001574,0.12053360151443596
2023-10-04,16:00:00,1.37181,1.37795,1.37131,1.3736,15199,1.37358,1.36567,83.50661625708877,0.0014560491562128875,0.5806673647367222,BEARISH,0.06188118811881315,-0.14851485148515156,-0.08153756552125874
