trade_date,trade_time,open,high,low,close,volume,sma,std,upper_band,lower_band,prev_high,prev_low,inside_bar,signal,forward_1,forward_3,forward_6
1993-09-06,00:00:00,0.6506,0.6528,0.6465,0.6485,1051,0.671735,0.010298608746101067,0.6923322174922021,0.6511377825077979,0.6578,0.6445,True,BB_INSIDEBAR_BULLISH,0.6168080185042412,1.079414032382422,-0.3392444101773292
1994-09-22,00:00:00,0.7345,0.7375,0.7339,0.7361,561,0.74268,0.002816044258025905,0.7483120885160518,0.7370479114839482,0.7434,0.733,True,BB_INSIDEBAR_BULLISH,0.937372639587015,0.4890639858714913,0.6113299823393642
1995-03-21,00:00:00,0.724,0.728,0.7225,0.7275,751,0.7391949999999999,0.0058310850303848714,0.7508571700607697,0.7275328299392302,0.7347,0.722,True,BB_INSIDEBAR_BULLISH,-0.31615120274915187,0.4123711340206189,-0.5498281786941586
1995-07-03,00:00:00,0.7105,0.7119,0.7082,0.709,591,0.719805,0.0051813912986238275,0.7301677825972477,0.7094422174027524,0.7172,0.7078,True,BB_INSIDEBAR_BULLISH,0.2538787023977467,0.6488011283497953,1.5232722143864643
1995-11-10,00:00:00,0.7379,0.7405,0.7368,0.738,731,0.7525449999999999,0.006491409302829779,0.7655278186056594,0.7395621813943404,0.7481,0.734,True,BB_INSIDEBAR_BULLISH,-0.027100271002707045,-0.3794037940379437,1.0704607046070485
1996-05-06,00:00:00,0.7964,0.7978,0.795,0.7978,421,0.7895800000000001,0.00408058303368255,0.7977411660673651,0.781418833932635,0.7982,0.794,True,BB_INSIDEBAR_BEARISH,0.43870644271748044,0.20055151667085058,0.6267234895963907
1996-08-01,00:00:00,0.7736,0.7772,0.7717,0.7743,1031,0.789695,0.0070867909002028905,0.8038685818004058,0.7755214181995943,0.7808,0.771,True,BB_INSIDEBAR_BULLISH,-0.05165956347668293,0.19372336303758966,0.7103189978044764
1999-01-06,20:00:00,0.6282,0.63,0.6274,0.6289,158,0.6221249999999999,0.003080990100620273,0.6282869802012405,0.6159630197987593,0.6302,0.6235,True,BB_INSIDEBAR_BEARISH,-0.09540467482907378,0.25441246621083397,1.2561615519160467
1999-01-25,00:00:00,0.6333,0.634,0.6329,0.6331,43,0.63832,0.002556436664811021,0.6434328733296221,0.6332071266703779,0.6355,0.6316,True,BB_INSIDEBAR_BULLISH,-0.14215763702416867,-0.06318117201073384,-0.5370399620912902
1999-02-22,00:00:00,0.6412,0.6412,0.6395,0.6402,71,0.6362650000000001,0.0018632950440537561,0.6399915900881076,0.6325384099118926,0.6415,0.637,True,BB_INSIDEBAR_BEARISH,-0.32802249297094516,-0.37488284910964664,0.1562011871290223
1999-04-16,00:00:00,0.6435,0.6439,0.6423,0.6435,116,0.636765,0.002853672610615154,0.6424723452212303,0.6310576547787697,0.644,0.638,True,BB_INSIDEBAR_BEARISH,-0.12432012432011064,0.45066045066045285,0.7770007770007777
1999-05-26,00:00:00,0.6492,0.6505,0.6487,0.6501,197,0.65812,0.003596138279673404,0.6653122765593469,0.6509277234406532,0.6567,0.6483,True,BB_INSIDEBAR_BULLISH,-0.2922627288109541,-0.10767574219351389,-0.32302722658052463
1999-06-15,20:00:00,0.6575,0.6586,0.6573,0.658,249,0.6623600000000001,0.00215416365507843,0.6666683273101569,0.6580516726898432,0.66,0.6571,True,BB_INSIDEBAR_BULLISH,0.030395136778112154,0.06079027355622431,-0.24316109422493096
1999-07-01,04:00:00,0.6689,0.67,0.6686,0.669,196,0.66012,0.004031011365873626,0.6681820227317473,0.6520579772682528,0.6717,0.6664,True,BB_INSIDEBAR_BEARISH,-0.01494768310911644,-0.14947683109118098,-0.28400597907324554
1999-08-19,12:00:00,0.636,0.6375,0.6337,0.6353,1240,0.64652,0.004880099222480371,0.6562801984449608,0.6367598015550392,0.6385,0.6332,True,BB_INSIDEBAR_BULLISH,0.26759011490634893,0.42499606485125696,0.12592475995592994
1999-09-02,20:00:00,0.6449,0.6457,0.6439,0.6455,286,0.63895,0.0029704686853617183,0.6448909373707234,0.6330090626292766,0.6463,0.6422,True,BB_INSIDEBAR_BEARISH,-0.20139426800929017,0.0,0.21688613477925142
1999-10-11,00:00:00,0.6537,0.6547,0.6532,0.6534,164,0.6592549999999999,0.0027806616024928198,0.6648163232049855,0.6536936767950143,0.6553,0.653,True,BB_INSIDEBAR_BULLISH,0.13774104683195776,-0.030609121518209055,0.260177532904811
1999-10-13,20:00:00,0.6466,0.6492,0.6463,0.6477,445,0.65389,0.0026862025632343293,0.6592624051264686,0.6485175948735313,0.658,0.646,True,BB_INSIDEBAR_BULLISH,-0.030878493129549014,0.09263547938859562,0.15439246564767653
1999-10-27,20:00:00,0.6436,0.645,0.6433,0.6438,389,0.6494500000000001,0.0027087577265688585,0.6548675154531378,0.6440324845468623,0.647,0.6425,True,BB_INSIDEBAR_BULLISH,0.12426219322769678,0.0,0.2640571606088729
1999-12-02,20:00:00,0.6335,0.6345,0.6323,0.633,532,0.63615,0.0013862102825823494,0.6389224205651647,0.6333775794348353,0.6361,0.6321,True,BB_INSIDEBAR_BULLISH,-0.01579778830963491,-0.31595576619273325,-0.1263823064770968
2000-01-11,20:00:00,0.6574,0.6587,0.6571,0.6581,368,0.655385,0.0013299287674509155,0.6580448575349018,0.6527251424650982,0.659,0.6537,True,BB_INSIDEBAR_BEARISH,-0.09117155447501063,0.015195259079165625,0.09117155447499375
2000-01-28,20:00:00,0.6281,0.6351,0.6267,0.6345,994,0.65079,0.0071141741393083175,0.6650183482786166,0.6365616517213833,0.6493,0.6229,True,BB_INSIDEBAR_BULLISH,0.3467297084318504,0.28368794326241514,0.472813238770686
2000-02-11,04:00:00,0.6289,0.6292,0.6276,0.6284,445,0.6331849999999999,0.0020389045046705994,0.6372628090093411,0.6291071909906587,0.6316,0.6253,True,BB_INSIDEBAR_BULLISH,0.20687460216423917,0.04774029280714163,0.5728835136855582
2000-03-20,04:00:00,0.6067,0.607,0.6057,0.6058,343,0.61124,0.002691976382201456,0.616623952764403,0.605856047235597,0.6075,0.6053,True,BB_INSIDEBAR_BULLISH,0.13205678441730323,0.24760647078242748,0.5942555298778553
2000-04-17,04:00:00,0.6025,0.6038,0.6023,0.6026,226,0.59795,0.0020387044390283563,0.6020274088780567,0.5938725911219432,0.6039,0.6016,True,BB_INSIDEBAR_BEARISH,-0.7135745104546914,-1.6926651178227659,-1.5101228011948218
2000-04-26,08:00:00,0.5883,0.5902,0.5877,0.5888,1013,0.5930500000000001,0.0018400514867598064,0.5967301029735197,0.5893698970264805,0.5911,0.5866,True,BB_INSIDEBAR_BULLISH,-0.05095108695651613,-0.11888586956522315,0.05095108695651613
2000-06-05,04:00:00,0.5785,0.581,0.5785,0.5806,426,0.574055,0.003139137494721174,0.5803332749894423,0.5677767250105576,0.5816,0.5777,True,BB_INSIDEBAR_BEARISH,0.46503616947985454,0.24112986565621025,-0.15501205649328487
2000-06-13,16:00:00,0.5985,0.599,0.5962,0.5971,758,0.5897650000000001,0.003411478302840273,0.5965879566056806,0.5829420433943195,0.6,0.5924,True,BB_INSIDEBAR_BEARISH,-0.11723329425555568,0.787137832858824,0.3684474962318022
2000-06-30,20:00:00,0.5979,0.5985,0.595,0.595,264,0.600895,0.002164176031415459,0.6052233520628308,0.5965666479371691,0.6015,0.5932,True,BB_INSIDEBAR_BULLISH,0.7899159663865609,0.7394957983193396,0.5378151260504169
2000-07-13,20:00:00,0.5855,0.5862,0.5836,0.5848,322,0.58924,0.0021069808782392353,0.5934539617564785,0.5850260382435215,0.59,0.5825,True,BB_INSIDEBAR_BULLISH,-0.034199726402185014,0.10259917920657405,-0.11969904240766654
2000-08-22,20:00:00,0.5809,0.5813,0.5801,0.5805,218,0.58918,0.003558621850367997,0.596297243700736,0.5820627562992641,0.587,0.5785,True,BB_INSIDEBAR_BULLISH,-0.20671834625322633,-1.5503875968992262,-1.5503875968992262
2000-08-23,08:00:00,0.5698,0.5727,0.5692,0.5715,1063,0.5862999999999999,0.0065614504173369965,0.599422900834674,0.5731770991653259,0.5795,0.5688,True,BB_INSIDEBAR_BULLISH,0.0,0.0,0.2274715660542376
