trade_date,trade_time,open,high,low,close,volume,sma,std,upper_band,lower_band,signal,forward_1,forward_3,forward_6
1971-02-26,00:00:00,0.5379,0.5379,0.5379,0.5379,1,0.53855,0.00024170447375195623,0.5390334089475038,0.5380665910524961,LOWER_BAND,0.07436326454730542,0.2044989775051106,0.11154489682095815
1971-04-12,00:00:00,0.5381,0.5381,0.5381,0.5381,1,0.53862,0.00017651599003211393,0.5389730319800642,0.5382669680199358,LOWER_BAND,-0.055751719011350676,-0.03716781267422002,-0.13008734435979072
1971-04-13,00:00:00,0.5378,0.5378,0.5378,0.5378,1,0.5385899999999999,0.0002511028306871516,0.5390922056613742,0.5380877943386256,LOWER_BAND,0.0743770918557209,-0.018594272963925063,0.0
1971-04-15,00:00:00,0.5379,0.5379,0.5379,0.5379,1,0.538535,0.0003048295468481977,0.5391446590936964,0.5379253409063036,LOWER_BAND,-0.037181632273673354,-0.09295408068415244,-0.11154489682097879
1971-04-16,00:00:00,0.5377,0.5377,0.5377,0.5377,1,0.5384849999999999,0.0003543340677651554,0.5391936681355302,0.5377763318644696,LOWER_BAND,-0.1859773107680865,0.018597731076806585,-0.03719546215361317
1971-04-19,00:00:00,0.5367,0.5367,0.5367,0.5367,1,0.538385,0.0005294237184752721,0.5394438474369505,0.5373261525630495,LOWER_BAND,0.13042668157257947,0.26085336314515895,0.2235885969815707
1971-05-05,00:00:00,0.5465,0.5465,0.5465,0.5465,1,0.53843,0.001969798279813914,0.5423695965596278,0.5344904034403721,UPPER_BAND,-0.1280878316559989,1.0978956999085097,0.9332113449222311
1971-05-06,00:00:00,0.5458,0.5458,0.5458,0.5458,1,0.5387850000000001,0.0025695125484889733,0.543924025096978,0.5336459749030221,UPPER_BAND,0.38475632099672075,0.4030780505679903,1.0443385855624843
1971-05-07,00:00:00,0.5479,0.5479,0.5479,0.5479,1,0.539245,0.0032790362833260947,0.5458030725666522,0.5326869274333478,UPPER_BAND,0.8395692644643068,0.25552108048913247,0.6205511954736189
1971-05-10,00:00:00,0.5525,0.5525,0.5525,0.5525,1,0.539965,0.004402783210652218,0.5487705664213045,0.5311594335786956,UPPER_BAND,-0.8144796380090404,-0.1628959276018121,-0.14479638009050189
1971-07-14,00:00:00,0.5604,0.5604,0.5604,0.5604,1,0.55872,0.0006287832862505746,0.5599775665725012,0.5574624334274988,UPPER_BAND,0.17844396859386166,0.4996431120628167,0.7137758743754467
1971-07-15,00:00:00,0.5614,0.5614,0.5614,0.5614,1,0.5589000000000001,0.0008335087534758456,0.5605670175069517,0.5572329824930484,UPPER_BAND,0.2493765586034836,0.2493765586034836,0.5700035625222623
1971-07-16,00:00:00,0.5628,0.5628,0.5628,0.5628,1,0.55913,0.0011890287943107157,0.5615080575886214,0.5567519424113786,UPPER_BAND,0.07107320540157551,0.14214641080313128,0.28429282160626257
1971-07-19,00:00:00,0.5632,0.5632,0.5632,0.5632,1,0.5593950000000001,0.0014601640138643414,0.5623153280277288,0.5564746719722714,UPPER_BAND,-0.07102272727273916,0.21306818181817808,0.3373579545454568
1971-07-21,00:00:00,0.5636,0.5636,0.5636,0.5636,1,0.5599000000000001,0.0017997075785908766,0.5634994151571818,0.5563005848428183,UPPER_BAND,0.14194464158978404,0.14194464158978404,0.26614620298084757
1971-07-22,00:00:00,0.5644,0.5644,0.5644,0.5644,1,0.56013,0.0020611953609025097,0.564252390721805,0.556007609278195,UPPER_BAND,0.03543586109142062,0.12402551381999183,0.12402551381999183
1971-08-09,00:00:00,0.5737,0.5737,0.5737,0.5737,1,0.564585,0.0030713060825403892,0.5707276121650808,0.5584423878349192,UPPER_BAND,-0.01743071291615635,0.6623670908140188,0.22659926791005194
1971-08-10,00:00:00,0.5736,0.5736,0.5736,0.5736,1,0.5653349999999999,0.0033515550200839336,0.5720381100401678,0.558631889959832,UPPER_BAND,0.15690376569037864,0.6450488145048878,0.6450488145048878
1971-08-11,00:00:00,0.5745,0.5745,0.5745,0.5745,1,0.56604,0.0037214032441112493,0.5734828064882225,0.5585971935117775,UPPER_BAND,0.522193211488251,-0.6440382941688488,0.22628372497823634
1971-08-12,00:00:00,0.5775,0.5775,0.5775,0.5775,1,0.566845,0.004352673104876335,0.5755503462097528,0.5581396537902473,UPPER_BAND,-0.034632034632030816,-0.4329004329004429,-0.4155844155844275
1971-08-13,00:00:00,0.5773,0.5773,0.5773,0.5773,1,0.56757,0.004825382450075149,0.5772207649001503,0.5579192350998498,UPPER_BAND,-1.1259310583752054,0.0,-0.39840637450200583
1971-09-14,00:00:00,0.5802,0.5802,0.5802,0.5802,1,0.5761399999999999,0.0019274744861507364,0.5799949489723013,0.5722850510276984,UPPER_BAND,0.10341261633918199,0.155118924508773,1.016890727335385
1971-09-15,00:00:00,0.5808,0.5808,0.5808,0.5808,1,0.5765,0.0020933478600517566,0.5806866957201036,0.5723133042798965,UPPER_BAND,-0.05165289256197778,0.9469696969697075,1.704545454545458
1971-09-20,00:00:00,0.5863,0.5863,0.5863,0.5863,1,0.57743,0.003191452399939343,0.5838129047998787,0.5710470952001213,UPPER_BAND,-0.35817840695889314,0.7504690431519631,0.6481323554494139
1971-09-22,00:00:00,0.5861,0.5861,0.5861,0.5861,1,0.578655,0.0035142529340155856,0.5856835058680312,0.5716264941319689,UPPER_BAND,0.7848490018768213,0.7166012625831928,0.5971677188193242
1971-09-23,00:00:00,0.5907,0.5907,0.5907,0.5907,1,0.579325,0.0044064396655738546,0.5881378793311477,0.5705121206688523,UPPER_BAND,-0.10157440325038851,-0.10157440325038851,-0.3047232097511467
1971-09-24,00:00:00,0.5901,0.5901,0.5901,0.5901,1,0.58004,0.004933067797503273,0.5899061355950066,0.5701738644049934,UPPER_BAND,0.03389256058296713,0.05083884087444128,-0.3219793255380466
1971-11-23,00:00:00,0.5886,0.5886,0.5886,0.5886,1,0.5859650000000001,0.0010544517158596214,0.5880739034317193,0.5838560965682809,UPPER_BAND,0.3737682636765171,0.3737682636765171,1.0193679918450569
1971-11-24,00:00:00,0.5908,0.5908,0.5908,0.5908,1,0.586155,0.0014992893053307843,0.5891535786106615,0.5831564213893384,UPPER_BAND,0.06770480704129248,-0.06770480704129248,1.2356127285037193
1971-11-26,00:00:00,0.5912,0.5912,0.5912,0.5912,1,0.58638,0.0018757735246601648,0.5901315470493204,0.5826284529506797,UPPER_BAND,-0.06765899864681259,0.15223274695534708,1.7591339648173336
1971-12-02,00:00:00,0.5946,0.5946,0.5946,0.5946,1,0.58753,0.0030435609338275065,0.593617121867655,0.581442878132345,UPPER_BAND,0.5886310124453326,0.6727211570803908,0.35317860746720325
1971-12-03,00:00:00,0.5981,0.5981,0.5981,0.5981,1,0.5881449999999999,0.0038194068153417056,0.5957838136306833,0.5805061863693165,UPPER_BAND,0.5851864236749805,0.200635345260005,-0.16719612104999182
1971-12-06,00:00:00,0.6016,0.6016,0.6016,0.6016,1,0.5889300000000001,0.004816867293827136,0.5985637345876543,0.5792962654123458,UPPER_BAND,-0.4986702127659579,-0.615026595744687,-0.16622340425531928
1972-01-12,00:00:00,0.6056,0.6056,0.6056,0.6056,1,0.5979,0.0037512103309989457,0.6054024206619979,0.5903975793380021,UPPER_BAND,0.4128137384412065,0.6439894319682983,0.2807133421400138
1972-01-13,00:00:00,0.6081,0.6081,0.6081,0.6081,1,0.598765,0.004013303534892756,0.6067916070697855,0.5907383929302145,UPPER_BAND,0.0822233185331452,-0.11511264594637773,-0.09866798223975234
1972-01-14,00:00:00,0.6086,0.6086,0.6086,0.6086,1,0.599675,0.004079586537360668,0.6078341730747213,0.5915158269252786,UPPER_BAND,0.1478803812027624,0.0,0.11501807426880101
1972-01-17,00:00:00,0.6095,0.6095,0.6095,0.6095,1,0.600545,0.004231644572680773,0.6090082891453615,0.5920817108546385,UPPER_BAND,-0.34454470877768506,-0.36095159967187707,0.049220672682521234
1972-02-16,00:00:00,0.6197,0.6197,0.6197,0.6197,1,0.6114200000000001,0.0029215352849273884,0.6172630705698549,0.6055769294301453,UPPER_BAND,-0.5486525738260561,-0.6616104566725822,-1.177989349685327
1972-03-17,00:00:00,0.5965,0.5965,0.5965,0.5965,1,0.6154000000000001,0.004891238138379437,0.6251824762767589,0.6056175237232412,LOWER_BAND,3.319362950544833,3.419949706621957,3.35289186923722
1972-04-18,00:00:00,0.6123,0.6123,0.6123,0.6123,1,0.61618,0.0011551258760389247,0.6184902517520778,0.6138697482479221,LOWER_BAND,-0.04899559039685889,0.21231422505309144,0.45729217703740405
1972-04-19,00:00:00,0.612,0.612,0.612,0.612,1,0.615935,0.0014708661966481304,0.6188767323932963,0.6129932676067037,LOWER_BAND,0.3758169934640472,0.6209150326797428,0.5555555555555488
1972-06-12,00:00:00,0.6175,0.6179,0.6174,0.6176,91,0.615445,0.0007728791013377591,0.6169907582026756,0.6138992417973245,UPPER_BAND,0.12953367875646243,0.12953367875646243,-0.30764248704663416
1972-06-13,00:00:00,0.6184,0.6186,0.6184,0.6184,41,0.6156400000000001,0.0009848323394688156,0.6176096646789377,0.6136703353210624,UPPER_BAND,-0.09702457956014457,-0.17787839586028298,-0.5659767141008971
1972-06-15,00:00:00,0.6185,0.6186,0.6184,0.6184,31,0.61601,0.0011331836846599018,0.6182763673693198,0.6137436326306801,UPPER_BAND,-0.17787839586028298,-0.43661060802068646,0.4527813712807285
1972-06-22,00:00:00,0.6128,0.6128,0.6128,0.6128,1,0.616085,0.001335457737422843,0.6187559154748457,0.6134140845251543,LOWER_BAND,1.370757180156652,0.718015665796338,1.2728459530026157
1972-06-23,00:00:00,0.6213,0.6221,0.6203,0.6212,351,0.6164099999999999,0.0017170660410989295,0.6198441320821978,0.612975867917802,UPPER_BAND,0.06439150032196829,-0.27366387636830714,-0.08048937540243802
