trade_date,trade_time,open,high,low,close,volume,prev_daily_high,prev_daily_low,rsi,distance_to_low_pct,distance_to_high_pct,signal,forward_1,forward_3,forward_6
2023-03-31,05:00:00,13014.14,13022.64,12993.24,12997.14,3972,12998.99,12818.99,83.24550245320724,1.3897350727319362,-0.01423187493797875,BEARISH,-0.22697301098549374,0.9105849440723142,0.907892043941975
2023-05-01,05:00:00,13243.54,13276.54,13241.04,13269.79,3055,13261.49,13094.49,83.6171868245872,1.3387310235068421,0.06258723567262119,BEARISH,-0.13451606996041657,0.10889396139651727,-0.21326637422296124
2023-05-01,09:00:00,13269.54,13293.29,13229.29,13251.94,4168,13261.49,13094.49,82.1889870836167,1.2024141451862633,-0.07201302417751906,BEARISH,-0.10790872883518256,-0.2316641940727224,-0.02792044032798766
2023-05-19,05:00:00,13881.74,13897.99,13866.99,13868.99,3786,13866.54,13582.54,86.11477282713768,2.108957529298636,0.01766843062507957,BEARISH,0.0288413215381942,-0.5389721962450041,-0.31328885520862665
2023-05-19,09:00:00,13868.49,13887.24,13843.99,13872.99,5843,13866.54,13582.54,85.99663210139147,2.1384071020589586,0.04651484797216111,BEARISH,-0.13695677716195284,-0.5352126686460525,-0.5276440046449894
2023-05-19,13:00:00,13871.99,13884.99,13833.99,13853.99,8330,13866.54,13582.54,83.9142091152815,1.9985216314474235,-0.09050563442647619,BEARISH,-0.4312836951665188,-0.250469359368665,0.2584093102420392
2023-05-29,13:00:00,14369.19,14391.69,14340.44,14346.44,4423,14334.94,13891.44,87.88109229173872,3.2753983748265116,0.08022356563752621,BEARISH,0.22827962895324555,0.15125703658886044,-0.14324111068670062
2023-05-30,13:00:00,14468.99,14540.74,14402.14,14415.14,10815,14418.44,14340.44,84.82611781405235,0.5209045189687269,-0.02288735813306496,BEARISH,-0.6191407090045605,-0.3007254872307764,-0.4363467853936877
2023-06-05,17:00:00,14584.54,14673.79,14571.79,14614.04,14147,14602.59,14445.99,80.10363620119736,1.1632986039724595,0.07841074768243667,BEARISH,-0.3318726375458121,-0.335636141682937,-0.5494716040191561
2023-06-13,01:00:00,14823.29,14847.04,14818.69,14837.69,3844,14834.84,14554.44,80.71487946799667,1.9461415210753557,0.01921153177250556,BEARISH,0.21903679076729599,0.07009177304553227,0.621727506101017
2023-06-22,05:00:00,14863.44,14867.94,14825.44,14837.44,3785,15103.39,14834.14,19.83265786377281,0.022245981229792166,-1.7608629585808149,BULLISH,0.13310921560592662,1.0446546034895507,1.00893415575732
2023-07-13,05:00:00,15358.69,15400.79,15354.94,15374.44,3712,15383.39,15128.84,83.46635030198456,1.623389499789808,-0.05817963400784164,BEARISH,0.2887910063716118,1.0471926131943667,1.4810295529463116
2023-07-14,05:00:00,15585.14,15603.89,15581.14,15602.14,3410,15616.34,15339.94,97.47941864010578,1.7092635303658221,-0.09093039726338391,BEARISH,-0.23394226689415681,0.07883533925475025,-0.24676102124452157
