trade_date,trade_time,open,high,low,close,volume,sma,std,upper_band,lower_band,candle_range,body_size,body_to_range,doji,signal,forward_1,forward_3,forward_6
1993-11-15,00:00:00,0.6575,0.658,0.65,0.6573,1581,0.6678599999999999,0.0052741075573345805,0.6784082151146691,0.6573117848853307,0.008000000000000007,0.00019999999999997797,0.024999999999997226,True,BB_DOJI_BULLISH,0.3042750646584515,0.5629088696181404,0.8367564278107331
1995-11-10,00:00:00,0.7379,0.7405,0.7368,0.738,731,0.7525449999999999,0.006491409302829779,0.7655278186056594,0.7395621813943404,0.0037000000000000366,9.999999999998899e-05,0.027027027027023785,True,BB_DOJI_BULLISH,-0.027100271002707045,-0.3794037940379437,1.0704607046070485
1996-01-22,00:00:00,0.734,0.7365,0.731,0.7338,1081,0.742235,0.004062961714654808,0.7503609234293096,0.7341090765706904,0.00550000000000006,0.00019999999999997797,0.03636363636363196,True,BB_DOJI_BULLISH,0.19078768056690606,0.9130553284273698,1.4854183701281032
1997-10-27,00:00:00,0.6865,0.6955,0.684,0.6865,2301,0.7241850000000001,0.015290942451422793,0.7547668849028457,0.6936031150971544,0.011499999999999955,0.0,0.0,True,BB_DOJI_BULLISH,3.1318281136198056,1.8062636562272347,2.3306627822286985
1998-06-04,00:00:00,0.61,0.6162,0.606,0.6094,199,0.624925,0.007685178832292481,0.6402953576645849,0.609554642335415,0.010199999999999987,0.0005999999999999339,0.0588235294117583,True,BB_DOJI_BULLISH,-1.0994420741713222,-2.7896291434197593,-3.363964555300307
1998-06-11,00:00:00,0.5866,0.5948,0.585,0.5862,193,0.61537,0.013989285373573095,0.6433485707471461,0.5873914292528538,0.009800000000000031,0.00039999999999995595,0.04081632653060762,True,BB_DOJI_BULLISH,0.46059365404297586,1.6206073012623594,4.742408734220391
1998-10-08,00:00:00,0.6185,0.6255,0.6088,0.6177,327,0.5932850000000001,0.010112382977013811,0.6135097659540277,0.5730602340459724,0.016699999999999937,0.0008000000000000229,0.04790419161676802,True,BB_DOJI_BEARISH,-0.5180508337380574,1.2627489072365095,2.7359559656791363
1999-04-05,20:00:00,0.6312,0.6317,0.6305,0.6313,36,0.634205,0.0011843163696011025,0.6365736327392022,0.6318363672607978,0.0012000000000000899,9.999999999998899e-05,0.08333333333331791,True,BB_DOJI_BULLISH,-0.17424362426738318,-0.411848566450172,-0.3326469190559149
1999-04-06,12:00:00,0.6287,0.6291,0.6279,0.6286,372,0.63331,0.0022689900373555377,0.6378479800747111,0.628772019925289,0.0011999999999999789,9.999999999998899e-05,0.08333333333332563,True,BB_DOJI_BULLISH,0.17499204581609765,0.12726694241169453,-0.143175310213174
1999-04-16,00:00:00,0.6435,0.6439,0.6423,0.6435,116,0.636765,0.002853672610615154,0.6424723452212303,0.6310576547787697,0.0016000000000000458,0.0,0.0,True,BB_DOJI_BEARISH,-0.12432012432011064,0.45066045066045285,0.7770007770007777
1999-06-01,08:00:00,0.6459,0.6475,0.6447,0.6458,809,0.6499499999999999,0.0020520849475061218,0.6540541698950122,0.6458458301049876,0.0027999999999999137,9.999999999998899e-05,0.03571428571428288,True,BB_DOJI_BULLISH,-0.2013007122948403,-0.3406627438835693,-0.061938680706111325
1999-07-01,04:00:00,0.6689,0.67,0.6686,0.669,196,0.66012,0.004031011365873626,0.6681820227317473,0.6520579772682528,0.0014000000000000679,9.999999999998899e-05,0.0714285714285601,True,BB_DOJI_BEARISH,-0.01494768310911644,-0.14947683109118098,-0.28400597907324554
1999-07-19,16:00:00,0.6517,0.6535,0.6492,0.6515,914,0.659135,0.0030206787317132735,0.6651763574634266,0.6530936425365734,0.0042999999999999705,0.00019999999999997797,0.04651162790697194,True,BB_DOJI_BULLISH,-0.2455871066768895,0.04604758250193062,-0.46047582501918694
1999-07-29,20:00:00,0.6509,0.6517,0.6494,0.6507,310,0.646215,0.002119154498773932,0.6504533089975478,0.6419766910024521,0.0022999999999999687,0.000200000000000089,0.08695652173917032,True,BB_DOJI_BEARISH,-0.030736130321189183,0.15368065160596298,0.21515291224835836
1999-08-11,12:00:00,0.6479,0.6488,0.646,0.6478,563,0.6519349999999999,0.0018582037167225807,0.6556514074334451,0.6482185925665548,0.0028000000000000247,9.999999999998899e-05,0.035714285714281466,True,BB_DOJI_BULLISH,0.13893176906452792,0.44766903365234684,0.2933004013584459
1999-08-18,12:00:00,0.6441,0.645,0.642,0.6439,930,0.649785,0.0026731166513613487,0.6551312333027226,0.6444387666972773,0.0030000000000000027,0.00019999999999997797,0.06666666666665927,True,BB_DOJI_BULLISH,0.4814412175803683,0.2018947041466016,-1.3356111197390979
