trade_date,trade_time,open,high,low,close,volume,rsi,recent_low,recent_high,distance_to_recent_low_pct,distance_to_recent_high_pct,signal,forward_1,forward_3,forward_6
1971-02-02,00:00:00,357.55,357.55,357.55,357.55,1,16.030534351141185,357.67,358.4,-0.03355047949227068,-0.23716517857141906,DOUBLE_BOTTOM_BULLISH,-0.002796811634733857,-0.0055936232694836115,-0.013984058173685181
1971-02-03,00:00:00,357.54,357.54,357.54,357.54,1,16.406249999996504,357.55,358.4,-0.002796811634733857,-0.2399553571428451,DOUBLE_BOTTOM_BULLISH,-0.008390669575440386,-0.013984449292390046,-0.011187559433915214
1971-02-04,00:00:00,357.51,357.51,357.51,357.51,1,16.030534351141185,357.54,358.27,-0.008390669575440386,-0.2121305160912136,DOUBLE_BOTTOM_BULLISH,0.005594249111907866,-0.002797124555953933,0.005594249111907866
1971-02-05,00:00:00,357.53,357.53,357.53,357.53,1,18.852459016387826,357.51,357.9,0.005594249111907866,-0.10338083263481547,DOUBLE_BOTTOM_BULLISH,-0.011187872346366354,-0.008390904259774765,0.0
1971-02-08,00:00:00,357.49,357.49,357.49,357.49,1,14.166666666660674,357.51,357.83,-0.005594249111907866,-0.09501718693233518,DOUBLE_BOTTOM_BULLISH,0.0027972810428238282,0.0027972810428238282,0.011189124171295313
1971-02-09,00:00:00,357.5,357.5,357.5,357.5,1,11.206896551720249,357.49,357.83,0.0027972810428238282,-0.09222256378726884,DOUBLE_BOTTOM_BULLISH,0.0,0.008391608391600759,0.016783216783217418
1971-02-10,00:00:00,357.5,357.5,357.5,357.5,1,12.62135922329675,357.49,357.83,0.0027972810428238282,-0.09222256378726884,DOUBLE_BOTTOM_BULLISH,0.0,0.008391608391600759,0.02797202797203433
1971-02-11,00:00:00,357.5,357.5,357.5,357.5,1,19.696969696964743,357.49,357.83,0.0027972810428238282,-0.09222256378726884,DOUBLE_BOTTOM_BULLISH,0.008391608391600759,0.008391608391600759,0.013986013986017166
1971-02-19,00:00:00,357.56,357.56,357.56,357.56,1,19.99999999999747,357.49,357.54,0.0195809672997827,0.005593779716949658,DOUBLE_BOTTOM_BULLISH,0.011186933661489111,0.011186933661489111,0.01957713390759402
1971-05-06,00:00:00,357.41,357.41,357.41,357.41,1,19.047619047642243,357.4,357.5,0.002797985450489018,-0.025174825174818182,DOUBLE_BOTTOM_BULLISH,0.0,0.008393721496313117,0.02238325732351755
1971-05-10,00:00:00,357.14,357.14,357.14,357.14,1,9.302325581409491,357.4,357.5,-0.07274762171236455,-0.10069930069930451,DOUBLE_BOTTOM_BULLISH,0.08400067200537924,0.09800078400627843,0.08400067200537924
1971-09-08,00:00:00,339.39,339.39,339.39,339.39,1,10.570175438595982,338.98,357.4,0.12095108855978765,-5.039171796306657,DOUBLE_BOTTOM_BULLISH,-0.09428680868617025,-0.12080497362914881,-0.4567017295736502
1971-09-09,00:00:00,339.07,339.07,339.07,339.07,1,10.423875432525449,338.98,357.4,0.02655023895214319,-5.128707330721876,DOUBLE_BOTTOM_BULLISH,-0.07668033149496885,-0.24478721208009677,-0.3303152741321864
1971-09-10,00:00:00,338.81,338.81,338.81,338.81,1,10.307955517535873,338.98,357.4,-0.05015045135406688,-5.201454952434241,DOUBLE_BOTTOM_BULLISH,0.05017561465128418,-0.11806026976770971,-0.45453203860571423
1971-09-13,00:00:00,338.98,338.98,338.98,338.98,1,10.955414012738416,338.81,357.4,0.05017561465128418,-5.15388919977615,DOUBLE_BOTTOM_BULLISH,-0.21830196471768512,-0.33630302672725326,-0.48380435423920093
1971-09-15,00:00:00,338.41,338.41,338.41,338.41,1,11.106557377048958,338.24,341.01,0.05026017029328758,-0.7624409841353527,DOUBLE_BOTTOM_BULLISH,-0.16843473892616945,-0.3368694778523221,-0.3368694778523221
1971-09-16,00:00:00,337.84,337.84,337.84,337.84,1,10.870437224227572,338.24,341.01,-0.1182592242194992,-0.9295915075804276,DOUBLE_BOTTOM_BULLISH,0.03255979161733769,-0.14799905280606204,-0.2545583708264139
1971-09-17,00:00:00,337.95,337.95,337.95,337.95,1,11.08443377350936,337.84,340.14,0.03255979161733769,-0.6438525313106361,DOUBLE_BOTTOM_BULLISH,-0.20121319721852549,-0.1509098979138899,-0.5030329930463053
1971-09-24,00:00:00,336.98,336.98,336.98,336.98,1,14.090909090910202,337.27,338.98,-0.08598452278588775,-0.5900053100477904,DOUBLE_BOTTOM_BULLISH,-0.2166300670663001,-0.41842245830613833,-1.1306308979761417
1971-09-28,00:00:00,336.36,336.36,336.36,336.36,1,16.258351893096986,336.25,338.41,0.03271375464684421,-0.6057740610502087,DOUBLE_BOTTOM_BULLISH,-0.2348674039719409,-0.8829825187299403,-1.102984897134034
1971-09-30,00:00:00,335.35,335.35,335.35,335.35,1,14.837398373984868,335.57,337.95,-0.06556009178411969,-0.7693445776002267,DOUBLE_BOTTOM_BULLISH,-0.5844639928433089,-0.659012971522301,-0.8886238258535911
1971-10-04,00:00:00,333.17,333.17,333.17,333.17,1,9.046849757674451,333.39,337.44,-0.06598878190706693,-1.2654101469890888,DOUBLE_BOTTOM_BULLISH,-0.00900441216196823,-0.1680823603565754,-0.5312603175556139
1971-10-05,00:00:00,333.14,333.14,333.14,333.14,1,6.446280991736131,333.17,337.44,-0.00900441216196823,-1.274300616405883,DOUBLE_BOTTOM_BULLISH,-0.14708530947950085,-0.23113405775349155,-0.6873986912409089
1971-10-06,00:00:00,332.65,332.65,332.65,332.65,1,6.532663316583552,333.14,337.44,-0.14708530947950085,-1.419511616880044,DOUBLE_BOTTOM_BULLISH,-0.012024650533582933,-0.6403126409138722,-0.6222756651134806
1971-10-07,00:00:00,332.61,332.61,332.61,332.61,1,4.74576271186487,332.65,337.27,-0.012024650533582933,-1.3816823316630498,DOUBLE_BOTTOM_BULLISH,-0.07215657977812125,-0.36378942304802514,-0.9049637713839003
1971-10-08,00:00:00,332.37,332.37,332.37,332.37,1,5.128205128205636,332.61,336.98,-0.07215657977812125,-1.3680337111994816,DOUBLE_BOTTOM_BULLISH,-0.5566085988506853,-0.45732165959622767,-0.45732165959622767
1971-10-14,00:00:00,330.85,330.85,330.85,330.85,1,11.785714285714434,330.52,335.57,0.09984267215298345,-1.4065619691867481,DOUBLE_BOTTOM_BULLISH,-0.08160797944689094,0.0,-0.14810337010730212
1971-10-15,00:00:00,330.58,330.58,330.58,330.58,1,11.813842482100284,330.52,335.35,0.018153213118722703,-1.4223945131951807,DOUBLE_BOTTOM_BULLISH,-0.2964486659809914,0.1482243329905043,-0.47794784923467365
1971-11-24,00:00:00,328.04,328.04,328.04,328.04,1,15.403422982886042,328.19,329.49,-0.04570523172551792,-0.4400740538407808,DOUBLE_BOTTOM_BULLISH,-0.1341299841482739,-0.18290452383856318,-0.8962321668089249
1972-01-04,00:00:00,314.96,314.96,314.96,314.96,1,12.425683709868807,314.86,326.53,0.03176014736707295,-3.5433191437233926,DOUBLE_BOTTOM_BULLISH,-0.03175006350011617,-0.7810515621031178,-0.4699009398018673
1972-01-05,00:00:00,314.86,314.86,314.86,314.86,1,12.759462759462394,314.86,326.53,0.0,-3.573944201145365,DOUBLE_BOTTOM_BULLISH,-0.9051641999618949,-0.5939147557644682,-0.28266531156704133
1972-01-20,00:00:00,312.01,312.01,312.01,312.01,1,19.713467048710598,312.01,314.47,0.0,-0.7822685788787599,DOUBLE_BOTTOM_BULLISH,0.09294573891863096,-0.06089548411909802,-0.4967789493926514
1972-02-04,00:00:00,308.64,308.64,308.64,308.64,1,18.05929919137492,308.55,312.3,0.02916869227028844,-1.1719500480307476,DOUBLE_BOTTOM_BULLISH,-0.15228097459822784,-1.2474079834110827,-1.4288491446345153
1972-02-07,00:00:00,308.17,308.17,308.17,308.17,1,18.108108108108453,308.55,312.21,-0.12315670069680618,-1.2940008327728016,DOUBLE_BOTTOM_BULLISH,-0.15575818541714578,-1.12924684427427,-1.3077197650647465
1972-02-10,00:00:00,304.69,304.69,304.69,304.69,1,10.813594232749807,304.79,310.56,-0.032809475376496186,-1.8901339515713564,DOUBLE_BOTTOM_BULLISH,0.0,-0.18051133939414205,-0.39384292231447987
1972-02-11,00:00:00,304.69,304.69,304.69,304.69,1,10.914760914761032,304.69,310.56,0.0,-1.8901339515713564,DOUBLE_BOTTOM_BULLISH,-0.15097312022054532,-0.24286980209393452,-0.6038924808821999
1972-02-15,00:00:00,304.14,304.14,304.14,304.14,1,11.06427818756596,304.23,310.37,-0.02958288137265616,-2.007281631600998,DOUBLE_BOTTOM_BULLISH,-0.062471230354441284,-0.21371736700203106,-0.6674557769448192
1972-02-16,00:00:00,303.95,303.95,303.95,303.95,1,12.758201701093668,304.14,309.12,-0.062471230354441284,-1.6724896480331315,DOUBLE_BOTTOM_BULLISH,0.0,-0.3619016285573173,-0.48363217634478384
1972-02-17,00:00:00,303.95,303.95,303.95,303.95,1,8.535031847133936,303.95,309.12,0.0,-1.6724896480331315,DOUBLE_BOTTOM_BULLISH,-0.15134068103305792,-0.48363217634478384,0.0
1972-02-23,00:00:00,302.48,302.48,302.48,302.48,1,7.905686546463173,302.85,307.69,-0.12217269275218905,-1.6932626994702393,DOUBLE_BOTTOM_BULLISH,-0.12232213700079494,0.4859825443004398,0.18183020364981303
1972-02-24,00:00:00,302.11,302.11,302.11,302.11,1,0.0,302.48,304.79,-0.12232213700079494,-0.8792939400899001,DOUBLE_BOTTOM_BULLISH,0.12247194730396363,0.426996789248937,0.18205289464102856
1972-02-25,00:00:00,302.48,302.48,302.48,302.48,1,5.362318840579789,302.11,304.69,0.12247194730396363,-0.7253273819291672,DOUBLE_BOTTOM_BULLISH,0.4859825443004398,0.24133827029884994,0.08926209997354595
1972-04-05,00:00:00,305.16,305.16,305.16,305.16,1,87.02830188679239,301.93,304.97,1.0697843871096009,0.0623012099550768,DOUBLE_TOP_BEARISH,-0.09175514484205975,-0.9994756848866205,-0.8487350897889736
1972-04-06,00:00:00,304.88,304.88,304.88,304.88,1,81.26410835214382,301.93,305.16,0.977047660053651,-0.09175514484205975,DOUBLE_TOP_BEARISH,-0.5477564943584413,-0.8462345840986566,-0.6363159275780628
1972-11-27,00:00:00,301.11,301.11,301.11,301.11,1,84.21052631578807,300.93,301.11,0.05981457481806626,0.0,DOUBLE_TOP_BEARISH,0.02988940918600345,0.0,0.0
