trade_date,trade_time,open,high,low,close,volume,rsi,recent_low,recent_high,distance_to_recent_low_pct,distance_to_recent_high_pct,signal,forward_1,forward_3,forward_6
2022-12-07,08:00:00,1.36493,1.36998,1.36478,1.36893,11103,92.80465401102188,1.34221,1.36755,1.9907466044806759,0.10091038718876362,DOUBLE_TOP_BEARISH,-0.35721329797725676,-0.2702840904940382,-0.10884413373948934
2023-01-23,08:00:00,1.33785,1.33839,1.33418,1.33513,8549,18.341307814992902,1.33554,1.34969,-0.030699192835858265,-1.0787662352095762,DOUBLE_BOTTOM_BULLISH,0.33255188633316607,0.11459558245264742,0.1265794342123965
2023-02-06,08:00:00,1.33975,1.3437,1.33961,1.34358,9074,84.39332431213344,1.32831,1.34257,1.1495810465930312,0.07522885212688764,DOUBLE_TOP_BEARISH,-0.047633933223177924,0.07219518004137568,-0.18011581000015545
2023-02-06,12:00:00,1.3436,1.3447,1.34123,1.34294,9857,81.79396092362356,1.33029,1.3437,0.9509204759864429,-0.0565602441020966,DOUBLE_TOP_BEARISH,0.11839694997542557,-0.042444189613829314,0.13477891789654542
2023-02-06,16:00:00,1.34294,1.34753,1.34244,1.34453,15552,85.40332906530102,1.33117,1.3447,1.0036283870580045,-0.012642225031605822,DOUBLE_TOP_BEARISH,0.0014875086461372362,-0.1822198091526454,-0.42170870118183035
2023-02-17,04:00:00,1.34795,1.34893,1.3477,1.34864,5208,82.07747977862918,1.3357,1.34825,0.9687804147637905,0.028926386056006864,DOUBLE_TOP_BEARISH,0.1297603511685786,-0.012605291256377051,-0.13865820382014757
2023-02-17,08:00:00,1.34864,1.3522,1.34837,1.35039,8338,82.67489711934137,1.3357,1.34893,1.0997978588006192,0.10823393356215792,DOUBLE_TOP_BEARISH,-0.04961529632179951,-0.21771488236731187,-0.28806492939076483
2023-03-07,20:00:00,1.37355,1.3761,1.37317,1.37528,9584,80.92252575011223,1.35817,1.37434,1.259783384995984,0.06839646666764869,DOUBLE_TOP_BEARISH,0.013815368506770434,0.04290035483682366,0.36283520446745754
2023-03-08,00:00:00,1.37437,1.37563,1.37437,1.37547,4824,87.83068783068813,1.35817,1.3761,1.2737727972197788,-0.04578155657293296,DOUBLE_TOP_BEARISH,0.05598086472259936,0.06688622798025634,0.41731190065941665
2023-03-08,04:00:00,1.37547,1.37733,1.3752,1.37624,6098,89.05007019185764,1.35967,1.3761,1.2186780615884718,0.01017367923841341,DOUBLE_TOP_BEARISH,-0.026884845666452183,0.23978375864675355,0.2630355170609907
2023-03-08,08:00:00,1.37625,1.37668,1.37519,1.37587,8396,87.03349282296651,1.35967,1.37733,1.1914655762059907,-0.10600219264809572,DOUBLE_TOP_BEARISH,0.03779426835384709,0.3197976553017496,0.34087522803753867
2023-03-08,12:00:00,1.37584,1.37703,1.37449,1.37639,9607,90.78117418728768,1.35995,1.37733,1.2088679730872467,-0.06824798704739903,DOUBLE_TOP_BEARISH,0.22885955288835186,0.35019144283234016,0.1206053516808459
2023-03-08,20:00:00,1.37953,1.38146,1.37899,1.38027,8594,91.51406878070567,1.35995,1.37959,1.4941725798742687,0.04929000645119303,DOUBLE_TOP_BEARISH,0.06810261760379786,0.021010382026697777,0.17822599926100738
2023-03-09,00:00:00,1.37956,1.38167,1.37956,1.38121,4708,95.28679413072452,1.36052,1.38146,1.5207420692088391,-0.018096796143200776,DOUBLE_TOP_BEARISH,-0.09774038705193,-0.22878490598823145,0.16145263935244852
2023-03-09,04:00:00,1.38121,1.38138,1.37945,1.37986,4642,89.71843003412965,1.36236,1.38167,1.284535658709891,-0.13100089022703448,DOUBLE_TOP_BEARISH,0.05072978418099828,-0.030437870508608626,0.30365399388343134
2023-03-09,08:00:00,1.37987,1.3807,1.37895,1.38056,7696,92.66524520255886,1.3645,1.38167,1.1769879076584802,-0.08033756251492356,DOUBLE_TOP_BEARISH,-0.1818102798864238,0.15718259257113093,0.21802746711479087
2023-03-09,20:00:00,1.37947,1.3837,1.37893,1.38273,11600,83.92246294184727,1.37449,1.38167,0.5994950854498778,0.07671875339263795,DOUBLE_TOP_BEARISH,0.05134769622413547,0.060749387082073274,-0.0021696209672151822
2023-03-28,20:00:00,1.36042,1.36183,1.35916,1.35972,7008,14.765100671141155,1.36035,1.37445,-0.04631161098246101,-1.071701407835855,DOUBLE_BOTTOM_BULLISH,-0.043391286441332805,0.06839643456004732,-0.29123643102991525
2023-03-29,00:00:00,1.35964,1.36014,1.35891,1.35913,3714,17.54827875734695,1.35916,1.37445,-0.0022072456517241894,-1.114627669249518,DOUBLE_BOTTOM_BULLISH,0.06916189032689594,-0.03237365079131473,-0.1633397835379904
2023-03-30,16:00:00,1.35407,1.35458,1.35239,1.35281,11591,14.901421366345673,1.35301,1.36166,-0.014781856749024618,-0.6499419825800878,DOUBLE_BOTTOM_BULLISH,-0.039916913683369054,-0.014784042104950285,-0.04435212631486727
2023-03-30,20:00:00,1.35282,1.35411,1.35157,1.35227,6236,16.250000000000043,1.35239,1.36166,-0.008873180073787736,-0.6895994594832785,DOUBLE_BOTTOM_BULLISH,-0.026621902430737792,0.2425551110355143,-0.0628572696281081
2023-04-12,20:00:00,1.34336,1.34463,1.34279,1.34412,11512,18.696711327649624,1.34323,1.35158,0.06625819852147864,-0.5519466106334825,DOUBLE_BOTTOM_BULLISH,-0.014879623843107608,-0.2685772103681138,-0.7603487783828747
2023-04-13,12:00:00,1.34053,1.34069,1.33867,1.33915,9120,18.617343844755055,1.33984,1.3489,-0.051498686410307006,-0.7228111794795705,DOUBLE_BOTTOM_BULLISH,-0.3509688981816935,-0.4331105552029292,-0.38083859164396106
2023-04-13,20:00:00,1.33446,1.33474,1.33333,1.3339,6530,9.588377723971377,1.3343,1.3489,-0.029978265757322636,-1.1120171991993404,DOUBLE_BOTTOM_BULLISH,-0.04123247619761979,-0.08396431516605515,0.14243946322812898
2023-04-14,00:00:00,1.33357,1.33434,1.33271,1.33335,3246,10.399159663865944,1.33333,1.3489,0.001500003750019202,-1.152791163169987,DOUBLE_BOTTOM_BULLISH,-0.08624892188847522,0.05249934375819724,0.2939963250459312
2023-04-14,04:00:00,1.33332,1.33344,1.33172,1.3322,5075,10.915104740904567,1.33271,1.3489,-0.03826789023868737,-1.2380458151086025,DOUBLE_BOTTOM_BULLISH,0.04353700645548903,0.4864134514337218,0.2634739528599236
2023-04-14,08:00:00,1.33223,1.3334,1.33169,1.33278,7475,13.890396093326615,1.33172,1.34786,0.07959631153696428,-1.118810558960128,DOUBLE_BOTTOM_BULLISH,0.09528954516123309,0.22659403652515964,0.2731133420369352
2023-04-20,12:00:00,1.34731,1.3489,1.34633,1.34702,8900,81.30204390613184,1.33829,1.34762,0.6523249818798711,-0.044522936732901995,DOUBLE_TOP_BEARISH,-0.06384463482354255,0.03414945583583799,0.43651913111905427
2023-04-20,20:00:00,1.34616,1.3483,1.34598,1.3477,6598,89.91803278688616,1.33846,1.3489,0.6903456210869144,-0.08896137593595448,DOUBLE_TOP_BEARISH,-0.016324107739102693,0.2975439637901661,0.46746308525637714
