trade_date,trade_time,open,high,low,close,volume,year,month,prev_month_high,prev_month_low,rsi,distance_to_prev_month_high_pct,distance_to_prev_month_low_pct,signal,forward_1,forward_3,forward_6
2005-03-08,16:00:00,435.3,438.8,434.8,438.0,241,2005,3,437.7,409.8,81.94444444444458,0.06854009595613693,6.8814055636896025,BEARISH,0.4109589041095916,0.4109589041095916,0.6164383561643809
2005-04-05,04:00:00,423.0,423.6,422.8,423.0,127,2005,4,446.6,423.1,17.56756756756765,-5.2843708016121855,-0.02363507445048989,BULLISH,-0.04728132387706587,0.30732860520094835,0.3546099290780142
2005-04-05,08:00:00,422.8,424.0,422.3,422.8,220,2005,4,446.6,423.1,18.30985915492967,-5.3291536050156765,-0.07090522335145624,BULLISH,0.4257332071901635,0.47303689687795647,0.5912961210974457
2005-06-16,16:00:00,433.1,435.8,432.3,434.8,415,2005,6,434.1,413.3,87.61061946902632,0.1612531674729299,5.2020324219695135,BEARISH,0.0689972401103982,0.22999080036798528,0.8049678012879485
2005-08-03,16:00:00,434.8,437.0,434.3,436.6,592,2005,8,436.2,417.8,80.89887640449446,0.09170105456213529,4.499760651029203,BEARISH,-0.06871278057718995,-0.1374255611543799,0.38937242327072574
2005-10-07,16:00:00,472.6,475.3,469.6,475.3,635,2005,10,475.0,434.3,82.69230769230774,0.06315789473684451,9.440478931614091,BEARISH,-0.21039343572480537,-0.21039343572480537,-0.10519671786240269
2005-10-10,04:00:00,474.1,474.5,473.1,474.3,40,2005,10,475.0,434.3,83.78378378378389,-0.14736842105262918,9.210223347916187,BEARISH,0.8222643896268136,0.10541851149061775,0.31625553447185323
2005-11-01,16:00:00,465.8,465.8,457.7,460.0,632,2005,11,480.0,459.5,16.82692307692288,-4.166666666666666,0.1088139281828074,BULLISH,-0.2826086956521764,0.23913043478261364,0.45652173913043975
2005-11-01,20:00:00,460.1,460.2,458.1,458.7,262,2005,11,480.0,459.5,16.6666666666665,-4.437500000000003,-0.1741022850924943,BULLISH,0.3270111183780248,0.4360148245040331,0.7412252016568638
2005-11-02,12:00:00,460.5,461.3,459.5,459.6,99,2005,11,480.0,459.5,19.072164948453576,-4.249999999999996,0.021762785636566428,BULLISH,0.5439512619669278,0.6527415143603132,0.97911227154047
2005-11-17,00:00:00,478.3,481.2,478.3,480.8,73,2005,11,480.0,459.5,89.02439024390267,0.16666666666666904,4.635473340587597,BEARISH,0.0623960066555764,0.2703826955074899,1.0815307820299478
2005-11-17,08:00:00,480.8,480.8,477.5,479.1,140,2005,11,480.0,459.5,86.1271676300579,-0.18749999999999525,4.265505984766055,BEARISH,0.6261740763932373,1.4610728449175536,1.815904821540386
2005-12-23,12:00:00,503.6,504.3,502.5,502.6,81,2005,12,502.2,454.8,80.6930693069308,0.07964954201514021,10.510114335971858,BEARISH,0.13927576601671082,0.7162753680859463,0.9948269001193792
2006-05-02,04:00:00,655.2,656.7,653.6,656.1,62,2006,5,655.5,572.2,82.48587570621461,0.09153318077803552,14.662705347780491,BEARISH,0.16765736930346328,1.2193263222069806,1.9966468526139343
2006-09-08,12:00:00,614.2,614.6,607.0,607.1,251,2006,9,655.5,607.0,7.552083333333286,-7.383676582761248,0.0164744645799049,BULLISH,0.5600395322022693,-0.5600395322022693,-2.207214626914837
2007-10-01,04:00:00,743.4,745.2,743.2,745.2,333,2007,10,745.4,671.0,87.11111111111083,-0.026831231553519155,11.058122205663196,BEARISH,-0.026838432635540182,0.18786902844873551,-0.8588298443371029
2007-10-01,08:00:00,745.3,746.2,743.6,745.0,755,2007,10,745.4,671.0,90.74074074074032,-0.05366246310705357,11.028315946348734,BEARISH,-0.37583892617449055,0.22818791946309336,-1.3154362416107321
2007-10-01,16:00:00,742.4,747.4,740.9,746.6,1747,2007,10,745.4,671.0,82.4817518248174,0.16098738932117596,11.266766020864386,BEARISH,0.013394053040453085,-1.0447361371551123,-2.4912938655237102
2007-10-01,20:00:00,746.5,747.4,745.9,746.7,378,2007,10,745.4,671.0,80.08298755186705,0.17440300509794315,11.281669150521616,BEARISH,-0.3080219633052187,-1.5401098165260478,-2.1025847060399148
2008-05-14,08:00:00,866.0,869.0,859.6,860.9,1098,2008,5,952.4,862.2,15.750000000000114,-9.607307853842924,-0.15077708188356162,BULLISH,0.9524915785805604,0.3368567777906815,0.5227087931234754
2008-06-30,08:00:00,926.7,934.5,926.5,934.0,990,2008,6,934.9,844.9,87.63693270735527,-0.09626698042571155,10.545626701384782,BEARISH,-0.7922912205567426,-0.952890792291218,-0.8244111349036451
2009-03-18,16:00:00,905.9,907.1,883.0,888.2,9094,2009,3,1005.9,888.9,7.051282051282186,-11.700964310567645,-0.07874901563729686,BULLISH,5.978383247016427,4.503490204908804,7.520828642197698
2009-06-01,12:00:00,986.75,988.37,979.31,980.58,6429,2009,6,980.02,880.03,82.6037521318932,0.05714169098590428,11.425746849539228,BEARISH,-0.2998225539986594,-0.45585265863060914,0.14787166778844477
2009-08-03,12:00:00,954.41,960.74,953.33,959.04,7759,2009,8,958.68,904.78,90.88170865279315,0.0375516334960585,5.997037953977761,BEARISH,0.07403236569903617,-0.26901901901901143,-0.21896896896895948
