trade_date,trade_time,open,high,low,close,volume,ema50,ema200,prev_ema50,prev_ema200,signal,forward_1,forward_3,forward_6
1993-05-13,00:00:00,1.5328,1.536,1.518,1.5225,2571,1.5333568627450982,1.5336875621890549,1.5338,1.5338,BEARISH_CROSS,1.0640394088669947,0.9195402298850583,1.3136288998357974
1993-05-19,00:00:00,1.535,1.5482,1.5328,1.5432,2261,1.534124714507345,1.5338759973798752,1.5337542946913183,1.5337822888108288,BULLISH_CROSS,0.861845515811307,-0.43416277864177866,1.218247796785909
1993-06-16,00:00:00,1.5155,1.52,1.498,1.5062,3471,1.5337160216022279,1.5341996868005254,1.534839124524768,1.534481090687968,BEARISH_CROSS,0.5178595140087657,-1.1751427433275827,-2.4697915283494822
1994-05-27,00:00:00,1.5097,1.5115,1.5047,1.5108,1251,1.4971664423074689,1.4970520640946912,1.4966099705649165,1.4969138938845874,BULLISH_CROSS,-0.0661900979613377,0.377283558379669,-0.20518930368016156
1995-08-23,00:00:00,1.5323,1.545,1.53,1.5441,1821,1.581986948712176,1.582512396468664,1.5835333547820607,1.5828984507045298,BEARISH_CROSS,0.07123890939705194,0.3820996049478671,0.3691470759665849
1996-07-22,00:00:00,1.5405,1.553,1.5394,1.5515,1621,1.5422265094462912,1.5419662304808233,1.5418479996277725,1.5418704137017358,BULLISH_CROSS,0.10312600708990162,0.43184015468900594,0.38027715114404087
1997-09-03,00:00:00,1.5904,1.5999,1.582,1.5864,3181,1.6242820001584823,1.6253474913984796,1.6258282042465835,1.625738923472836,BEARISH_CROSS,-0.1449823499747837,-0.315179021684324,0.8257690368129027
1997-10-28,00:00:00,1.664,1.6882,1.6612,1.6617,5171,1.6232383539740238,1.6229269524340264,1.6216684908709227,1.6225372735640167,BULLISH_CROSS,0.48143467533249124,0.7883492808569604,1.2035866883312283
1998-06-08,00:00:00,1.634,1.6397,1.6273,1.6338,14230,1.6463242753335212,1.6464618303819283,1.6468354702450936,1.646589084958631,BEARISH_CROSS,0.19586240665932741,-0.3733627126943319,1.08948463704248
1998-06-19,00:00:00,1.6714,1.6793,1.6671,1.6748,12137,1.6472048523049911,1.6465896213561906,1.6460785197460113,1.6463060999627854,BULLISH_CROSS,0.011941724384999878,-0.3881060425125491,-0.4657272510150483
1998-07-31,00:00:00,1.6348,1.6399,1.6295,1.6327,7189,1.646827613418062,1.6470613054911605,1.6474042507004318,1.6472056402197148,BEARISH_CROSS,-0.3858639064126889,0.07962271084705438,0.15312059778281048
1998-09-04,00:00:00,1.676,1.678,1.6646,1.6705,7418,1.646602498404491,1.6461269262053815,1.6456270901761028,1.6458819706898575,BULLISH_CROSS,-0.23944926668662098,-0.08979347500748619,0.5686920083807149
1999-01-08,04:00:00,1.6509,1.6523,1.6492,1.6495,442,1.6599730197419176,1.6600679646760605,1.6604004899354652,1.6601741753763224,BEARISH_CROSS,-0.5274325553197896,-0.5334949984843843,-0.6365565322825071
1999-03-23,16:00:00,1.6254,1.6382,1.6236,1.6372,1708,1.6264841036254905,1.6264569423071065,1.6260467201000002,1.626348971878032,BULLISH_CROSS,-0.006107989249938248,0.0,0.21377962374786577
