trade_date,trade_time,open,high,low,close,volume,rsi,signal,forward_1,forward_3,forward_6
1971-02-02,00:00:00,357.55,357.55,357.55,357.55,1,16.030534351141185,OVERSOLD,-0.002796811634733857,-0.0055936232694836115,-0.013984058173685181
1971-02-03,00:00:00,357.54,357.54,357.54,357.54,1,16.406249999996504,OVERSOLD,-0.008390669575440386,-0.013984449292390046,-0.011187559433915214
1971-02-04,00:00:00,357.51,357.51,357.51,357.51,1,16.030534351141185,OVERSOLD,0.005594249111907866,-0.002797124555953933,0.005594249111907866
1971-02-05,00:00:00,357.53,357.53,357.53,357.53,1,18.852459016387826,OVERSOLD,-0.011187872346366354,-0.008390904259774765,0.0
1971-02-08,00:00:00,357.49,357.49,357.49,357.49,1,14.166666666660674,OVERSOLD,0.0027972810428238282,0.0027972810428238282,0.011189124171295313
1971-02-09,00:00:00,357.5,357.5,357.5,357.5,1,11.206896551720249,OVERSOLD,0.0,0.008391608391600759,0.016783216783217418
1971-02-10,00:00:00,357.5,357.5,357.5,357.5,1,12.62135922329675,OVERSOLD,0.0,0.008391608391600759,0.02797202797203433
1971-02-11,00:00:00,357.5,357.5,357.5,357.5,1,19.696969696964743,OVERSOLD,0.008391608391600759,0.008391608391600759,0.013986013986017166
1971-02-19,00:00:00,357.56,357.56,357.56,357.56,1,19.99999999999747,OVERSOLD,0.011186933661489111,0.011186933661489111,0.01957713390759402
1971-05-06,00:00:00,357.41,357.41,357.41,357.41,1,19.047619047642243,OVERSOLD,0.0,0.008393721496313117,0.02238325732351755
1971-05-10,00:00:00,357.14,357.14,357.14,357.14,1,9.302325581409491,OVERSOLD,0.08400067200537924,0.09800078400627843,0.08400067200537924
1971-08-31,00:00:00,339.85,339.85,339.85,339.85,1,0.7865168539321985,OVERSOLD,0.34132705605413216,0.08533176401352467,-0.2295130204502073
1971-09-01,00:00:00,341.01,341.01,341.01,341.01,1,6.708927628103197,OVERSOLD,-0.5952904606902943,-0.35776076947889224,-0.6451423711914573
1971-09-02,00:00:00,338.98,338.98,338.98,338.98,1,6.059160305343212,OVERSOLD,0.34220307982770903,0.12095108855978765,0.0
1971-09-03,00:00:00,340.14,340.14,340.14,340.14,1,10.990502035277771,OVERSOLD,-0.10289880637383605,-0.3145763509143274,-0.5585935203151576
