trade_date,trade_time,open,high,low,close,volume,ema50,ema200,prev_ema50,prev_ema200,signal,forward_1,forward_3,forward_6
1993-04-28,00:00:00,0.7144,0.7185,0.7103,0.7135,1551,0.7149411764705882,0.7149850746268657,0.715,0.715,BEARISH_CROSS,-0.4484933426769419,-0.798878766643313,-1.205325858444296
1994-01-25,00:00:00,0.7036,0.7105,0.7036,0.7085,891,0.6809369254092993,0.6802339955502713,0.6798119019566177,0.6799499151035404,BULLISH_CROSS,-0.0846859562455956,0.12702893436838558,0.8609738884968234
1995-04-04,00:00:00,0.733,0.7355,0.7312,0.735,661,0.7407085699401208,0.7407668940299887,0.7409415727948196,0.7408248527639585,BEARISH_CROSS,0.8163265306122457,1.0612244897959224,1.1292517006802685
1995-04-12,00:00:00,0.7417,0.745,0.74,0.7433,841,0.7408173854768614,0.7407909171240536,0.7407160542718353,0.7407657002107275,BULLISH_CROSS,-0.37669850665947985,0.013453518094980356,-0.8879321942687932
1995-04-19,00:00:00,0.7425,0.7431,0.732,0.7335,1321,0.7406943665503063,0.7407628473480329,0.7409880141646045,0.7408358407887166,BEARISH_CROSS,0.4362644853442373,-0.7498295841854206,-0.6134969325153455
1995-08-25,00:00:00,0.7433,0.7448,0.7415,0.744,591,0.7340109736277661,0.7339430333639957,0.7336032582656341,0.7338419583224277,BULLISH_CROSS,0.06720430107527633,1.4112903225806388,0.7258064516128979
1997-02-03,00:00:00,0.7626,0.7701,0.7613,0.7659,1431,0.7841404246784622,0.7845007409256175,0.7848849318081954,0.7846876830454729,BEARISH_CROSS,-0.24807416111764105,-0.15667841754798,-1.0184097140618917
1997-03-31,00:00:00,0.7833,0.7864,0.7822,0.7855,621,0.7830087043186187,0.7830021542721893,0.7829070187806031,0.7829770502950254,BULLISH_CROSS,0.08911521323997885,-0.9293443666454454,-0.5601527689369776
1997-04-03,00:00:00,0.7837,0.7842,0.7764,0.7782,1011,0.7829805388152459,0.7829973611996527,0.7831756628485211,0.7830455758850763,BEARISH_CROSS,-0.28270367514777434,0.3726548445129804,0.8481110254433372
1999-01-12,08:00:00,0.6385,0.6397,0.6357,0.6374,555,0.6301322033996897,0.6299761288862219,0.6298355586404933,0.6299015171162341,BULLISH_CROSS,-0.10982114841542562,0.03137747097583589,-0.17257609036711483
1999-01-28,16:00:00,0.6244,0.6268,0.6237,0.6259,768,0.6316705506286162,0.6317322192352228,0.6319060833073352,0.6317908345039186,BEARISH_CROSS,0.33551685572775053,0.3994248282473153,0.5911487458060452
1999-02-02,04:00:00,0.6355,0.6375,0.6355,0.6372,183,0.6318914005873212,0.6317381490848616,0.6316747230602731,0.6316832561108401,BULLISH_CROSS,0.2040175768989278,0.5178907721280556,0.3766478342749463
1999-02-25,12:00:00,0.6287,0.63,0.6277,0.6279,481,0.6372281770453613,0.6375014596178061,0.63760891896558,0.6375979566993921,BEARISH_CROSS,-0.11148272017837775,-0.7963051441312317,-1.528905876731972
1999-03-24,04:00:00,0.6392,0.6395,0.638,0.6385,90,0.6325495351853239,0.6325361491655822,0.632306659070439,0.6324762109662413,BULLISH_CROSS,-0.04698512137822505,0.14095536413469253,-0.31323414252153514
1999-03-31,04:00:00,0.628,0.6292,0.6268,0.6288,147,0.6327930644613263,0.6328697402588715,0.6329560466842377,0.632910642171021,BEARISH_CROSS,0.09541984732823376,0.8428753180661531,0.89058524173027
1999-04-01,12:00:00,0.6337,0.6375,0.6336,0.6364,518,0.6329202644413877,0.6328890662446275,0.6327782344185873,0.6328537804782418,BULLISH_CROSS,-0.15713387806411078,-0.4399748585794962,-0.4399748585794962
1999-04-06,12:00:00,0.6287,0.6291,0.6279,0.6286,372,0.6328247395220731,0.6329119373129822,0.6329971778699128,0.632955273366379,BEARISH_CROSS,0.17499204581609765,0.12726694241169453,-0.143175310213174
1999-04-14,08:00:00,0.6366,0.6395,0.6362,0.6389,665,0.6326576542464407,0.632484943309397,0.6324028646238464,0.6324204703778331,BULLISH_CROSS,0.10956331194238893,-0.6886836750665316,-0.8138988887149762
