trade_date,trade_time,open,high,low,close,volume,rsi,inside_bar,signal,forward_1,forward_3,forward_6
2023-04-27,01:00:00,4065.83,4065.83,4061.09,4064.59,1591,16.526665364329332,True,BULLISH_INSIDE_BAR,0.15352101934019868,0.5166572766256867,1.6877471036438965
2023-05-01,01:00:00,4168.91,4173.03,4163.03,4168.03,1572,83.30576409212298,True,BEARISH_INSIDE_BAR,0.1439528986115743,0.05710131644926042,-0.13051729474115112
2023-06-05,05:00:00,4277.49,4281.23,4275.23,4278.99,1461,83.10382814651611,True,BEARISH_INSIDE_BAR,0.05234880193690058,0.2009820074363428,-0.12058920446179718
2023-06-13,21:00:00,4370.03,4372.53,4355.03,4371.53,2667,85.97165505644858,True,BEARISH_INSIDE_BAR,-0.05124064114851738,0.06313578998657719,0.08463855903996582
2023-06-14,01:00:00,4369.03,4371.79,4365.53,4369.29,1475,87.2288569339504,True,BEARISH_INSIDE_BAR,-0.005950623556692696,0.16020909575697653,-0.08147776869927151
2023-06-14,05:00:00,4369.53,4370.79,4366.29,4369.03,1272,92.5763062596992,True,BEARISH_INSIDE_BAR,0.12039285608018756,0.09338457277702207,0.03891023865708906
2023-06-20,21:00:00,4390.83,4397.33,4384.33,4387.33,2167,17.67569212047539,True,BULLISH_INSIDE_BAR,0.13128713819111437,0.06837871780786949,-0.49460605881025177
2023-07-03,01:00:00,4450.39,4453.13,4446.39,4448.63,1402,83.09130362209972,True,BEARISH_INSIDE_BAR,0.01123941528065944,0.012588145114327123,0.12588145114337343
2023-07-03,05:00:00,4448.89,4451.39,4447.89,4449.13,1162,80.89760512917204,True,BEARISH_INSIDE_BAR,0.039558295666798186,0.12092251743599555,0.08675853481466428
2023-07-04,01:00:00,4452.23,4454.49,4448.99,4454.23,1117,88.425047438329,True,BEARISH_INSIDE_BAR,0.0,0.0,-0.06735170837608297
2023-07-04,17:00:00,4453.99,4454.49,4451.49,4453.49,804,83.02554027504816,True,BEARISH_INSIDE_BAR,0.03368144982923505,-0.42124266586430464,-0.17514353911202635
2023-07-12,21:00:00,4476.99,4480.99,4465.23,4475.99,2052,89.64982269503527,True,BEARISH_INSIDE_BAR,0.06702427842778916,0.2122435483546657,0.6706896128007533
2023-07-13,01:00:00,4476.36,4480.73,4476.36,4478.99,1331,90.50701186623496,True,BEARISH_INSIDE_BAR,0.06697938597764228,0.39071308486958,0.5813810702859342
2023-07-14,01:00:00,4506.29,4509.79,4501.53,4505.03,1409,90.27446300715938,True,BEARISH_INSIDE_BAR,0.0945609685174176,0.3413961727224926,-0.1598213552406936
2023-08-01,05:00:00,4596.13,4596.13,4590.63,4591.39,1235,84.5874125874113,True,BEARISH_INSIDE_BAR,-0.2996913788634862,-0.32234247145200434,-0.7579404058465994
2023-09-06,21:00:00,4455.69,4467.19,4454.93,4463.93,2093,17.215302491103543,True,BULLISH_INSIDE_BAR,-0.022401784974226745,-0.2128169572551541,-0.2419392777216529
2023-09-07,01:00:00,4464.43,4465.93,4461.19,4462.93,1311,17.558983666062076,True,BULLISH_INSIDE_BAR,-0.1622252645683596,-0.600502360556858,-0.2585745239114206
2023-09-22,01:00:00,4328.33,4333.09,4323.96,4331.83,1521,19.756596906278403,True,BULLISH_INSIDE_BAR,0.1731369882936311,0.18606455008623146,-0.13550854950447944
2023-09-25,01:00:00,4325.21,4329.59,4319.33,4325.96,1378,14.189689547137547,True,BULLISH_INSIDE_BAR,0.07235388214408152,-0.10702826655817688,-0.1241342962024589
2023-10-23,01:00:00,4227.66,4236.79,4227.66,4234.79,1660,17.87639463457458,True,BULLISH_INSIDE_BAR,-0.02975354149793067,-0.4132436319156322,-0.3400404742619973
2023-10-26,21:00:00,4146.79,4169.79,4129.16,4139.51,4548,12.073726356481998,True,BULLISH_INSIDE_BAR,0.44401390502740923,0.43193518073395426,-0.5102053141555375
2023-11-03,01:00:00,4310.29,4315.23,4309.16,4314.73,1103,89.72966144517417,True,BEARISH_INSIDE_BAR,0.02920229075748004,0.9849979025338783,1.0443295408982811
2023-11-06,05:00:00,4360.03,4363.66,4359.03,4363.16,725,90.74939140732921,True,BEARISH_INSIDE_BAR,0.07173699795561266,-0.21704452736090943,-0.17120619000908183
2023-11-06,21:00:00,4353.93,4367.93,4347.43,4363.81,1950,80.71451153967729,True,BEARISH_INSIDE_BAR,-0.12878654203553316,-0.151702296846123,0.3762766939898658
2023-11-15,01:00:00,4502.59,4506.33,4498.09,4506.33,1043,83.6056931997891,True,BEARISH_INSIDE_BAR,0.04438201374510965,-0.005325841649408315,-0.28448870810614646
2023-11-15,21:00:00,4510.13,4513.89,4496.63,4498.63,2056,86.63055872291895,True,BEARISH_INSIDE_BAR,-0.11381242733898744,0.0724665064697523,0.350328877902833
2023-11-16,05:00:00,4493.51,4503.01,4493.13,4502.63,1098,82.71041789287817,True,BEARISH_INSIDE_BAR,-0.016434839193977337,-0.15812980413669103,0.2220924215402998
2023-12-12,05:00:00,4624.63,4626.39,4622.39,4624.39,491,84.4757433489828,True,BEARISH_INSIDE_BAR,-0.01643460002292666,0.20413503186365334,0.5168249217734584
2023-12-14,05:00:00,4725.29,4727.53,4721.03,4725.53,837,90.48284427883857,True,BEARISH_INSIDE_BAR,-0.09522741364460706,-0.4951825509519491,-0.002962630646708791
2024-01-22,05:00:00,4852.33,4853.59,4849.09,4850.59,795,94.9524564183836,True,BEARISH_INSIDE_BAR,0.06184814630797491,0.07215617069263738,0.05442636875100592
2024-01-22,21:00:00,4854.33,4857.59,4846.09,4851.03,1886,84.12597310686463,True,BEARISH_INSIDE_BAR,0.009482522268467446,-0.011131656576025373,0.4164064126587512
2024-01-23,01:00:00,4849.53,4854.99,4849.23,4851.49,1222,83.98085987716024,True,BEARISH_INSIDE_BAR,0.035865270257174224,0.0824488971429396,0.48727298211477976
2024-01-23,05:00:00,4851.73,4853.61,4850.23,4853.23,1036,80.74678111587957,True,BEARISH_INSIDE_BAR,-0.0564572459990518,0.03626450837896037,0.5336652085312369
2024-02-08,05:00:00,4993.03,4995.53,4992.29,4995.03,419,82.79645191409911,True,BEARISH_INSIDE_BAR,-0.09489432495900489,0.0012011939868309136,0.021221093767212616
2024-02-09,17:00:00,5010.33,5023.33,5005.09,5021.09,2938,90.51903114186915,True,BEARISH_INSIDE_BAR,0.06452782164828318,0.05576478414049901,0.26886592353453137
2024-02-12,01:00:00,5022.13,5027.13,5021.39,5025.39,506,82.24622030237694,True,BEARISH_INSIDE_BAR,-0.029848429674114843,0.049747382790191405,-0.16516131086343908
2024-02-16,01:00:00,5034.29,5034.53,5024.29,5030.03,749,86.26001780943876,True,BEARISH_INSIDE_BAR,0.029820895700423258,-0.44731343550634894,-0.46600119681193947
2024-02-16,05:00:00,5030.53,5031.53,5028.03,5031.53,451,85.41587901701298,True,BEARISH_INSIDE_BAR,0.20868403845351216,0.05286662307488686,-0.4213430109728019
2024-02-23,01:00:00,5084.59,5090.59,5080.59,5088.83,1773,87.39297679612827,True,BEARISH_INSIDE_BAR,0.02476011185282704,0.35882511304170545,-0.16899758883673388
2024-02-23,21:00:00,5095.13,5097.13,5084.39,5084.39,5404,83.67346938775503,True,BEARISH_INSIDE_BAR,-0.08181905794010223,0.06569126286534345,-0.3611052653317425
2024-03-06,01:00:00,5081.71,5083.33,5076.83,5081.33,1148,18.670438472419477,True,BULLISH_INSIDE_BAR,0.046838130961777906,0.4821572304888681,0.14130158836368215
2024-03-22,01:00:00,5247.09,5250.09,5242.83,5242.83,940,80.59880239520942,True,BEARISH_INSIDE_BAR,0.043106490197092374,-0.11444200937280058,-0.17166301405920084
2024-04-17,21:00:00,5039.59,5056.09,5015.33,5020.59,4535,15.33124227735017,True,BULLISH_INSIDE_BAR,0.22507314877335494,0.25973043008889324,-0.22626822743941613
