trade_date,trade_time,open,high,low,close,volume,rsi,inside_bar,signal,forward_1,forward_3,forward_6
2010-01-21,04:00:00,1.0455,1.046,1.0433,1.0436,7916,86.53846153846206,True,BEARISH_INSIDE_BAR,0.46952855500190727,-0.2491376006132769,-0.21080873898045033
2010-02-05,08:00:00,1.0729,1.0762,1.0708,1.0731,14307,81.61764705882318,True,BEARISH_INSIDE_BAR,0.11182555213867208,-0.07455036809243425,-0.1491007361848892
2010-03-12,12:00:00,1.0596,1.0621,1.0587,1.0603,8523,18.823529411763943,True,BULLISH_INSIDE_BAR,-0.1414693954541221,-0.04715646515136706,0.056587758181640475
2010-03-25,20:00:00,1.0733,1.0747,1.0719,1.0741,4296,82.88973384030382,True,BEARISH_INSIDE_BAR,-0.297923843217586,-0.4655060050274756,-0.8472209291499961
2010-05-05,16:00:00,1.115,1.1153,1.1105,1.1139,12474,91.1917098445594,True,BEARISH_INSIDE_BAR,0.32318879612173873,0.2962563964449305,-0.2962563964449106
2010-05-06,00:00:00,1.1175,1.1187,1.1153,1.1167,4989,89.34010152284266,True,BEARISH_INSIDE_BAR,0.044774782842298286,-1.3253335721321682,-0.31342347989612773
2010-05-17,08:00:00,1.1415,1.1425,1.1362,1.1386,14419,83.37182448036943,True,BEARISH_INSIDE_BAR,-0.47426664324609796,-0.6762691024064676,-0.8255752678728329
2010-06-10,16:00:00,1.1415,1.1461,1.1402,1.1426,9515,19.011406844106745,True,BULLISH_INSIDE_BAR,0.052511815158404855,0.11377559950987719,0.971468580430587
2010-06-17,20:00:00,1.1111,1.1134,1.1107,1.1119,5271,19.740259740259887,True,BULLISH_INSIDE_BAR,-0.04496807266842044,-0.19785951974100202,-0.31477650867884327
2010-06-28,04:00:00,1.0916,1.093,1.0908,1.0916,4759,16.666666666666842,True,BULLISH_INSIDE_BAR,-0.5038475632099523,-0.3572737266397962,-0.6504213997801287
2010-08-16,04:00:00,1.051,1.0521,1.049,1.0498,4435,15.131578947369348,True,BULLISH_INSIDE_BAR,-0.9144598971232666,-0.9906648885501965,-0.857306153553069
2010-08-16,16:00:00,1.039,1.0396,1.0366,1.0394,5425,12.556053811660433,True,BULLISH_INSIDE_BAR,0.0,0.13469309216854394,0.2693861843371092
2010-09-14,20:00:00,0.9953,0.9961,0.9945,0.9957,3204,6.7092651757197785,True,BULLISH_INSIDE_BAR,0.29125238525660474,0.6528070704027268,0.7130661845937415
2010-09-23,16:00:00,0.9851,0.9868,0.9832,0.9848,6948,16.153846153845848,True,BULLISH_INSIDE_BAR,0.06092607636068694,-0.020308692120225222,0.1320064987814752
2010-09-23,20:00:00,0.9847,0.986,0.9846,0.9854,3670,16.79389312977098,True,BULLISH_INSIDE_BAR,0.02029632636492571,-0.4160746904810334,-0.26385224274406804
2010-10-06,20:00:00,0.9611,0.9618,0.9602,0.9616,4151,18.08510638297895,True,BULLISH_INSIDE_BAR,0.07279534109817325,-0.32237936772046505,0.48876871880200057
2010-11-04,00:00:00,0.9717,0.9736,0.9706,0.9735,11217,17.708333333333584,True,BULLISH_INSIDE_BAR,-0.2773497688751963,-1.2326656394453015,-1.4791987673343685
2010-11-04,04:00:00,0.9735,0.9735,0.9708,0.9708,9101,16.293929712460283,True,BULLISH_INSIDE_BAR,-0.18541409147095425,-1.2875978574371607,-1.390605686032134
2010-11-04,20:00:00,0.9582,0.9596,0.9579,0.9582,8844,16.88741721854332,True,BULLISH_INSIDE_BAR,0.09392611145897524,-0.07305364224588122,0.28177833437694894
2010-11-11,20:00:00,0.977,0.9771,0.9744,0.9752,9302,81.52610441767051,True,BEARISH_INSIDE_BAR,0.10254306808859731,-0.08203445447086874,0.5639868744872909
2010-11-16,20:00:00,0.9945,0.9969,0.9945,0.9963,11312,83.43373493975847,True,BEARISH_INSIDE_BAR,0.05018568704206123,-0.24089129780186266,-0.4817825956037253
2010-11-26,20:00:00,1.0019,1.0034,1.0019,1.0032,4335,91.91176470588314,True,BEARISH_INSIDE_BAR,-0.32894736842106065,-0.20933014354066892,-0.22926634768741933
2010-12-06,00:00:00,0.9753,0.9775,0.9746,0.9767,11261,17.079207920792257,True,BULLISH_INSIDE_BAR,-0.09214702569878283,0.9214702569878169,0.39930377802805517
2010-12-06,04:00:00,0.9767,0.9774,0.9755,0.9758,8732,16.91176470588259,True,BULLISH_INSIDE_BAR,0.7788481246157052,0.5533920885427301,0.5943840951014581
2010-12-31,08:00:00,0.9339,0.9385,0.9338,0.9355,14816,16.734693877551308,True,BULLISH_INSIDE_BAR,-0.33137359700694724,0.06413682522715607,0.14965259219668164
2011-01-25,04:00:00,0.9478,0.9489,0.9472,0.9484,13327,11.475409836065694,True,BULLISH_INSIDE_BAR,-0.07380851961198165,-0.6642766765077998,-0.6431885280472368
2011-01-26,00:00:00,0.9423,0.9428,0.9412,0.9421,9032,13.30275229357808,True,BULLISH_INSIDE_BAR,0.021229168878036084,0.1486041821462644,0.053072922195090216
2011-01-26,12:00:00,0.9447,0.9454,0.9425,0.9435,18494,16.31799163179889,True,BULLISH_INSIDE_BAR,0.14838367779543793,-0.09538950715421429,0.07419183889772485
2011-02-23,20:00:00,0.9336,0.9342,0.9327,0.933,8199,19.008264462810402,True,BULLISH_INSIDE_BAR,-0.4608788853161931,-0.675241157556279,-0.8360128617363375
2011-02-24,20:00:00,0.9241,0.9269,0.9236,0.9252,11102,18.22033898305105,True,BULLISH_INSIDE_BAR,-0.05404236921747253,0.399913532209244,0.31344574146130716
2011-02-25,00:00:00,0.9254,0.9257,0.9242,0.9247,9172,19.724770642202074,True,BULLISH_INSIDE_BAR,0.010814318157238994,0.7245593165350968,0.25954363577377193
2011-03-15,20:00:00,0.9169,0.9177,0.9157,0.9168,9454,9.259259259258371,True,BULLISH_INSIDE_BAR,0.11998254799303022,0.010907504363012653,-1.7888307155322831
2011-03-17,00:00:00,0.9002,0.9057,0.8991,0.9004,16292,6.642066420664264,True,BULLISH_INSIDE_BAR,-0.233229675699688,-0.14438027543313725,0.6108396268325257
2011-03-17,12:00:00,0.9001,0.9037,0.8987,0.8991,19303,9.508196721311819,True,BULLISH_INSIDE_BAR,0.1223445667890101,0.7563118674229816,0.6562117673228802
2011-03-17,16:00:00,0.899,0.9021,0.899,0.9002,17550,13.201320132013478,True,BULLISH_INSIDE_BAR,-0.21106420795378947,0.5221061986225325,0.1666296378582477
2011-04-11,00:00:00,0.9081,0.9098,0.9072,0.9073,7541,14.569536423840404,True,BULLISH_INSIDE_BAR,0.06613027664499559,0.07715198941915948,-0.04408685109665557
2011-04-11,20:00:00,0.9052,0.907,0.9052,0.9065,638,18.644067796610074,True,BULLISH_INSIDE_BAR,0.04412575841148009,-0.5515719801434092,-1.0921125206839515
2011-04-12,20:00:00,0.8962,0.8972,0.8961,0.8966,771,17.857142857142804,True,BULLISH_INSIDE_BAR,0.13383894713362593,0.20410439437876401,-0.06357349988846302
2011-04-13,20:00:00,0.896,0.89721,0.89561,0.89603,6726,19.32342388518721,True,BULLISH_INSIDE_BAR,-0.01227637467494877,-0.16517304108121791,-0.4140486367643931
2011-05-26,16:00:00,0.86731,0.86887,0.86509,0.86615,14073,13.19409067753385,True,BULLISH_INSIDE_BAR,-0.13738959764475256,-0.9674998556831892,-1.4477861802228247
