trade_date,trade_time,open,high,low,close,volume,ema50,sma50,prev_ema50,prev_sma50,signal,forward_1,forward_3,forward_6
2010-01-06,20:00:00,1.0282,1.0282,1.0248,1.028,6358,1.0346251532970185,1.034526,1.0348955677173048,1.0349380000000001,BULLISH_CROSS,0.009727626459142897,0.4377431906614736,0.6614785992217818
2010-01-11,04:00:00,1.0153,1.0176,1.0132,1.0175,7689,1.0319600357623901,1.0321420000000001,1.0325502413037122,1.032476,BEARISH_CROSS,-0.13759213759214425,-0.22604422604422295,-0.01965601965601749
2010-01-18,00:00:00,1.0279,1.0287,1.0262,1.0282,6772,1.0240974588972134,1.023912,1.0239300082399567,1.02404,BULLISH_CROSS,-0.18478895156584446,-0.31122349737406063,-0.37930363742462697
2010-01-29,04:00:00,1.0521,1.0537,1.0505,1.0517,7988,1.0427315142632345,1.042738,1.0423654536209175,1.042196,BEARISH_CROSS,-0.10459256441952085,0.789198440619946,0.8367405153560823
2010-02-01,12:00:00,1.059,1.0594,1.0566,1.0572,10807,1.0469399808029864,1.046936,1.0465212045092307,1.046548,BULLISH_CROSS,0.047294740824836076,0.06621263715476211,-0.15134317063940822
2010-02-10,00:00:00,1.0641,1.0671,1.0638,1.066,6714,1.0626793552881733,1.062802,1.0625438187693232,1.062506,BEARISH_CROSS,-0.00938086303939859,0.10318949343338452,-0.20637898686678985
2010-02-19,00:00:00,1.0862,1.0888,1.0847,1.0867,10679,1.0727565028043402,1.07264,1.0721873804698234,1.072332,BULLISH_CROSS,0.13803257568786756,-0.17484126253796015,-1.1318671206404691
2010-02-22,12:00:00,1.0762,1.0778,1.0744,1.0759,10740,1.0746264354349908,1.07469,1.0745744532078476,1.07449,BEARISH_CROSS,0.12082907333393965,-0.1022399851287388,0.4647272051305784
2010-03-10,04:00:00,1.0752,1.0763,1.0745,1.0762,3160,1.075089655039714,1.075034,1.0750443348372534,1.07512,BULLISH_CROSS,0.04645976584277503,-0.4924735179334772,-0.44601375209070215
2010-03-11,00:00:00,1.0699,1.072,1.0699,1.0708,3336,1.0745797111361783,1.074642,1.074733985060104,1.074696,BEARISH_CROSS,0.05603287261859674,0.12140455734031368,-0.19611505416510933
2010-03-22,08:00:00,1.0627,1.0634,1.0578,1.0619,8641,1.0616927545714772,1.061526,1.0616842955743946,1.0617919999999998,BULLISH_CROSS,-0.23542706469537328,-0.36726622092475886,-0.16950748658065953
2010-03-31,16:00:00,1.0565,1.0565,1.0488,1.0514,9609,1.0638787075378617,1.0641539999999998,1.064388042539407,1.0642559999999999,BEARISH_CROSS,0.22826707247481262,0.20924481643524845,0.3709339927715441
2010-04-07,00:00:00,1.069,1.0706,1.068,1.0697,3746,1.0627596308608542,1.062572,1.0624763504878278,1.062644,BULLISH_CROSS,0.16827147798446307,0.1963167243152277,0.5796017575021017
2010-04-13,12:00:00,1.0586,1.0587,1.0542,1.0582,7834,1.064461264868759,1.064464,1.0647168267001368,1.064372,BEARISH_CROSS,-0.3402003402003447,-0.5953505953505928,-0.4536004536004666
