trade_date,trade_time,open,high,low,close,volume,recent_low,recent_high,distance_to_recent_low_pct,distance_to_recent_high_pct,signal,forward_1,forward_3,forward_6
2023-03-22,01:00:00,4003.33,4006.59,4000.33,4006.09,1949,3864.91,4010.33,3.6528664315598625,-0.1057269601254705,DOUBLE_TOP_BEARISH,-0.03744299304309189,-0.11881909792341705,-1.443552191788001
2023-03-22,05:00:00,4005.96,4007.33,4001.83,4004.59,1605,3905.03,4010.33,2.5495322699185397,-0.14313036583023794,DOUBLE_TOP_BEARISH,-0.13734239959646305,-0.10188308915519259,-1.1162191385385338
2023-03-24,09:00:00,3952.09,3966.59,3917.33,3918.59,4504,3917.09,4040.13,0.03829373335818171,-3.0083190392388355,DOUBLE_BOTTOM_BULLISH,0.2807132157230024,1.5653589684044438,1.786356827328197
2023-03-27,13:00:00,3988.83,4004.09,3988.83,3995.59,3979,3906.09,3997.33,2.291293851396153,-0.043529055644637334,DOUBLE_TOP_BEARISH,-0.3143465670902156,-0.3854249309864148,-0.654721830818485
2023-03-29,05:00:00,3986.29,3999.29,3985.03,3999.29,1338,3950.79,4004.09,1.2276025807496729,-0.11987742533260196,DOUBLE_TOP_BEARISH,0.2500443828779608,0.27354855486849056,0.9236639503511886
2023-03-29,13:00:00,4009.16,4016.29,4001.53,4014.29,2273,3950.79,4010.03,1.6072734820124586,0.10623361919985047,DOUBLE_TOP_BEARISH,-0.10113868205834521,0.27252639943800905,1.0263334238433153
2023-03-30,01:00:00,4026.49,4028.99,4021.99,4025.23,1535,3950.79,4030.99,1.8841801260001179,-0.1428929369708127,DOUBLE_TOP_BEARISH,0.2732763096767141,0.7517582846197549,0.9057867500739096
2023-03-30,05:00:00,4025.23,4036.23,4023.23,4036.23,1506,3950.79,4030.99,2.1626054535928274,0.1299928801609589,DOUBLE_TOP_BEARISH,0.17342916533497843,0.029730714057420365,0.5004670199666476
2023-03-30,21:00:00,4037.69,4055.93,4036.69,4053.93,2024,3985.03,4056.99,1.7289706727427305,-0.07542537694201726,DOUBLE_TOP_BEARISH,0.191419190760576,0.06808208331175472,1.4420574602916303
2023-03-31,01:00:00,4049.43,4064.19,4048.43,4061.69,1481,3994.29,4056.99,1.6874087760277818,0.11584943517238824,DOUBLE_TOP_BEARISH,-0.12950274393171854,0.18465220142354538,0.8346279504344273
2023-03-31,13:00:00,4057.19,4071.93,4053.93,4069.19,3013,4006.99,4064.19,1.5522873778072888,0.12302574436726628,DOUBLE_TOP_BEARISH,0.4226885448946797,0.6487777665825408,1.177138447700896
2023-04-03,13:00:00,4103.46,4121.33,4098.09,4117.09,2356,4036.69,4112.89,1.9917308487894807,0.1021179754381911,DOUBLE_TOP_BEARISH,-0.2492051424671362,0.08501150084161385,0.20014136198139415
2023-04-03,21:00:00,4107.09,4126.83,4105.59,4123.83,2034,4048.43,4128.33,1.862450381999938,-0.10900291401123458,DOUBLE_TOP_BEARISH,-0.07856773921329885,0.32154574752112036,-0.5092353467528972
2023-04-05,09:00:00,4098.09,4102.09,4088.09,4089.33,2451,4085.59,4142.33,0.09154124618475622,-1.27947314675557,DOUBLE_BOTTOM_BULLISH,0.12862742796497761,-0.04499514590410032,-0.10612985501292745
2023-04-05,17:00:00,4095.96,4097.46,4071.73,4084.23,4308,4085.59,4142.33,-0.033287725885370954,-1.4025922608773302,DOUBLE_BOTTOM_BULLISH,0.07981920704758948,-0.08569546768913602,0.41770419393618735
2023-04-06,13:00:00,4085.23,4095.99,4069.23,4073.49,2727,4071.73,4105.83,0.04322487001838932,-0.7876604730346884,DOUBLE_BOTTOM_BULLISH,0.6824614765225933,0.6284537337762057,1.0089628303985125
2023-04-06,17:00:00,4073.99,4104.79,4073.23,4101.29,4009,4069.23,4105.83,0.787864043074487,-0.11057447580635252,DOUBLE_TOP_BEARISH,0.04876514462522767,0.007314771693788586,0.1267893760255875
2023-04-06,21:00:00,4101.53,4107.53,4097.79,4103.29,1700,4069.23,4104.79,0.8370133907397701,-0.03654267331580909,DOUBLE_TOP_BEARISH,-0.1023568892279078,-0.03558120435065609,-0.031681894284834415
2023-04-07,05:00:00,4099.09,4102.09,4099.09,4101.59,940,4069.23,4107.53,0.7952364452242838,-0.14461245566069147,DOUBLE_TOP_BEARISH,0.0058513893392509175,0.11946586567647269,-0.6729097740144764
2023-04-07,09:00:00,4101.83,4102.83,4097.33,4101.83,943,4069.23,4107.53,0.8011343669441124,-0.1387695281592543,DOUBLE_TOP_BEARISH,0.3110806639963192,0.003900697981141454,-0.049733899259597876
2023-04-10,13:00:00,4106.49,4107.49,4071.99,4073.99,2479,4069.23,4119.21,0.11697544744336799,-1.0977833128196974,DOUBLE_BOTTOM_BULLISH,0.6332857959887035,0.9779110896197621,0.842908303653179
2023-04-11,01:00:00,4111.83,4117.59,4111.59,4113.83,1413,4071.99,4119.21,1.027507434939677,-0.1306075679559942,DOUBLE_TOP_BEARISH,0.012154124015819808,-0.1336953641740179,-0.055908970472775536
2023-04-11,05:00:00,4114.09,4117.09,4111.59,4114.33,1368,4071.99,4119.21,1.039786443483411,-0.11846931814595782,DOUBLE_TOP_BEARISH,0.16430378700785347,0.17159537518867957,-0.03743015266155033
2023-04-11,09:00:00,4114.59,4121.83,4111.09,4121.09,1920,4071.99,4119.21,1.205798638994702,0.04563981928573948,DOUBLE_TOP_BEARISH,-0.3096268220300993,-0.22955091978093262,-0.08638491272940896
2023-04-11,17:00:00,4108.09,4121.63,4101.89,4121.39,3263,4071.99,4121.83,1.2131660441209469,-0.010674870142621112,DOUBLE_TOP_BEARISH,-0.2368133081314852,-0.20866746413225548,-0.007279097586013017
2023-04-12,13:00:00,4117.79,4150.79,4109.16,4120.03,4109,4097.03,4124.63,0.5613822695952922,-0.11152515498360734,DOUBLE_TOP_BEARISH,0.02572796800024272,-0.6844610354778926,-0.4296085222680373
2023-04-12,21:00:00,4120.59,4127.33,4086.83,4090.59,4082,4094.59,4150.79,-0.09768987859590336,-1.4503263234227657,DOUBLE_BOTTOM_BULLISH,0.030313475562199627,0.23810746127086269,1.2729215101000029
2023-04-13,01:00:00,4090.33,4092.09,4083.59,4091.83,1425,4086.83,4150.79,0.12234421299638107,-1.420452492176189,DOUBLE_BOTTOM_BULLISH,0.09189042555531922,0.2566089011518074,1.2942864195237835
2023-04-14,01:00:00,4142.03,4149.29,4141.79,4144.79,1414,4083.59,4150.79,1.4986813073790417,-0.1445507963544289,DOUBLE_TOP_BEARISH,0.005790401926268441,0.29844696595002135,0.007238002407846523
2023-04-14,05:00:00,4144.53,4146.79,4143.53,4145.03,1215,4083.59,4150.79,1.5045584889766013,-0.13876876450025702,DOUBLE_TOP_BEARISH,-0.11435381649830718,-0.5534338714074349,0.04969807214906528
2023-04-18,09:00:00,4151.83,4167.59,4151.09,4165.59,1814,4112.33,4161.79,1.2951295251110737,0.09130686555545046,DOUBLE_TOP_BEARISH,-0.16228193365166083,-0.27607133683343776,-0.8584618265359821
2023-04-20,09:00:00,4142.79,4145.79,4120.29,4125.03,2308,4126.33,4163.29,-0.03150499354148073,-0.9189847452375457,DOUBLE_BOTTOM_BULLISH,0.015272616199157561,0.1469080224871189,0.07999941818605397
2023-04-20,13:00:00,4125.29,4133.03,4119.03,4125.66,2643,4120.29,4163.29,0.13033063206715767,-0.9038524820514572,DOUBLE_BOTTOM_BULLISH,0.4467164041632198,0.16167110232060017,-0.11707217754250053
2023-04-24,05:00:00,4124.29,4126.29,4116.79,4117.29,1242,4113.29,4148.59,0.09724575704606289,-0.7544732065593414,DOUBLE_BOTTOM_BULLISH,0.212275550179846,0.38471907492550067,0.20644647328704074
2023-04-24,13:00:00,4126.03,4141.53,4124.79,4139.29,2367,4112.03,4144.09,0.6629329066179046,-0.11582760026930357,DOUBLE_TOP_BEARISH,-0.1488177924233348,-0.19326986029004975,-0.6402064122107898
2023-04-25,09:00:00,4125.53,4128.29,4109.79,4117.79,2612,4112.03,4142.29,0.1400767990505959,-0.5914602792175342,DOUBLE_BOTTOM_BULLISH,-0.12142435626877524,-0.7462740936278931,-0.8184001612515408
2023-04-25,13:00:00,4118.03,4122.79,4111.29,4112.79,2431,4109.79,4142.29,0.0729964304745498,-0.7121664586496841,DOUBLE_BOTTOM_BULLISH,-0.798971014809901,-0.49747251865522035,-0.8257168491462009
2023-04-26,17:00:00,4078.59,4089.59,4060.83,4063.33,4710,4068.09,4136.66,-0.11700822744826732,-1.77268617677063,DOUBLE_BOTTOM_BULLISH,0.02461035653023505,0.1845776739767629,1.3806410013461956
2023-04-26,21:00:00,4063.83,4066.09,4048.83,4064.33,3147,4060.83,4131.53,0.08618927657646344,-1.6265160848402367,DOUBLE_BOTTOM_BULLISH,0.006397118344234309,0.26474228224578755,1.8600851800911926
2023-04-28,21:00:00,4161.29,4174.79,4152.79,4172.79,2804,4063.33,4167.03,2.6938496257995297,0.13822794652306844,DOUBLE_TOP_BEARISH,-0.11407235926083552,-0.03594717203597593,-0.29237033255926653
2023-05-01,05:00:00,4168.03,4175.91,4167.79,4174.03,1280,4070.09,4174.79,2.553751882636492,-0.018204508490252642,DOUBLE_TOP_BEARISH,-0.06564399393391475,0.1811199248687815,-0.17824500542640087
2023-05-01,09:00:00,4173.79,4177.29,4166.79,4171.29,1624,4084.59,4175.91,2.122612061430886,-0.11063456827373894,DOUBLE_TOP_BEARISH,-0.021096591222382267,-0.2565153705448391,-0.23254197142849858
2023-05-01,17:00:00,4171.03,4187.59,4166.83,4181.59,4256,4113.19,4179.03,1.6629428740223657,0.061258234566404175,DOUBLE_TOP_BEARISH,-0.5022013157674473,-0.35871522554817664,-1.5056473733675475
2023-05-02,13:00:00,4161.33,4164.33,4146.83,4149.33,2281,4152.79,4187.59,-0.08331748053718191,-0.9136520050912391,DOUBLE_BOTTOM_BULLISH,-0.7398784864062347,-0.6372113088137025,-0.37837433995367487
2023-05-04,13:00:00,4084.83,4088.09,4057.09,4063.83,4666,4060.09,4149.63,0.0921161846165918,-2.067654224593522,DOUBLE_BOTTOM_BULLISH,0.20079580100545186,0.33367537520024076,1.1949318746109066
2023-05-05,21:00:00,4129.29,4147.79,4128.79,4133.16,2163,4047.49,4130.29,2.1166204240158732,0.06948664621612262,DOUBLE_TOP_BEARISH,-0.015242574688618615,0.14202208479710177,0.09798798014110709
2023-05-09,13:00:00,4124.09,4126.33,4116.33,4125.83,2273,4120.33,4147.79,0.13348445391509903,-0.5294385684906912,DOUBLE_BOTTOM_BULLISH,0.06689563069734376,-0.036356321031162216,0.2244396884990467
2023-05-09,21:00:00,4128.33,4130.33,4117.83,4120.09,1860,4116.33,4145.79,0.09134350258604675,-0.6199059769066889,DOUBLE_BOTTOM_BULLISH,0.10291037331708244,-0.13349222953867512,0.4490193175391799
2023-05-10,05:00:00,4124.59,4125.09,4120.09,4122.33,1171,4116.33,4145.79,0.14576090838198102,-0.5658752614097684,DOUBLE_BOTTOM_BULLISH,-0.18775789420060457,-0.28479039766345204,0.6127602593678871
2023-05-10,09:00:00,4122.59,4128.09,4106.33,4114.59,2342,4116.33,4142.33,-0.0422706634307692,-0.6696714168113063,DOUBLE_BOTTOM_BULLISH,0.49822704084732616,0.5832901941627233,0.8506315331539717
2023-05-10,17:00:00,4135.59,4146.59,4098.09,4110.59,6303,4106.33,4158.83,0.1037422710790467,-1.159941618195497,DOUBLE_BOTTOM_BULLISH,0.6811674236545119,0.9001140955434621,0.2783055473788337
2023-05-16,21:00:00,4125.93,4126.69,4106.93,4115.43,1989,4109.99,4142.73,0.13236041936842935,-0.6589857412865254,DOUBLE_BOTTOM_BULLISH,0.06074699363128518,0.18224098089385554,1.0171476613622312
2023-05-18,09:00:00,4154.53,4168.29,4153.29,4166.03,1899,4106.93,4165.53,1.4390311010900954,0.012003274493281767,DOUBLE_TOP_BEARISH,-0.22803484372412106,0.8785342400318856,0.968788030811122
2023-05-19,01:00:00,4202.39,4213.39,4201.89,4204.63,1819,4108.93,4202.89,2.329073505754535,0.04140008422775237,DOUBLE_TOP_BEARISH,-0.005707993331155933,0.1726667982676292,-0.41715917928569135
2023-05-19,13:00:00,4205.63,4215.13,4201.89,4211.89,2659,4148.03,4213.39,1.5395259918563893,-0.03560078701473161,DOUBLE_TOP_BEARISH,-0.6244227650769649,-0.588809299388165,-0.3869996604849647
2023-05-23,13:00:00,4186.09,4192.83,4173.09,4181.33,2556,4178.59,4210.33,0.0655723581399415,-0.688782114466087,DOUBLE_BOTTOM_BULLISH,-0.47209859063981513,-0.747130697648829,-1.5784451358778189
2023-05-24,09:00:00,4149.09,4149.33,4131.59,4137.71,2899,4141.33,4210.33,-0.08741153204405085,-1.7248054190526607,DOUBLE_BOTTOM_BULLISH,-0.5408788919474808,0.04543576036020188,0.15999187956623084
2023-05-24,17:00:00,4115.59,4123.09,4102.83,4115.96,4648,4114.33,4210.33,0.039617629115800364,-2.241392004902226,DOUBLE_BOTTOM_BULLISH,0.5741066482667496,0.36127659160924525,0.9385416767898647
2023-05-25,17:00:00,4134.09,4155.83,4126.33,4154.59,5344,4102.83,4155.33,1.2615682346087997,-0.01780845323956898,DOUBLE_TOP_BEARISH,-0.10831393711533507,-0.23492089472126534,1.1177998310302484
2023-05-25,21:00:00,4154.83,4166.59,4143.09,4150.09,3099,4102.83,4155.83,1.1518878432691635,-0.1381192204685895,DOUBLE_TOP_BEARISH,-0.126744239281563,-0.10843138341578135,1.4684018900794826
2023-05-26,21:00:00,4201.29,4212.53,4195.29,4211.03,2080,4124.09,4205.03,2.108101423586769,0.1426862590754406,DOUBLE_TOP_BEARISH,0.1249100576343607,0.10686221660733836,0.11303647801132308
2023-05-29,01:00:00,4227.53,4229.66,4213.79,4216.29,1969,4124.09,4212.53,2.2356447119243232,0.08925752457549782,DOUBLE_TOP_BEARISH,0.0474350673222193,-0.08301136781388377,-0.018025325582448508
2023-05-30,09:00:00,4215.79,4230.29,4213.79,4228.29,2643,4143.59,4229.66,2.0441211606360623,-0.03239031033226999,DOUBLE_TOP_BEARISH,-0.2632269782820031,-0.4848295646703514,-0.7568071253390851
2023-05-30,17:00:00,4216.41,4223.79,4193.79,4194.29,5860,4195.29,4234.29,-0.023836254466318183,-0.9446684095798824,DOUBLE_BOTTOM_BULLISH,0.32186615613131186,0.017643033743488926,-0.17786085368441468
2023-05-31,05:00:00,4203.53,4203.79,4192.03,4195.03,1628,4192.03,4234.29,0.0715643733465648,-0.9271920440026596,DOUBLE_BOTTOM_BULLISH,0.03003554205810729,-0.1954694006955807,-0.21930713248772518
2023-05-31,09:00:00,4194.79,4202.03,4186.53,4196.29,3106,4192.03,4234.29,0.10162141015212722,-0.8974349891008883,DOUBLE_BOTTOM_BULLISH,-0.26213631565025297,-0.3207595280593104,-0.11819964778411493
2023-05-31,13:00:00,4196.79,4199.03,4184.03,4185.29,2959,4186.53,4234.29,-0.029618801250672556,-1.1572188017353557,DOUBLE_BOTTOM_BULLISH,0.03679553866040259,-0.09461709941246692,-0.21981750368552283
2023-05-31,17:00:00,4184.79,4188.33,4165.83,4186.83,4980,4184.03,4234.29,0.06692112628255968,-1.1208490679665313,DOUBLE_BOTTOM_BULLISH,-0.0955376740875555,-0.023884418521888873,0.8956656945708328
2023-06-01,21:00:00,4224.59,4232.59,4212.33,4225.09,2106,4165.83,4224.33,1.4225256431491495,0.017991018694093936,DOUBLE_TOP_BEARISH,-0.022721409484769233,0.3488683081307092,1.3760653619212706
2023-06-02,05:00:00,4224.39,4231.63,4223.39,4230.39,1363,4165.83,4232.59,1.5497511900389696,-0.0519776307178304,DOUBLE_TOP_BEARISH,0.22314727483753505,1.2868789875165079,1.1488302496932776
2023-06-02,13:00:00,4239.59,4265.83,4230.21,4245.59,3744,4169.59,4243.59,1.822721178820939,0.047129906517830424,DOUBLE_TOP_BEARISH,0.9242531662265969,0.7631448161503969,0.9426251710598416
2023-06-02,21:00:00,4285.09,4290.59,4278.09,4283.23,1995,4169.59,4287.09,2.725447825805401,-0.09003776454426154,DOUBLE_TOP_BEARISH,-0.1223375816848449,-0.0466937334675,-0.22226217130528894
2023-06-05,13:00:00,4281.23,4294.73,4279.99,4285.61,2306,4212.33,4290.59,1.7396547753855882,-0.11606795335840694,DOUBLE_TOP_BEARISH,0.04620112422736724,-0.23987250356424747,-0.39154286087627543
2023-06-06,13:00:00,4270.59,4274.33,4262.33,4268.83,2244,4266.33,4298.83,0.05859837377793092,-0.6978643026125714,DOUBLE_BOTTOM_BULLISH,0.057627031294289914,0.36778227289444226,0.5495651033187088
2023-06-07,13:00:00,4279.53,4298.53,4279.53,4292.29,2221,4262.33,4289.29,0.702901933918773,0.06994164535389306,DOUBLE_TOP_BEARISH,-0.5288552264641908,-0.5465613926365654,-0.628102947377741
2023-06-07,21:00:00,4269.83,4276.09,4263.83,4268.59,2674,4262.33,4298.53,0.1468680275811638,-0.6965171814550463,DOUBLE_BOTTOM_BULLISH,0.0056224654979696274,0.05247634464775914,0.5983240367428111
2023-06-08,05:00:00,4269.09,4269.09,4257.09,4263.83,1681,4262.33,4298.53,0.03519201938845655,-0.8072527119736239,DOUBLE_BOTTOM_BULLISH,0.16417164849442872,0.48219558472078855,0.6402694291282763
2023-06-08,21:00:00,4284.13,4297.63,4282.13,4294.13,1537,4257.09,4298.53,0.8700779170748084,-0.10236057442892424,DOUBLE_TOP_BEARISH,-0.09873944198242209,-0.13367084834412982,0.2109856944247028
2023-06-12,17:00:00,4311.93,4320.73,4303.43,4320.49,3899,4279.63,4322.19,0.9547554344651213,-0.03933191275718601,DOUBLE_TOP_BEARISH,0.5147564280903273,0.6767750880108456,1.152647037720263
