trade_date,trade_time,open,high,low,close,volume,prev_daily_high,signal,breakout_count,forward_1,forward_3,forward_6
2023-03-21,09:00:00,12574.64,12616.64,12567.64,12592.64,7567,12583.59,BULLISH_DAILY_HIGH_BREAKOUT,1,0.7563942112217931,1.237627693636921,0.9672316527749629
2023-03-22,17:00:00,12757.69,12819.44,12739.69,12797.04,11558,12771.39,BULLISH_DAILY_HIGH_BREAKOUT,1,-1.7566562267524448,-1.066262198133324,-0.23481992710815228
2023-03-27,05:00:00,12794.84,12858.59,12792.59,12845.09,4870,12794.84,BULLISH_DAILY_HIGH_BREAKOUT,1,-0.35227468238836784,-1.2366592993898864,-1.2195321325113302
2023-03-29,09:00:00,12699.94,12741.44,12686.44,12736.44,6187,12715.94,BULLISH_DAILY_HIGH_BREAKOUT,1,0.5496041279980904,0.8656265015969925,1.2409276061442545
2023-03-30,09:00:00,12869.99,12898.74,12862.24,12894.49,6240,12877.44,BULLISH_DAILY_HIGH_BREAKOUT,1,0.5932766631328575,0.6208078024024299,0.5672965739629845
2023-03-31,01:00:00,12962.39,13025.14,12959.64,13014.39,4300,12998.99,BULLISH_DAILY_HIGH_BREAKOUT,1,-0.13254558992008078,0.09681590915901832,0.6923105885101059
2023-04-04,09:00:00,13130.24,13236.49,13121.24,13232.49,6293,13167.24,BULLISH_DAILY_HIGH_BREAKOUT,1,-0.48290231090293395,-0.8588708549940309,-1.1486878131024472
2023-04-11,09:00:00,13059.79,13106.79,13049.79,13105.79,5834,13098.89,BULLISH_DAILY_HIGH_BREAKOUT,1,-0.7630215347567754,-0.957592026119753,-0.8797638295745704
2023-04-14,13:00:00,13069.04,13153.79,13003.29,13129.29,10167,13128.24,BULLISH_DAILY_HIGH_BREAKOUT,1,-0.9044662734999379,-0.28790589590146226,-0.45356603441618765
2023-04-18,09:00:00,13090.04,13190.79,13087.04,13180.29,5913,13125.24,BULLISH_DAILY_HIGH_BREAKOUT,1,-0.15932881598204593,-0.6335217206905158,-1.473032839186402
2023-04-27,13:00:00,12910.39,12988.34,12896.74,12949.99,9855,12936.24,BULLISH_DAILY_HIGH_BREAKOUT,1,1.3764489393428103,1.515445185671958,1.409267497503859
2023-05-01,05:00:00,13243.54,13276.54,13241.04,13269.79,3055,13261.49,BULLISH_DAILY_HIGH_BREAKOUT,1,-0.13451606996041657,0.10889396139651727,-0.21326637422296124
2023-05-05,13:00:00,13059.39,13128.64,13023.39,13128.39,8900,13106.04,BULLISH_DAILY_HIGH_BREAKOUT,1,0.8588257966132937,0.9536584455519735,0.6763967249601901
2023-05-10,13:00:00,13182.79,13361.54,13173.04,13325.54,9722,13290.94,BULLISH_DAILY_HIGH_BREAKOUT,1,-0.5102982693384283,0.3921041848960717,0.05515723940642213
2023-05-11,09:00:00,13381.79,13409.79,13366.04,13400.79,6160,13389.54,BULLISH_DAILY_HIGH_BREAKOUT,1,-0.5066865460916965,-0.04178858112096648,0.1402902366203729
2023-05-12,01:00:00,13395.99,13440.74,13395.99,13435.99,3684,13418.14,BULLISH_DAILY_HIGH_BREAKOUT,1,-0.0818696649818882,-0.4216287746567215,-0.755433726878332
2023-05-16,13:00:00,13416.79,13469.79,13380.79,13438.79,7341,13430.24,BULLISH_DAILY_HIGH_BREAKOUT,1,0.4371673342614923,0.2087241485282475,-0.07031883078759864
2023-05-17,17:00:00,13428.34,13620.14,13427.34,13617.29,10823,13506.79,BULLISH_DAILY_HIGH_BREAKOUT,1,-0.18138704544003048,-0.17991832442431643,0.7949452497523369
2023-05-18,13:00:00,13620.79,13672.04,13586.54,13668.54,6714,13620.14,BULLISH_DAILY_HIGH_BREAKOUT,1,0.4170160090251044,1.5634442303274445,1.356765243398336
2023-05-19,01:00:00,13859.24,13915.49,13854.74,13882.24,4891,13866.54,BULLISH_DAILY_HIGH_BREAKOUT,1,-0.09544569176156009,-0.20349741828408094,-0.453457078972838
2023-05-23,01:00:00,13876.19,13940.44,13872.69,13922.94,4086,13907.54,BULLISH_DAILY_HIGH_BREAKOUT,1,-0.20649374341913415,-0.6966919343184701,-1.6045461662551128
2023-05-25,09:00:00,13799.74,13871.59,13793.24,13870.09,7531,13809.29,BULLISH_DAILY_HIGH_BREAKOUT,1,-0.17736006038894025,0.5400109155744457,0.548662625837326
2023-05-26,13:00:00,13945.19,14091.19,13932.44,14085.44,9223,13993.24,BULLISH_DAILY_HIGH_BREAKOUT,1,1.4252305927255378,2.058863620873753,1.8529772587863778
2023-05-29,01:00:00,14394.94,14418.44,14359.44,14375.44,5514,14334.94,BULLISH_DAILY_HIGH_BREAKOUT,1,0.03130338967015966,-0.20173295565214,-0.05078105435382215
2023-05-30,09:00:00,14368.39,14480.99,14368.39,14469.24,7201,14418.44,BULLISH_DAILY_HIGH_BREAKOUT,1,-0.37389662484000796,-0.5853797435110546,-0.8670116744210402
2023-06-01,17:00:00,14288.09,14457.19,14245.59,14457.19,13704,14403.14,BULLISH_DAILY_HIGH_BREAKOUT,1,0.0926874447939028,0.16427812043695905,0.7193652431765786
2023-06-02,09:00:00,14481.44,14535.54,14468.94,14514.14,6283,14501.99,BULLISH_DAILY_HIGH_BREAKOUT,1,-0.403399719170404,0.30625307458795853,0.02962628168118188
2023-06-05,17:00:00,14584.54,14673.79,14571.79,14614.04,14147,14602.59,BULLISH_DAILY_HIGH_BREAKOUT,1,-0.3318726375458121,-0.335636141682937,-0.5494716040191561
2023-06-09,13:00:00,14487.09,14658.59,14472.84,14645.59,9502,14512.99,BULLISH_DAILY_HIGH_BREAKOUT,1,-0.30862532680486565,-0.37656386666566277,-0.19050103136848454
