trade_date,trade_time,open,high,low,close,volume,sma,std,upper_band,lower_band,candle_range,body_size,body_to_range,doji,signal,forward_1,forward_3,forward_6
2023-05-24,01:00:00,4150.09,4154.59,4149.83,4150.09,1365,4189.3369999999995,17.814605805348144,4224.966211610696,4153.7077883893035,4.760000000000218,0.0,0.0,True,BB_DOJI_BULLISH,-0.018312855865781665,-0.837572197229463,-0.518061054097622
2023-05-24,17:00:00,4115.59,4123.09,4102.83,4115.96,4648,4174.3515,28.780191703210612,4231.911883406421,4116.791116593578,20.26000000000022,0.36999999999989086,0.018262586377092146,True,BB_DOJI_BULLISH,0.5741066482667496,0.36127659160924525,0.9385416767898647
2023-08-02,13:00:00,4542.59,4559.71,4534.83,4541.09,3464,4574.0595,14.693855312593744,4603.447210625188,4544.671789374813,24.88000000000011,1.5,0.06028938906752385,True,BB_DOJI_BULLISH,-0.5241032439348302,-0.4360186651222544,-0.9812622079721035
2023-08-24,01:00:00,4459.79,4461.79,4453.79,4460.29,1772,4402.377,26.94894199659898,4456.274883993198,4348.4791160068025,8.0,0.5,0.0625,True,BB_DOJI_BEARISH,0.21837145118366255,-0.08654145806662061,-1.815128612713524
2023-10-06,21:00:00,4311.33,4325.33,4306.29,4310.79,2565,4250.232,25.969165643277915,4302.170331286556,4198.293668713444,19.039999999999964,0.5399999999999636,0.02836134453781327,True,BB_DOJI_BEARISH,-0.7963737505190447,-0.6254074079229106,0.5868993850315182
2023-10-09,21:00:00,4335.83,4342.83,4329.59,4336.09,2501,4273.2925000000005,30.629258264602154,4334.551016529204,4212.033983470797,13.239999999999782,0.2600000000002183,0.019637462235666356,True,BB_DOJI_BEARISH,0.14390845208470723,0.19003295595801242,0.5129044830711489
2023-10-25,21:00:00,4188.23,4200.23,4181.99,4187.86,4186,4226.511,19.252439872643436,4265.015879745288,4188.006120254713,18.23999999999978,0.36999999999989086,0.020285087719292504,True,BB_DOJI_BULLISH,-0.5618621443887748,-0.5647275696895225,-1.1545276107606144
2023-11-14,17:00:00,4489.09,4505.63,4485.33,4490.89,3749,4398.725,39.9078812292404,4478.540762458481,4318.909237541519,20.300000000000182,1.800000000000182,0.08866995073892442,True,BB_DOJI_BEARISH,0.1975109610789819,0.38834173181706966,0.4172892232942642
2023-12-14,05:00:00,4725.29,4727.53,4721.03,4725.53,837,4640.451999999999,37.863550671711884,4716.179101343423,4564.7248986565755,6.5,0.23999999999978172,0.03692307692304334,True,BB_DOJI_BEARISH,-0.09522741364460706,-0.4951825509519491,-0.002962630646708791
2024-02-08,01:00:00,4993.16,4995.79,4991.41,4992.79,693,4956.3060000000005,18.084479649793145,4992.474959299587,4920.137040700414,4.380000000000109,0.36999999999989086,0.08447488584472183,True,BB_DOJI_BEARISH,0.044864694890027056,-0.010014440823667729,0.06609530943621066
2024-02-13,17:00:00,4950.09,4971.33,4944.09,4948.59,4756,5006.5765,23.53628067794218,5053.649061355884,4959.503938644116,27.23999999999978,1.5,0.05506607929515463,True,BB_DOJI_BULLISH,0.16166221085198007,0.2020777635649751,0.5900670696097235
2024-02-22,21:00:00,5082.39,5095.13,5079.13,5081.33,4979,5002.941,38.53731546372751,5080.015630927455,4925.866369072544,16.0,1.0600000000004002,0.06625000000002501,True,BB_DOJI_BEARISH,0.14759915219046982,0.05903966087618793,0.06022045409371956
2024-03-15,17:00:00,5117.99,5137.23,5103.49,5119.49,5769,5159.207,18.679190250414774,5196.56538050083,5121.848619499171,33.73999999999978,1.5,0.04445761707172524,True,BB_DOJI_BULLISH,-0.019533195689414376,0.27424606747937713,0.7598413123182298
2024-04-10,17:00:00,5154.49,5178.79,5138.03,5155.03,7639,5199.141,17.88392541950248,5234.908850839005,5163.373149160994,40.76000000000022,0.5399999999999636,0.013248282630028477,True,BB_DOJI_BULLISH,0.032589529061912176,0.13190999858391092,0.831420961662698
2024-04-10,21:00:00,5154.91,5167.79,5141.53,5156.71,4953,5198.125,19.69198247189696,5237.508964943794,5158.741035056206,26.26000000000022,1.800000000000182,0.0685453160700749,True,BB_DOJI_BULLISH,0.0023270651248546237,-0.1380725307414978,0.822617521636859
2024-04-23,21:00:00,5075.59,5078.13,5065.09,5076.89,2965,5005.6645,32.89376384253757,5071.452027685075,4939.876972314924,13.039999999999964,1.300000000000182,0.09969325153375656,True,BB_DOJI_BEARISH,0.1871224312522036,-0.06893984309291712,-0.6748225783895301
2024-05-10,01:00:00,5217.59,5221.83,5217.33,5217.46,970,5188.074,11.750012496703981,5211.574024993408,5164.573975006591,4.5,0.13000000000010914,0.028888888888913142,True,BB_DOJI_BEARISH,0.05040766963235194,0.3904198594718482,0.07340736680300236
2024-05-15,05:00:00,5249.59,5253.33,5247.59,5249.46,441,5227.727000000001,10.286536985097653,5248.300073970196,5207.153926029806,5.739999999999782,0.13000000000010914,0.022648083623713254,True,BB_DOJI_BEARISH,-0.04057560206192845,0.9873396501735403,1.2667969657831473
2024-06-12,17:00:00,5432.59,5445.59,5428.09,5431.83,3825,5364.0315,27.596846553959782,5419.22519310792,5308.83780689208,17.5,0.7600000000002183,0.043428571428583904,True,BB_DOJI_BEARISH,-0.018410001785770173,-0.035715403464386765,-0.17305401678623294
2024-06-12,21:00:00,5432.09,5447.09,5409.59,5430.83,6255,5368.2435,31.012007568149308,5430.267515136298,5306.219484863701,37.5,1.2600000000002183,0.03360000000000582,True,BB_DOJI_BEARISH,-0.0036826783382985307,-0.16019650771612845,-0.02099126652832675
2024-07-17,21:00:00,5591.39,5601.63,5582.39,5592.89,3757,5633.767,19.61797674477224,5673.002953489544,5594.531046510456,19.23999999999978,1.5,0.07796257796257884,True,BB_DOJI_BULLISH,0.20812138268407596,0.09297518814065389,-0.6948107329126906
2024-07-18,21:00:00,5554.79,5556.66,5522.29,5554.03,5129,5620.2925000000005,31.97309063853289,5684.2386812770665,5556.3463187229345,34.36999999999989,0.7600000000002183,0.02211230724469656,True,BB_DOJI_BULLISH,0.03240889948380153,-0.24198644947901973,-0.8822422637256191
2024-08-29,01:00:00,5564.33,5570.33,5544.59,5563.59,3109,5616.0830000000005,23.278452900724517,5662.6399058014495,5569.526094198552,25.73999999999978,0.7399999999997817,0.02874902874902051,True,BB_DOJI_BULLISH,0.31454510486933795,1.0335053445706819,0.653714597948445
2024-12-02,21:00:00,6048.18,6053.18,6041.07,6047.86,2223,6019.1035,14.13271876576971,6047.36893753154,5990.8380624684605,12.110000000000582,0.32000000000061846,0.026424442609463507,True,BB_DOJI_BEARISH,-0.014715949112569042,-0.031416071139206865,0.08316991464750598
2024-12-19,05:00:00,5873.58,5879.33,5865.82,5872.52,2782,6031.7660000000005,69.72865743253381,6171.2233148650685,5892.308685134933,13.510000000000218,1.0599999999994907,0.07846039970388405,True,BB_DOJI_BULLISH,0.30463923494512435,0.7771791326381079,-0.19770047611588518
2025-01-13,05:00:00,5802.99,5808.49,5790.99,5803.49,2616,5889.857,39.69313358327075,5969.243267166541,5810.470732833459,17.5,0.5,0.02857142857142857,True,BB_DOJI_BULLISH,-0.454554070050954,0.29947497109498095,0.8546581453573688
2025-01-15,21:00:00,5945.7,5960.27,5944.75,5946.25,3045,5851.3115,46.45849718581823,5944.228494371636,5758.394505628364,15.520000000000437,0.5500000000001819,0.035438144329907634,True,BB_DOJI_BEARISH,0.08072314483918741,0.34122346016396826,-0.2677317637166293
2025-02-20,17:00:00,6097.99,6109.32,6084.36,6100.43,7639,6124.018,11.173629009334075,6146.365258018668,6101.670741981332,24.960000000000036,2.4400000000005093,0.09775641025643052,True,BB_DOJI_BULLISH,0.2270331763498549,0.29391370772223235,-1.1376247248144893
2025-03-31,01:00:00,5540.09,5551.09,5529.59,5540.36,4978,5695.0599999999995,67.54527277063121,5830.150545541262,5559.969454458737,21.5,0.26999999999952706,0.012558139534861724,True,BB_DOJI_BULLISH,0.009024684316542608,-0.4109841237753418,0.8614963648571659
