trade_date,trade_time,open,high,low,close,volume,week,prev_week_high,prev_week_low,rsi,distance_to_prev_week_high_pct,distance_to_prev_week_low_pct,signal,forward_1,forward_3,forward_6
1971-02-02,00:00:00,357.55,357.55,357.55,357.55,1,1971-02-01/1971-02-07,357.83,357.72,16.030534351141185,-0.07824944806192123,-0.047523202504756765,BULLISH_WEEKLY_STRUCTURE,-0.002796811634733857,-0.0055936232694836115,-0.013984058173685181
1971-02-03,00:00:00,357.54,357.54,357.54,357.54,1,1971-02-01/1971-02-07,357.83,357.72,16.406249999996504,-0.08104407120698758,-0.050318685005033774,BULLISH_WEEKLY_STRUCTURE,-0.008390669575440386,-0.013984449292390046,-0.011187559433915214
1971-02-04,00:00:00,357.51,357.51,357.51,357.51,1,1971-02-01/1971-02-07,357.83,357.72,16.030534351141185,-0.0894279406422025,-0.05870513250588068,BULLISH_WEEKLY_STRUCTURE,0.005594249111907866,-0.002797124555953933,0.005594249111907866
1971-02-05,00:00:00,357.53,357.53,357.53,357.53,1,1971-02-01/1971-02-07,357.83,357.72,18.852459016387826,-0.08383869435206981,-0.05311416750532667,BULLISH_WEEKLY_STRUCTURE,-0.011187872346366354,-0.008390904259774765,0.0
1971-02-08,00:00:00,357.49,357.49,357.49,357.49,1,1971-02-08/1971-02-14,357.67,357.51,14.166666666660674,-0.05032571923840602,-0.005594249111907866,BULLISH_WEEKLY_STRUCTURE,0.0027972810428238282,0.0027972810428238282,0.011189124171295313
1971-02-09,00:00:00,357.5,357.5,357.5,357.5,1,1971-02-08/1971-02-14,357.67,357.51,11.206896551720249,-0.04752984594738611,-0.002797124555953933,BULLISH_WEEKLY_STRUCTURE,0.0,0.008391608391600759,0.016783216783217418
1971-02-10,00:00:00,357.5,357.5,357.5,357.5,1,1971-02-08/1971-02-14,357.67,357.51,12.62135922329675,-0.04752984594738611,-0.002797124555953933,BULLISH_WEEKLY_STRUCTURE,0.0,0.008391608391600759,0.02797202797203433
1971-02-11,00:00:00,357.5,357.5,357.5,357.5,1,1971-02-08/1971-02-14,357.67,357.51,19.696969696964743,-0.04752984594738611,-0.002797124555953933,BULLISH_WEEKLY_STRUCTURE,0.008391608391600759,0.008391608391600759,0.013986013986017166
1971-02-19,00:00:00,357.56,357.56,357.56,357.56,1,1971-02-15/1971-02-21,357.5,357.49,19.99999999999747,0.016783216783217418,0.0195809672997827,BULLISH_WEEKLY_STRUCTURE,0.011186933661489111,0.011186933661489111,0.01957713390759402
1971-05-06,00:00:00,357.41,357.41,357.41,357.41,1,1971-05-03/1971-05-09,357.5,357.4,19.047619047642243,-0.025174825174818182,0.002797985450489018,BULLISH_WEEKLY_STRUCTURE,0.0,0.008393721496313117,0.02238325732351755
1971-05-10,00:00:00,357.14,357.14,357.14,357.14,1,1971-05-10/1971-05-16,357.41,357.4,9.302325581409491,-0.07554349346689758,-0.07274762171236455,BULLISH_WEEKLY_STRUCTURE,0.08400067200537924,0.09800078400627843,0.08400067200537924
1971-09-08,00:00:00,339.39,339.39,339.39,339.39,1,1971-09-06/1971-09-12,341.01,338.98,10.570175438595982,-0.47505938242280416,0.12095108855978765,BULLISH_WEEKLY_STRUCTURE,-0.09428680868617025,-0.12080497362914881,-0.4567017295736502
1971-09-09,00:00:00,339.07,339.07,339.07,339.07,1,1971-09-06/1971-09-12,341.01,338.98,10.423875432525449,-0.5688982727779237,0.02655023895214319,BULLISH_WEEKLY_STRUCTURE,-0.07668033149496885,-0.24478721208009677,-0.3303152741321864
1971-09-10,00:00:00,338.81,338.81,338.81,338.81,1,1971-09-06/1971-09-12,341.01,338.98,10.307955517535873,-0.6451423711914573,-0.05015045135406688,BULLISH_WEEKLY_STRUCTURE,0.05017561465128418,-0.11806026976770971,-0.45453203860571423
1971-09-13,00:00:00,338.98,338.98,338.98,338.98,1,1971-09-13/1971-09-19,339.79,338.81,10.955414012738416,-0.23838253038641577,0.05017561465128418,BULLISH_WEEKLY_STRUCTURE,-0.21830196471768512,-0.33630302672725326,-0.48380435423920093
1971-09-15,00:00:00,338.41,338.41,338.41,338.41,1,1971-09-13/1971-09-19,339.79,338.81,11.106557377048958,-0.40613319991759483,-0.11806026976770971,BULLISH_WEEKLY_STRUCTURE,-0.16843473892616945,-0.3368694778523221,-0.3368694778523221
1971-10-04,00:00:00,333.17,333.17,333.17,333.17,1,1971-10-04/1971-10-10,336.36,333.39,9.046849757674451,-0.9483886312284451,-0.06598878190706693,BULLISH_WEEKLY_STRUCTURE,-0.00900441216196823,-0.1680823603565754,-0.5312603175556139
1971-10-05,00:00:00,333.14,333.14,333.14,333.14,1,1971-10-04/1971-10-10,336.36,333.39,6.446280991736131,-0.9573076465691601,-0.07498725216713159,BULLISH_WEEKLY_STRUCTURE,-0.14708530947950085,-0.23113405775349155,-0.6873986912409089
1971-11-24,00:00:00,328.04,328.04,328.04,328.04,1,1971-11-22/1971-11-28,328.8,328.4,15.403422982886042,-0.23114355231143277,-0.10962241169304411,BULLISH_WEEKLY_STRUCTURE,-0.1341299841482739,-0.18290452383856318,-0.8962321668089249
1972-02-07,00:00:00,308.17,308.17,308.17,308.17,1,1972-02-07/1972-02-13,310.56,308.55,18.108108108108453,-0.7695775373518761,-0.12315670069680618,BULLISH_WEEKLY_STRUCTURE,-0.15575818541714578,-1.12924684427427,-1.3077197650647465
1972-11-27,00:00:00,301.11,301.11,301.11,301.11,1,1972-11-27/1972-12-03,301.11,301.02,84.21052631578807,0.0,0.029898345624886,BEARISH_WEEKLY_STRUCTURE,0.02988940918600345,0.0,0.0
1973-01-03,00:00:00,301.43,301.43,301.43,301.43,1,1973-01-01/1973-01-07,301.11,301.07,80.59701492537427,0.10627345488359509,0.11957352110805249,BEARISH_WEEKLY_STRUCTURE,-0.0763029559101676,0.2587665461301041,0.01658759911090846
1973-04-02,00:00:00,266.03,266.03,266.03,266.03,1,1973-04-02/1973-04-08,265.96,265.39,91.33034379671152,0.02631974733042307,0.24115452729944098,BEARISH_WEEKLY_STRUCTURE,-0.21426154944930767,-0.5563282336578437,-0.18794872758711426
1973-06-22,00:00:00,265.04,265.04,265.04,265.04,1,1973-06-18/1973-06-24,264.69,264.62,96.95652173913075,0.13223015603159272,0.15871816189253113,BEARISH_WEEKLY_STRUCTURE,0.05282221551463415,0.05282221551463415,0.07923332327195123
1973-06-25,00:00:00,265.18,265.18,265.18,265.18,1,1973-06-25/1973-07-01,265.04,264.69,97.13114754098389,0.05282221551463415,0.1851222184442212,BEARISH_WEEKLY_STRUCTURE,0.0,0.0,-0.05279432838071738
1973-06-26,00:00:00,265.18,265.18,265.18,265.18,1,1973-06-25/1973-07-01,265.04,264.69,94.11764705882409,0.05282221551463415,0.1851222184442212,BEARISH_WEEKLY_STRUCTURE,0.0,-0.7617467380647039,-0.02639716419035869
