trade_date,trade_time,open,high,low,close,volume,rsi,prev_high,prev_low,inside_bar,signal,forward_1,forward_3,forward_6
2023-03-30,21:00:00,12918.24,12984.04,12913.74,12974.54,5986,80.40530360102447,12998.99,12897.99,True,BEARISH_INSIDE_BAR,0.30713998338282933,-0.05318107616918562,1.6836820419066794
2023-03-31,05:00:00,13014.14,13022.64,12993.24,12997.14,3972,83.24550245320724,13025.14,12959.64,True,BEARISH_INSIDE_BAR,-0.22697301098549374,0.9105849440723142,0.907892043941975
2023-05-01,01:00:00,13240.29,13256.04,13229.54,13243.79,4033,83.88194267245046,13261.49,13187.49,True,BEARISH_INSIDE_BAR,0.1963184254658221,-0.046436858331349674,-0.14195332302914113
2023-05-19,05:00:00,13881.74,13897.99,13866.99,13868.99,3786,86.11477282713768,13915.49,13854.74,True,BEARISH_INSIDE_BAR,0.0288413215381942,-0.5389721962450041,-0.31328885520862665
2023-05-29,17:00:00,14346.69,14383.69,14346.19,14379.19,2742,87.19316189362951,14391.69,14340.44,True,BEARISH_INSIDE_BAR,-0.13422174684388405,0.626252243693833,0.037206546404911285
2023-05-30,01:00:00,14370.89,14383.64,14355.51,14359.89,3850,87.87365630982177,14383.69,14346.19,True,BEARISH_INSIDE_BAR,0.05745169357146886,0.38475225088771575,0.08286971557582583
2023-06-15,01:00:00,15049.59,15052.84,14994.84,14999.59,4320,80.162533861221,15065.94,14800.84,True,BEARISH_INSIDE_BAR,0.08333561117337207,0.17000464679367902,0.9863602938480367
2023-07-12,21:00:00,15328.99,15350.74,15295.24,15332.24,7029,84.68684447108186,15383.39,15219.39,True,BEARISH_INSIDE_BAR,0.170881749829123,0.5648228830229658,1.5682639979546416
2023-07-14,01:00:00,15576.39,15593.89,15556.39,15585.64,4081,97.67812002621484,15616.34,15531.69,True,BEARISH_INSIDE_BAR,0.10586668240765218,0.5222756332110934,-0.22937781188324635
2023-07-21,01:00:00,15485.54,15492.29,15445.79,15482.04,4281,17.781432748538194,15575.24,15433.99,True,BULLISH_INSIDE_BAR,0.08558303686077545,0.19118927479840217,-0.25610320087017896
2023-07-24,01:00:00,15463.89,15465.14,15429.64,15442.39,4264,19.54764495569715,15540.14,15412.39,True,BULLISH_INSIDE_BAR,-0.01618920387323465,-0.2703597046830186,0.11073415449292735
2023-08-01,05:00:00,15796.09,15798.09,15768.34,15771.09,3365,88.39839977927969,15803.09,15766.34,True,BEARISH_INSIDE_BAR,-0.2935751428721748,-0.18071040112002404,-0.9086245782631338
2023-08-02,21:00:00,15387.34,15431.94,15350.59,15369.34,8198,17.439024390243972,15527.74,15332.49,True,BULLISH_INSIDE_BAR,0.28010311438226543,-0.20300156024917615,0.021145995859288686
2023-08-03,13:00:00,15339.14,15379.99,15268.64,15360.39,13049,17.71734004087395,15390.89,15261.29,True,BULLISH_INSIDE_BAR,0.06152187542113663,0.5152863957230348,0.09439864482607539
2023-08-17,05:00:00,14864.14,14893.89,14847.64,14867.14,5663,12.347110923660765,14895.14,14830.64,True,BULLISH_INSIDE_BAR,0.34808308793755893,-0.31445187171170785,-1.1041128286946895
2023-08-30,21:00:00,15460.54,15498.04,15428.54,15492.34,7072,80.11970652593635,15500.04,15354.64,True,BEARISH_INSIDE_BAR,-0.054220343731157694,-0.3124124567366817,0.15330156709702988
2023-08-31,01:00:00,15485.19,15495.19,15477.69,15483.94,2734,83.97868321640584,15498.04,15428.54,True,BEARISH_INSIDE_BAR,0.004843728405044194,0.41010233829374176,0.2970820088427106
2023-09-19,01:00:00,15248.94,15259.69,15229.69,15230.19,3060,19.507163323782322,15267.34,15197.49,True,BULLISH_INSIDE_BAR,-0.07583621740766919,-0.6401758612335104,-0.2632928413893744
2023-10-10,21:00:00,15161.74,15182.74,15133.49,15152.99,7372,81.67573292254366,15254.49,15110.84,True,BEARISH_INSIDE_BAR,0.06302386525696309,0.20194034312700243,0.8618761049799436
2023-10-12,05:00:00,15293.79,15303.29,15287.29,15301.14,3662,81.66622446272208,15305.79,15272.54,True,BEARISH_INSIDE_BAR,0.061433331111286196,-0.9679017380404241,-0.6872036985479489
