trade_date,trade_time,open,high,low,close,volume,sma,std,upper_band,lower_band,recent_low,recent_high,distance_to_recent_low_pct,distance_to_recent_high_pct,signal,forward_1,forward_3,forward_6
1971-04-13,00:00:00,357.62,357.62,357.62,357.62,1,357.507,0.049428310659825246,357.6058566213197,357.40814337868034,357.42,357.55,0.05595657769570495,0.019577681443152896,BB_DOUBLE_TOP_BEARISH,-0.0111850567641688,-0.022370113528321706,-0.03635143448352873
1971-04-29,00:00:00,357.41,357.41,357.41,357.41,1,357.509,0.04411706913905657,357.5972341382781,357.4207658617219,357.49,357.54,-0.02237824834260653,-0.03635956816020458,BB_DOUBLE_BOTTOM_BULLISH,-0.00279790716545361,-0.00279790716545361,0.0
1971-04-30,00:00:00,357.4,357.4,357.4,357.4,1,357.5025,0.05003945811425196,357.6025789162285,357.4024210837715,357.41,357.54,-0.00279790716545361,-0.03915645801869531,BB_DOUBLE_BOTTOM_BULLISH,0.002797985450489018,0.0,-0.07274762171236455
1971-05-10,00:00:00,357.14,357.14,357.14,357.14,1,357.45799999999997,0.09725711988524202,357.6525142397704,357.2634857602295,357.4,357.5,-0.07274762171236455,-0.10069930069930451,BB_DOUBLE_BOTTOM_BULLISH,0.08400067200537924,0.09800078400627843,0.08400067200537924
1971-10-04,00:00:00,333.17,333.17,333.17,333.17,1,337.2435,1.8183488027361503,340.8801976054723,333.6068023945277,333.39,337.44,-0.06598878190706693,-1.2654101469890888,BB_DOUBLE_BOTTOM_BULLISH,-0.00900441216196823,-0.1680823603565754,-0.5312603175556139
1971-12-08,00:00:00,323.5,323.5,323.5,323.5,1,327.5015,1.7414793318172437,330.9844586636345,324.01854133636556,323.62,328.19,-0.03708052654347833,-1.429050245284743,BB_DOUBLE_BOTTOM_BULLISH,0.006182380216377684,-0.2194744976816011,-2.6398763523956785
1972-01-04,00:00:00,314.96,314.96,314.96,314.96,1,324.899,4.021840243887937,332.9426804877759,316.8553195122241,314.86,326.53,0.03176014736707295,-3.5433191437233926,BB_DOUBLE_BOTTOM_BULLISH,-0.03175006350011617,-0.7810515621031178,-0.4699009398018673
1972-01-05,00:00:00,314.86,314.86,314.86,314.86,1,324.208,4.497161209847428,333.2023224196949,315.21367758030516,314.86,326.53,0.0,-3.573944201145365,BB_DOUBLE_BOTTOM_BULLISH,-0.9051641999618949,-0.5939147557644682,-0.28266531156704133
1972-02-10,00:00:00,304.69,304.69,304.69,304.69,1,310.252,2.55999917762843,315.3719983552569,305.1320016447431,304.79,310.56,-0.032809475376496186,-1.8901339515713564,BB_DOUBLE_BOTTOM_BULLISH,0.0,-0.18051133939414205,-0.39384292231447987
1972-03-30,00:00:00,303.77,303.77,303.77,303.77,1,302.389,0.5555263033080918,303.5000526066162,301.27794739338384,301.93,303.77,0.6094127777961696,0.0,BB_DOUBLE_TOP_BEARISH,0.18105803733087908,0.3950357178128339,-0.18435000164598292
1972-04-03,00:00:00,304.14,304.14,304.14,304.14,1,302.5415,0.7943701576415255,304.13024031528306,300.9527596847169,301.93,304.32,0.7319577385486634,-0.05914826498422938,BB_DOUBLE_TOP_BEARISH,0.27290063786415497,0.24330900243309303,-0.6049845465903778
