trade_date,trade_time,open,high,low,close,volume,ema20,ema50,distance_to_ema20_pct,signal,forward_1,forward_3,forward_6
2023-03-20,09:00:00,12527.09,12538.59,12402.09,12531.84,14607,12527.994761904763,12527.756666666668,0.03069316493433844,BULLISH_EMA20_PULLBACK,-0.7221605127419437,0.3630751749144579,0.4851641897757972
2023-03-20,17:00:00,12442.34,12572.84,12431.09,12538.34,16668,12521.513172443581,12524.915708061004,0.13438333949486198,BULLISH_EMA20_PULLBACK,0.3110459598320033,0.2815364713351151,0.9494877312307631
2023-03-23,05:00:00,12612.84,12672.49,12612.84,12660.59,4713,12642.235619355433,12591.727255366495,0.1451830293090412,BULLISH_EMA20_PULLBACK,0.3791292506905286,0.8404031723640022,0.6753239777925042
2023-03-24,13:00:00,12670.09,12718.49,12612.94,12698.59,15472,12687.57701458182,12628.842358364047,0.08680132861871405,BULLISH_EMA20_PULLBACK,-0.06221163137009413,0.7559894444973813,0.9075810778991997
2023-03-29,01:00:00,12630.69,12674.94,12626.44,12665.94,3807,12675.636997708893,12655.832422202317,-0.07650106823542466,BULLISH_EMA20_PULLBACK,0.2704102498511757,1.109274163623071,1.3366556291913532
2023-04-10,09:00:00,13023.14,13058.64,13003.39,13049.89,3836,13030.91516417834,12975.182050745583,0.14561399243716655,BULLISH_EMA20_PULLBACK,-1.2816199983294878,0.10229971287114575,0.42835610108592065
2023-04-10,17:00:00,12880.14,13033.39,12868.39,13021.64,11622,13017.255270449845,12973.51714872747,0.03368397914196441,BULLISH_EMA20_PULLBACK,0.3194682083055619,0.28529432544596117,0.0011519286357283352
2023-04-11,17:00:00,13004.79,13023.04,12952.04,13021.79,11760,13031.795613020744,12990.088805580644,-0.07677846797064546,BULLISH_EMA20_PULLBACK,-0.3186965847245271,-0.33443942806634946,-0.4150735037195431
2023-04-18,21:00:00,13084.49,13108.74,13047.24,13096.79,6761,13078.147757340368,13037.345029258804,0.14254497659402443,BULLISH_EMA20_PULLBACK,-0.1328569825125199,-0.8448635123568558,-0.14621903535142164
2023-05-03,09:00:00,13124.59,13150.09,13117.84,13144.84,5725,13156.019782002084,13097.55382604118,-0.08497845235363785,BULLISH_EMA20_PULLBACK,0.23126945630376358,-0.9600725455768251,-0.7230974283445007
2023-05-03,13:00:00,13146.34,13181.74,13125.99,13175.24,8311,13157.850278954267,13100.600342667016,0.13216232649756712,BULLISH_EMA20_PULLBACK,-0.14534839593054574,-0.8591873848218242,-1.5214144106672738
2023-05-10,01:00:00,13200.29,13231.54,13200.04,13219.54,2954,13210.549767882218,13157.943274424926,0.06805342908317533,BULLISH_EMA20_PULLBACK,-0.049169638277882594,0.8018433319162391,1.1970915780730644
2023-05-12,21:00:00,13264.84,13347.84,13257.34,13323.84,5842,13329.382423564433,13252.757692566736,-0.04158049779286836,BULLISH_EMA20_PULLBACK,0.07993191152100022,0.4139197108341112,0.672854072099332
2023-05-15,01:00:00,13319.34,13338.49,13301.24,13334.49,3767,13329.86885941544,13255.962881093532,0.03466756224909544,BULLISH_EMA20_PULLBACK,0.25122820595313355,-0.04312125923076173,0.6040725967022442
2023-06-01,05:00:00,14248.59,14272.59,14228.59,14263.34,4772,14272.4311543249,14079.39373445311,-0.0636973072534002,BULLISH_EMA20_PULLBACK,0.09640098321991904,1.3590785888859156,1.5255893780839576
2023-06-01,09:00:00,14263.84,14298.09,14250.84,14277.09,6545,14272.874853913005,14087.146529180438,0.029532565304037788,BULLISH_EMA20_PULLBACK,0.06899165025926406,1.3553182056007211,1.6603523547165373
2023-06-01,13:00:00,14277.84,14309.09,14223.84,14286.94,9808,14274.214391635576,14094.981567251794,0.08915102446465446,BULLISH_EMA20_PULLBACK,1.1916477566224817,1.2388937029202896,1.1804487175000358
2023-06-08,17:00:00,14367.59,14509.34,14352.84,14431.24,13386,14435.987386746508,14364.954611334977,-0.03288577787804957,BULLISH_EMA20_PULLBACK,0.5266352718130943,0.4129929236850081,1.1721099503576937
2023-06-20,13:00:00,15021.29,15141.04,15018.79,15056.54,9185,15058.226205900226,14899.554310061172,-0.011197905232452962,BULLISH_EMA20_PULLBACK,0.05977468927124027,0.2630086327934475,-0.67346149912265
2023-06-20,17:00:00,15055.29,15114.29,14957.79,15065.54,14784,15058.922757719252,14906.063552803871,0.043942334967861645,BULLISH_EMA20_PULLBACK,0.06471722885472408,0.08695340492274783,-0.938565760005957
2023-06-20,21:00:00,15064.54,15118.54,15059.04,15075.29,6865,15060.481542698371,14912.699884066466,0.09832658577114954,BULLISH_EMA20_PULLBACK,0.13830579710240098,0.013930080283686383,-1.3671378792713134
2023-06-22,17:00:00,14922.69,15017.19,14893.19,14992.44,15342,14977.56889052698,14924.224601094873,0.09928920762585383,BULLISH_EMA20_PULLBACK,0.514259186630064,-0.035351150313098406,-0.200434352246873
2023-06-23,17:00:00,14854.89,14991.64,14836.64,14962.39,14594,14971.884963111883,14933.950822834155,-0.06341862187211125,BULLISH_EMA20_PULLBACK,-0.4210557270596476,-0.22990979382304322,-1.4646724219860574
2023-06-26,01:00:00,14904.74,14954.49,14903.99,14941.49,5101,14962.743473204964,14932.944300509345,-0.14204262235080595,BULLISH_EMA20_PULLBACK,-0.09035243473040507,0.269384110955467,-1.390758217553934
2023-06-28,09:00:00,14921.74,14927.74,14872.24,14892.99,6427,14886.63933158733,14899.358713418751,0.04266018858396338,BEARISH_EMA20_PULLBACK,0.3273352093837436,0.783925860421581,0.8930375968828288
2023-07-06,09:00:00,15150.49,15168.89,15127.39,15161.49,6706,15170.387775904566,15088.407125479236,-0.05865226410823218,BULLISH_EMA20_PULLBACK,-0.9243814427209966,-0.5062167372731836,-0.5391950263463552
2023-07-07,13:00:00,15079.49,15175.34,15047.74,15138.24,11499,15129.314328033546,15087.870609481633,0.058995878946840004,BULLISH_EMA20_PULLBACK,0.36001543112013024,-0.8818726615511446,-1.0123369691588981
