Asset,Bullish Signals,Total Signals,Bullish 1 Candle,Bullish 1 Avg,Bullish 3 Candle,Bullish 3 Avg,Bullish 6 Candle,Bullish 6 Avg
EURUSD,4909,4909,48.95090649826849,0.02145601963655333,49.949073130983905,0.043759287067633754,50.458341821144835,0.06854138177968451
GBPUSD,2781,2781,47.752606975907945,-0.005101690109765281,48.54368932038835,-0.01442487146123118,49.37072995325423,-0.015880721087882604
USDCHF,662,662,48.48942598187311,0.006561664837342051,49.09365558912387,0.00327477168877448,48.036253776435046,-0.01724491257380133
AUDUSD,2958,2958,48.275862068965516,-0.003200462184632442,49.628127112914136,-0.01796544962218784,50.27045300878973,-0.027678253137111614
NZDUSD,2811,2811,47.10067591604411,-0.004771014562192132,48.274635361081465,-0.020962083650129682,50.088936321593735,-0.016720842923422533
USDCAD,360,360,50.27777777777778,0.00410308193335042,48.05555555555556,-0.012163790449870728,46.94444444444444,-0.022071242469222842
USDJPY,5114,5114,49.10050840829096,0.0026028012485566545,49.43292921392256,-0.0067626304627955635,50.175987485334375,-0.01784694815719288
XAUUSD,2084,2084,48.896353166986565,0.018220564622790817,50.8637236084453,0.03702806587531092,52.44721689059501,0.07860243189932821
SP500,382,382,50.78534031413613,-0.004367551494819119,50.523560209424076,0.014254471191675966,52.879581151832454,0.03199388260836067
NAS100,378,378,52.910052910052904,0.026655687387226443,52.38095238095239,0.03933312315897171,53.17460317460318,0.0046637403640690045
