trade_date,trade_time,open,high,low,close,volume,sma,std,upper_band,lower_band,recent_low,recent_high,distance_to_recent_low_pct,distance_to_recent_high_pct,signal,forward_1,forward_3,forward_6
2022-10-31,12:00:00,1.36469,1.368,1.36298,1.36757,13249,1.358399,0.00401309816003904,1.366425196320078,1.3503728036799219,1.35182,1.36586,1.1650959447263638,0.12519584730498573,BB_DOUBLE_TOP_BEARISH,-0.23399167867091775,-0.4372719495162862,-0.96082833054249
2022-11-04,20:00:00,1.35153,1.35196,1.34712,1.34801,13883,1.3652145,0.008524080117062531,1.382262660234125,1.348166339765875,1.3469,1.38079,0.08241146336030472,-2.3740032879728297,BB_DOUBLE_BOTTOM_BULLISH,0.35014577043197437,0.06231407778875335,0.07492526019837964
2022-11-10,20:00:00,1.33941,1.33951,1.33081,1.33199,14237,1.3466165,0.005760069695301245,1.3581366393906027,1.3350963606093975,1.33335,1.35707,-0.10199872501593939,-1.8480992137472636,BB_DOUBLE_BOTTOM_BULLISH,0.2650170046321694,-0.15765884128259153,-0.5090128304266555
2022-11-11,04:00:00,1.3355,1.33556,1.33026,1.33049,10221,1.344983,0.007053106146640574,1.3590892122932812,1.330876787706719,1.33081,1.35707,-0.024045506120340093,-1.9586314633733004,BB_DOUBLE_BOTTOM_BULLISH,-0.045096167577353755,-0.30364752835421865,-0.17737825913760477
2022-11-16,08:00:00,1.32733,1.32807,1.32303,1.32387,15744,1.328058,0.002074211581347885,1.3322064231626958,1.3239095768373041,1.32257,1.33347,0.0982934740694314,-0.7199262075637121,BB_DOUBLE_BOTTOM_BULLISH,0.22509763043198974,0.6647178348327191,0.8142793476700725
2022-11-17,00:00:00,1.33232,1.33534,1.33206,1.3348,5794,1.328699,0.0027376688123843945,1.3341743376247688,1.3232236623752314,1.32257,1.33467,0.9247147598992842,0.00974023541399473,BB_DOUBLE_TOP_BEARISH,0.02921786035361945,0.3311357506742651,-0.2539706323044654
2022-11-17,04:00:00,1.33483,1.33615,1.33409,1.33519,7537,1.329198,0.0029680910044188693,1.3351341820088378,1.3232618179911624,1.32257,1.33534,0.9542028021201203,-0.011233094193229624,BB_DOUBLE_TOP_BEARISH,-0.04044368217259019,-0.16177472869031087,-0.26288393412174477
2022-11-23,20:00:00,1.34049,1.3408,1.33445,1.33538,11845,1.34069,0.0026151340913550414,1.34592026818271,1.3354597318172898,1.33564,1.34437,-0.01946632326075342,-0.6687147139552395,BB_DOUBLE_BOTTOM_BULLISH,-0.09135976276415693,-0.04792643292545747,-0.1250580359148752
2022-11-24,00:00:00,1.33503,1.33556,1.33369,1.33416,5661,1.3403775,0.0029960410281041337,1.3463695820562083,1.3343854179437917,1.33445,1.34437,-0.02173179961781269,-0.7594635405431579,BB_DOUBLE_BOTTOM_BULLISH,0.027732805660489104,0.03747676440606411,-0.011243029321827554
2022-11-28,04:00:00,1.34649,1.34685,1.34347,1.34579,9487,1.3373564999999998,0.0038725882477772303,1.3451016764955543,1.3296113235044453,1.33161,1.34733,1.0648763526858527,-0.114300134339759,BB_DOUBLE_TOP_BEARISH,-0.10402811731399905,-0.09511142154421921,-0.19988259683903736
2022-12-05,20:00:00,1.35769,1.36049,1.35682,1.35871,10478,1.3451045000000001,0.005479848706131269,1.3560641974122627,1.3341448025877376,1.33849,1.35851,1.5106575319950188,0.014722011615665541,BB_DOUBLE_TOP_BEARISH,-0.039007588079880286,0.15382237563570778,0.4666190725025952
2022-12-27,00:00:00,1.3578,1.35806,1.35483,1.3549,4056,1.3609485,0.0026803834662819945,1.3663092669325638,1.355587733067436,1.35625,1.36842,-0.09953917050690966,-0.9880007600005829,BB_DOUBLE_BOTTOM_BULLISH,0.016237360690833938,-0.20665731788323227,-0.13506531847368797
2022-12-27,08:00:00,1.35511,1.35538,1.35274,1.35278,6125,1.360263,0.003460369770323754,1.3671837395406474,1.3533422604593526,1.35478,1.36842,-0.14762544472165234,-1.142923956095342,BB_DOUBLE_BOTTOM_BULLISH,-0.05026685787785256,-0.039178580404806505,0.07022575732935188
2022-12-27,16:00:00,1.35212,1.35256,1.34843,1.34964,11691,1.359237,0.004491744591323765,1.3682204891826475,1.3502535108173526,1.35061,1.36581,-0.0718194001229176,-1.1839128429283734,BB_DOUBLE_BOTTOM_BULLISH,0.1933849026407043,0.2630331051243252,0.5653359414362368
2023-01-03,16:00:00,1.36676,1.36793,1.36019,1.36667,16968,1.3575335,0.004167339521111218,1.3658681790422225,1.3491988209577774,1.35138,1.3678,1.1314360135565145,-0.08261441731246187,BB_DOUBLE_TOP_BEARISH,0.013170699583648353,-0.15146304521208603,-1.3148748417686815
2023-01-18,20:00:00,1.34762,1.35,1.34718,1.3493,8069,1.340112,0.003306011430549212,1.3467240228610984,1.3334999771389016,1.33502,1.34815,1.0696468966756938,0.08530208062900897,BB_DOUBLE_TOP_BEARISH,0.12673237975247167,0.15118950566960956,-0.19491588230933893
2023-01-19,00:00:00,1.34858,1.35181,1.34821,1.35101,4862,1.3406639999999999,0.00410594357383971,1.3488758871476794,1.3324521128523203,1.33502,1.35,1.197734865395271,0.0748148148148115,BB_DOUBLE_TOP_BEARISH,-0.07179813620921661,-0.2501831962753746,-0.4241271345141792
2023-01-26,20:00:00,1.33581,1.33617,1.33195,1.3321,9287,1.337143,0.0020615939157934762,1.341266187831587,1.333019812168413,1.33029,1.34282,0.13606055822415333,-0.7983199535306178,BB_DOUBLE_BOTTOM_BULLISH,-0.003753471961572368,-0.02927708130021113,-0.08407777193904435
