trade_date,trade_time,open,high,low,close,volume,ema200,signal,forward_1,forward_3,forward_6
2009-12-21,04:00:00,1.0424,1.0429,1.0411,1.0412,5331,1.0422890547263681,BEARISH_BELOW_EMA200,0.12485593545909325,0.4033807145601425,0.470610833653489
2009-12-21,08:00:00,1.0411,1.048,1.0405,1.0425,9757,1.0422911536843147,BULLISH_ABOVE_EMA200,0.019184652278175344,0.33573141486811114,0.42206235011990023
2009-12-21,12:00:00,1.0426,1.0433,1.0393,1.0427,8252,1.0422952218068589,BULLISH_ABOVE_EMA200,0.2589431284166248,0.2397621559413011,0.5466577155461819
2009-12-21,16:00:00,1.0428,1.0461,1.0427,1.0454,7842,1.0423261151222134,BULLISH_ABOVE_EMA200,0.05739429883297627,0.06696001530513897,0.21044576238760088
2009-12-21,20:00:00,1.0454,1.047,1.045,1.046,4534,1.0423626711906493,BULLISH_ABOVE_EMA200,-0.07648183556406635,0.08604206500955075,0.191204588910134
2009-12-22,00:00:00,1.046,1.0466,1.0448,1.0452,5159,1.0423909033181056,BULLISH_ABOVE_EMA200,0.08610792192882923,0.30616150019135974,0.3444316877152744
2009-12-22,04:00:00,1.0451,1.0467,1.0449,1.0461,4194,1.0424278097527513,BULLISH_ABOVE_EMA200,0.07647452442404282,0.1433897332951015,0.238982888825155
2009-12-22,08:00:00,1.0463,1.0478,1.0442,1.0469,9332,1.0424723091581964,BULLISH_ABOVE_EMA200,0.14328016047378517,0.10507211768078144,-0.07641608558600745
2009-12-22,12:00:00,1.0469,1.0501,1.0455,1.0484,9480,1.0425312911566225,BULLISH_ABOVE_EMA200,-0.07630675314764516,0.03815337657382258,-0.524608927890124
2009-12-22,16:00:00,1.0485,1.0499,1.0468,1.0476,9022,1.042581726070487,BULLISH_ABOVE_EMA200,0.03818251240931232,0.09545628102328081,-0.945017182130586
2009-12-22,20:00:00,1.0475,1.0495,1.0475,1.048,4269,1.0426356392439151,BULLISH_ABOVE_EMA200,0.07633587786258701,-0.18129770992366534,-0.8301526717557397
2009-12-23,00:00:00,1.0482,1.0491,1.0475,1.0488,3496,1.0426969761668614,BULLISH_ABOVE_EMA200,-0.019069412662087906,-0.5625476735316568,-1.0297482837528529
2009-12-23,04:00:00,1.0488,1.0496,1.048,1.0486,4304,1.0427557127224152,BULLISH_ABOVE_EMA200,-0.23841312225824401,-1.0394812130459574,-1.001335113484642
2009-12-23,08:00:00,1.0486,1.0495,1.0458,1.0461,7631,1.0427889892127395,BULLISH_ABOVE_EMA200,-0.30589809769621373,-0.6500334576044489,-1.051524710830716
2009-12-23,12:00:00,1.0461,1.047,1.0411,1.0429,9510,1.0427900937976873,BULLISH_ABOVE_EMA200,-0.4986096461789119,-0.4698437050532078,-0.4986096461789119
2009-12-23,16:00:00,1.0428,1.0428,1.0359,1.0377,9600,1.042739446098208,BEARISH_BELOW_EMA200,0.15418714464679809,0.03854678616169952,0.08673026886382393
2009-12-23,20:00:00,1.0377,1.0397,1.0375,1.0393,4108,1.0427052227539473,BEARISH_BELOW_EMA200,-0.1250841912825803,-0.404118156451456,-0.4137400173193468
2009-12-24,00:00:00,1.0393,1.0395,1.0376,1.038,3006,1.0426584046170921,BEARISH_BELOW_EMA200,0.009633911368014354,-0.028901734104043057,-0.24084778420038022
2009-12-24,04:00:00,1.0379,1.0393,1.0378,1.0381,3386,1.0426130473572206,BEARISH_BELOW_EMA200,-0.28898950004817586,0.04816491667468885,-0.28898950004817586
2009-12-24,08:00:00,1.0382,1.0386,1.0339,1.0351,6275,1.0425382906670992,BEARISH_BELOW_EMA200,0.2511834605352293,-0.009660902328276398,-0.11593082793931678
2009-12-24,12:00:00,1.035,1.0382,1.032,1.0377,6916,1.0424901484714069,BEARISH_BELOW_EMA200,0.08673026886382393,-0.21200732388936874,-0.33728437891491364
2009-12-24,16:00:00,1.0378,1.0387,1.0362,1.0386,4182,1.0424514405264178,BEARISH_BELOW_EMA200,-0.34662045060659036,-0.3369921047564085,-0.3369921047564085
2009-12-28,00:00:00,1.0361,1.0387,1.0342,1.035,4091,1.0423772968395877,BEARISH_BELOW_EMA200,0.04830917874397749,-0.10628019323670326,0.03864734299518628
2009-12-28,04:00:00,1.035,1.0369,1.035,1.0355,3141,1.0423088660252635,BEARISH_BELOW_EMA200,-0.03862868179625089,-0.12554321583776715,-0.08691453404153769
2009-12-28,08:00:00,1.0355,1.0376,1.0345,1.0351,4988,1.042237136015062,BEARISH_BELOW_EMA200,-0.11593082793931678,0.0,-0.3188097768331426
2009-12-28,12:00:00,1.0351,1.0351,1.0327,1.0339,5678,1.0421541794377978,BEARISH_BELOW_EMA200,0.029016345874839634,0.14508172937421962,-0.25147499758196495
2009-12-28,16:00:00,1.0339,1.0347,1.033,1.0342,4511,1.04207503337374,BEARISH_BELOW_EMA200,0.0870237865016342,0.03867723844517075,0.2417327402823387
2009-12-28,20:00:00,1.0342,1.0352,1.0337,1.0351,2877,1.0420056300565885,BEARISH_BELOW_EMA200,0.028982706984850646,-0.3188097768331426,0.14491353492416742
2009-12-29,00:00:00,1.0351,1.0357,1.0348,1.0354,3361,1.041939902394334,BEARISH_BELOW_EMA200,-0.07726482518834595,-0.3959822290902059,0.34769171334748167
2009-12-29,04:00:00,1.0355,1.0364,1.034,1.0346,4049,1.0418668685396641,BEARISH_BELOW_EMA200,-0.2706359945872718,0.2029769959404592,0.28996713705781113
2009-12-29,08:00:00,1.0346,1.0346,1.0291,1.0318,8640,1.0417667006934983,BEARISH_BELOW_EMA200,-0.04845900368287894,0.4652064353556809,0.45551463461910513
2009-12-29,12:00:00,1.0317,1.0323,1.0278,1.0313,8454,1.0416625544179412,BEARISH_BELOW_EMA200,0.5236109764374914,0.7466304664016112,0.7563269659652677
2009-12-29,16:00:00,1.0314,1.0384,1.0312,1.0367,8860,1.0416131757670166,BEARISH_BELOW_EMA200,-0.009645992090285424,0.08681392881259023,-0.038583968361141696
2009-12-29,20:00:00,1.0367,1.038,1.0358,1.0366,4543,1.0415632934210763,BEARISH_BELOW_EMA200,0.23152614316032777,-0.009646922631679431,-0.028940767895038293
2009-12-30,00:00:00,1.0366,1.0391,1.0363,1.039,4369,1.0415377880139016,BEARISH_BELOW_EMA200,-0.13474494706447027,0.00962463907603359,-0.4523580365736214
2009-12-30,04:00:00,1.039,1.0393,1.0371,1.0376,4761,1.041498606043614,BEARISH_BELOW_EMA200,-0.10601387818042607,-0.12528912875868145,-0.8191981495759612
2009-12-30,08:00:00,1.0376,1.0384,1.0358,1.0365,7324,1.0414488686700458,BEARISH_BELOW_EMA200,0.25084418716834883,-0.019295706705255954,-0.6560540279787667
2009-12-30,12:00:00,1.0364,1.0397,1.0361,1.0391,9366,1.0414254968424834,BEARISH_BELOW_EMA200,-0.2694639591954493,-0.46193821576363353,-0.5966701953613689
2009-12-30,16:00:00,1.0391,1.042,1.035,1.0363,8918,1.0413744968739014,BEARISH_BELOW_EMA200,0.0,-0.6947795040046411,-0.17369487600116026
2009-12-30,20:00:00,1.0362,1.0375,1.0361,1.0363,3022,1.0413240043676935,BEARISH_BELOW_EMA200,-0.19299430666795347,-0.63688121200424,0.04824857666698301
2009-12-31,00:00:00,1.0363,1.0364,1.034,1.0343,3247,1.0412541137769702,BEARISH_BELOW_EMA200,-0.5027554868026775,-0.13535724644687885,0.251377743401328
2009-12-31,04:00:00,1.0343,1.035,1.0289,1.0291,5258,1.041133177321478,BEARISH_BELOW_EMA200,0.05830337187835545,0.5247303469050697,0.5733164901370146
2009-12-31,08:00:00,1.0291,1.0319,1.0288,1.0297,7931,1.0410194143630556,BEARISH_BELOW_EMA200,0.31077012722150815,0.6895212197727381,0.0
2009-12-31,12:00:00,1.0298,1.0331,1.0284,1.0329,8122,1.0409386241703884,BEARISH_BELOW_EMA200,0.15490366928067054,0.3872591732016656,-0.3388517765514412
