trade_date,trade_time,open,high,low,close,volume,candle_range,body_size,upper_wick,lower_wick,body_to_range,signal,forward_1,forward_3,forward_6
2023-03-20,09:00:00,12527.09,12538.59,12402.09,12531.84,14607,136.5,4.75,6.75,125.0,0.0347985347985348,BULLISH_PINBAR,-0.7221605127419437,0.3630751749144579,0.4851641897757972
2023-03-21,01:00:00,12561.64,12611.39,12551.39,12571.64,5365,60.0,10.0,39.75,10.25,0.16666666666666666,BEARISH_PINBAR,0.015908823351607267,0.9247003573121726,1.4958271156348821
2023-03-21,05:00:00,12570.64,12584.89,12561.64,12573.64,4115,23.25,3.0,11.25,9.0,0.12903225806451613,BEARISH_PINBAR,0.1511097820519754,0.66607601299226,1.3504442627592417
2023-03-21,17:00:00,12689.14,12710.89,12587.14,12657.39,13914,123.75,31.75,21.75,70.25,0.25656565656565655,BULLISH_PINBAR,0.7197376394343571,0.6798399986095166,1.103308027958382
2023-03-23,17:00:00,12770.34,12904.09,12761.49,12766.99,15814,142.60000000000036,3.350000000000364,133.75,5.5,0.023492286115009503,BEARISH_PINBAR,-0.16448669576775732,-0.16370342578790803,-0.5976349946228459
2023-03-23,21:00:00,12767.99,12786.74,12607.99,12745.99,16402,178.75,22.0,18.75,138.0,0.12307692307692308,BULLISH_PINBAR,-0.1816257505301639,-0.5876357976116382,0.24282146777143812
2023-03-24,13:00:00,12670.09,12718.49,12612.94,12698.59,15472,105.54999999999927,28.5,19.899999999999636,57.149999999999636,0.27001421127427944,BULLISH_PINBAR,-0.06221163137009413,0.7559894444973813,0.9075810778991997
2023-03-24,17:00:00,12699.59,12731.24,12605.99,12690.69,20362,125.25,8.899999999999636,31.649999999999636,84.70000000000073,0.07105788423153402,BULLISH_PINBAR,0.6796320767428721,1.2166399147721647,-0.035065075263840874
2023-03-27,01:00:00,12793.34,12841.84,12789.59,12794.59,6181,52.25,1.25,47.25,3.75,0.023923444976076555,BEARISH_PINBAR,0.39469807160682757,0.15045421541448378,-0.8863121053507743
2023-03-27,13:00:00,12800.09,12846.84,12763.59,12813.84,9319,83.25,13.75,33.0,36.5,0.16516516516516516,BULLISH_PINBAR,-0.9957982930955933,-1.035208805479073,-1.8956066253363522
2023-03-27,21:00:00,12686.99,12750.49,12656.99,12692.84,7283,93.5,5.850000000000364,57.649999999999636,30.0,0.06256684491978999,BEARISH_PINBAR,-0.09178402942130869,-0.3596515830972394,-0.4853129796011008
2023-03-28,01:00:00,12689.69,12708.69,12680.94,12681.19,3957,27.75,8.5,19.0,0.25,0.3063063063063063,BEARISH_PINBAR,0.0571712907069447,-0.8693979035090554,-0.12025685286633195
2023-03-29,17:00:00,12807.44,12823.19,12741.94,12795.19,11422,81.25,12.25,15.75,53.25,0.15076923076923077,BULLISH_PINBAR,0.4024950000742466,0.5924101166141282,0.9655972283334541
