trade_date,trade_time,open,high,low,close,volume,rsi,prev_high,prev_low,inside_bar,signal,forward_1,forward_3,forward_6
1973-08-17,00:00:00,0.7897,0.7897,0.7895,0.7895,21,15.340909090908994,0.7916,0.7881,True,BULLISH_INSIDE_BAR,2.5205826472450954,0.22799240025332793,0.26599113362887783
1973-11-08,00:00:00,0.7651,0.7654,0.7645,0.7652,171,9.737248840803801,0.7668,0.7626,True,BULLISH_INSIDE_BAR,-0.6403554626241527,-2.2347098797699956,-1.2023000522739136
1974-02-13,00:00:00,0.7152,0.7154,0.7151,0.7153,51,82.19178082191797,0.7179,0.715,True,BEARISH_INSIDE_BAR,0.09786103732698488,1.4679155599049285,2.9078708234307182
1974-05-01,00:00:00,0.796,0.7962,0.7957,0.7958,81,80.85106382978704,0.7964,0.7946,True,BEARISH_INSIDE_BAR,-0.201055541593357,0.8544860517718056,1.3696908771048029
1975-07-29,00:00:00,0.7659,0.766,0.7656,0.7656,51,6.548672566371735,0.7675,0.7649,True,BULLISH_INSIDE_BAR,-0.5485893416927876,-0.509404388714721,-0.8490073145245495
1976-09-20,00:00:00,0.7894,0.7894,0.7892,0.7894,41,87.43718592964804,0.7895,0.7888,True,BEARISH_INSIDE_BAR,-0.038003546997715604,-0.02533569799847707,0.6587281479604741
1977-04-18,00:00:00,0.827,0.827,0.827,0.827,1,84.05797101449227,0.8272,0.8268,True,BEARISH_INSIDE_BAR,-0.24183796856106435,-0.3143893591293756,-0.26602176541716804
1978-04-21,00:00:00,0.942,0.9433,0.9406,0.9417,511,14.285714285714391,0.9486,0.939,True,BULLISH_INSIDE_BAR,-0.053095465647227884,-0.2760964213656086,0.29733460762451147
1978-04-24,00:00:00,0.941,0.9412,0.9408,0.9412,61,15.625000000000128,0.9433,0.9406,True,BULLISH_INSIDE_BAR,-0.0849978750531261,0.7649808754781113,-0.20186995325117008
1978-11-28,00:00:00,1.0153,1.0153,1.0153,1.0153,1,17.51824817518265,1.016,1.0126,True,BULLISH_INSIDE_BAR,-0.5318625036934966,-0.3939722249581407,0.5220131980695223
1979-05-21,00:00:00,1.0184,1.0184,1.0184,1.0184,1,19.730941704036297,1.0187,1.0183,True,BULLISH_INSIDE_BAR,0.12765121759623713,0.40259230164964577,0.019638648860956204
1979-09-28,00:00:00,1.1231,1.1231,1.1229,1.1231,41,84.16801292407105,1.1272,1.1192,True,BEARISH_INSIDE_BAR,0.2225981657911091,-1.0684711957973476,-2.0122874187516655
1980-10-22,00:00:00,1.0495,1.0496,1.0495,1.0496,11,19.108280254777256,1.0504,1.0472,True,BULLISH_INSIDE_BAR,-0.047637195121967124,-0.8669969512195224,-1.981707317073185
1981-02-09,00:00:00,0.9145,0.9148,0.914,0.9142,131,15.816857440166416,0.9157,0.9139,True,BULLISH_INSIDE_BAR,-0.20783198424852467,-1.4985779916867255,-1.859549332749947
